Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,DefaultAuctionHouseFilter,ParentCategory
Weapons,iLvl,1,3,0,13,100,0,0
One-Handed,iLvl,2,0,0,0,10,0,1
One-Handed Axes,iLvl,3,3,3,0,10,0,2
One-Handed Maces,iLvl,4,3,7,0,20,0,2
One-Handed Swords,iLvl,5,3,10,0,30,0,2
Warglaives,iLvl,6,3,12,0,40,0,2
Daggers,iLvl,7,3,18,0,50,0,2
Fist Weapons,iLvl,8,3,16,0,60,0,2
Wands,iLvl,9,3,56,0,70,0,2
Two-Handed,iLvl,10,0,0,0,20,0,1
Two-Handed Axes,iLvl,11,3,4,0,10,0,10
Two-Handed Maces,iLvl,12,3,8,0,20,0,10
Two-Handed Swords,iLvl,13,3,11,0,30,0,10
Polearms,iLvl,14,3,9,0,40,0,10
Staves,iLvl,15,3,13,0,50,0,10
Ranged,iLvl,16,0,0,0,30,0,1
Bows,iLvl,17,3,5,0,10,0,16
Crossbows,iLvl,18,3,55,0,20,0,16
Guns,iLvl,19,3,6,0,30,0,16
Thrown,iLvl,20,3,34,0,40,0,16
Miscellaneous,iLvl,21,0,0,0,40,0,1
Fishing Poles,iLvl,22,3,57,0,10,0,21
Other,iLvl,23,3,17,0,20,0,21
Armor,iLvl,24,5,0,0,200,0,0
Plate,iLvl,25,5,23,0,10,0,24
Runecarving,iLvl,26,5,23,0,10,11,25
Head,iLvl,27,5,23,1,20,0,25
Shoulder,iLvl,28,5,23,3,30,0,25
Chest,iLvl,29,5,23,5,40,0,25
Waist,iLvl,30,5,23,6,50,0,25
Legs,iLvl,31,5,23,7,60,0,25
Feet,iLvl,32,5,23,8,70,0,25
Wrist,iLvl,33,5,23,9,80,0,25
Hands,iLvl,34,5,23,10,90,0,25
Mail,iLvl,35,5,22,0,20,0,24
Runecarving,iLvl,36,5,22,0,10,11,35
Head,iLvl,37,5,22,1,20,0,35
Shoulder,iLvl,38,5,22,3,30,0,35
Chest,iLvl,39,5,22,5,40,0,35
Waist,iLvl,40,5,22,6,50,0,35
Legs,iLvl,41,5,22,7,60,0,35
Feet,iLvl,42,5,22,8,70,0,35
Wrist,iLvl,43,5,22,9,80,0,35
Hands,iLvl,44,5,22,10,90,0,35
Leather,iLvl,45,5,21,0,30,0,24
Runecarving,iLvl,46,5,21,0,10,11,45
Head,iLvl,47,5,21,1,20,0,45
Shoulder,iLvl,48,5,21,3,30,0,45
Chest,iLvl,49,5,21,5,40,0,45
Waist,iLvl,50,5,21,6,50,0,45
Legs,iLvl,51,5,21,7,60,0,45
Feet,iLvl,52,5,21,8,70,0,45
Wrist,iLvl,53,5,21,9,80,0,45
Hands,iLvl,54,5,21,10,90,0,45
Cloth,iLvl,55,5,20,0,40,0,24
Runecarving,iLvl,56,5,20,0,10,11,55
Head,iLvl,57,5,20,1,20,0,55
Shoulder,iLvl,58,5,20,3,30,0,55
Chest,iLvl,59,5,20,5,40,0,55
Waist,iLvl,60,5,20,6,50,0,55
Legs,iLvl,61,5,20,7,60,0,55
Feet,iLvl,62,5,20,8,70,0,55
Wrist,iLvl,63,5,20,9,80,0,55
Hands,iLvl,64,5,20,10,90,0,55
Miscellaneous,iLvl,65,5,19,0,50,0,24
Runecarving,iLvl,66,5,19,0,10,11,65
Neck,iLvl,67,5,19,2,20,0,65
Cloak,iLvl,68,5,19,16,30,0,65
Finger,iLvl,69,5,19,11,40,0,65
Trinket,iLvl,70,5,19,12,50,0,65
Held in Off-hand,iLvl,71,5,19,23,60,0,65
Shields,iLvl,72,5,19,14,70,0,65
Shirt,iLvl,73,5,19,4,80,0,65
Head,iLvl,74,5,19,1,90,0,65
Cosmetic,iLvl,75,5,24,0,60,0,24
Containers,Slots,76,2,0,0,30,0,0
Bag,Slots,77,2,2,0,10,0,76
Mining Bag,Slots,78,2,118,0,20,0,76
Tackle Box,Slots,79,2,171,0,30,0,76
Inscription Bag,Slots,80,2,167,0,40,0,76
Leatherworking Bag,Slots,81,2,149,0,50,0,76
Herb Bag,Slots,82,2,109,0,60,0,76
Enchanting Bag,Slots,83,2,110,0,70,0,76
Engineering Bag,Slots,84,2,111,0,80,0,76
Gem Bag,Slots,85,2,116,0,90,0,76
Cooking Bag,Slots,86,2,179,0,100,0,76
Gems,iLvl,87,4,0,0,40,0,0
Artifact Relic,iLvl,88,4,187,0,10,0,87
Intellect,iLvl,89,4,36,0,20,0,87
Agility,iLvl,90,4,119,0,30,0,87
Strength,iLvl,91,4,120,0,40,0,87
Stamina,iLvl,92,4,121,0,50,0,87
Critical Strike,iLvl,93,4,123,0,60,0,87
Mastery,iLvl,94,4,124,0,70,0,87
Haste,iLvl,95,4,125,0,80,0,87
Versatility,iLvl,96,4,126,0,90,0,87
Other,iLvl,97,4,147,0,100,0,87
Multiple Stats,iLvl,98,4,170,0,110,0,87
Item Enchancements,iLvl,99,9,0,0,50,0,0
Chest,iLvl,100,9,191,0,10,0,99
Wrist,iLvl,101,9,192,0,20,0,99
Hands,iLvl,102,9,193,0,30,0,99
Misc,iLvl,103,9,201,0,40,0,99
Head,iLvl,104,9,48,0,50,0,99
Two-Handed Weapon,iLvl,105,9,199,0,60,0,99
Shield/Off-hand,iLvl,106,9,200,0,70,0,99
Shoulder,iLvl,107,9,189,0,80,0,99
Cloak,iLvl,108,9,190,0,90,0,99
Weapon,iLvl,109,9,198,0,100,0,99
