ID,ChrCustomizationChoiceID,ChrCustomizationReqID
49,45,35
50,46,35
51,47,35
52,48,35
53,49,35
54,50,35
55,51,35
56,52,35
57,53,35
58,54,35
59,55,35
60,56,35
61,57,35
62,58,35
63,59,35
64,60,35
65,4988,35
66,4989,36
67,4990,36
68,4991,36
69,4992,36
70,4993,37
71,4994,37
72,4995,37
73,4996,37
117,132,41
118,133,41
119,134,41
120,135,41
121,136,41
122,137,41
123,138,41
124,139,41
125,140,41
126,141,41
127,142,41
128,143,41
129,144,41
130,145,41
131,146,41
132,147,41
133,148,41
134,149,41
135,150,41
136,151,41
137,152,41
138,153,41
139,154,41
140,155,41
141,4980,42
142,4981,42
143,4982,42
144,4983,42
145,4984,43
146,4985,43
147,4986,43
148,4987,43
202,967,58
203,968,58
204,975,58
205,977,58
206,979,58
207,971,59
208,983,59
209,969,59
210,976,59
211,978,59
212,980,59
213,6527,61
214,6528,62
215,6529,63
216,6526,64
217,6525,65
218,6524,66
492,2251,134
493,2252,134
494,2253,134
495,2254,134
496,2255,134
503,6719,137
565,44,35
605,7473,41
606,1983,159
607,1984,159
608,1985,159
609,1986,159
610,1989,159
612,1991,159
614,1993,159
615,1995,159
616,1999,159
617,7484,159
618,7779,159
619,7780,159
620,7781,159
621,7782,159
622,7783,159
623,7784,159
624,7782,160
625,7783,161
650,1990,159
652,1992,159
653,1910,163
654,1911,163
655,1912,163
656,1914,163
657,1915,163
658,1917,163
659,1918,163
660,1920,163
661,1921,163
662,1923,163
663,7770,163
664,7772,163
665,7773,163
666,7774,163
667,7775,163
668,7776,163
669,7777,163
670,7778,163
671,7774,164
672,7777,165
682,8148,169
683,8149,169
684,8150,169
685,8151,169
686,8152,169
687,769,169
688,770,170
689,771,170
690,772,170
691,773,170
692,774,170
693,3715,170
694,881,171
696,882,172
697,883,172
698,884,172
699,885,172
700,886,172
701,3716,172
702,871,173
703,872,173
704,873,173
705,874,173
706,875,173
707,876,173
708,877,173
709,878,173
710,879,173
711,880,174
712,872,175
713,871,175
714,873,175
715,874,175
716,875,175
717,876,175
718,877,175
719,878,175
720,879,175
721,8124,176
722,8127,176
723,8128,176
724,8125,177
725,8128,177
726,8114,178
727,8115,178
728,8117,178
729,8117,179
730,8118,179
731,8539,180
732,8540,180
733,8541,180
734,8542,180
735,8543,180
736,8544,180
737,8545,181
738,8546,181
739,8547,181
740,8538,182
741,8548,183
742,8549,184
743,8550,184
744,8551,184
745,8557,185
746,8558,185
747,8559,185
748,8556,186
749,8553,187
750,8554,187
751,8555,187
752,8552,188
759,1574,192
760,1574,193
761,1575,193
762,1576,193
763,1574,194
764,1575,194
765,1576,194
766,1579,194
767,1575,195
768,1575,196
769,1576,196
770,1577,197
772,1579,198
773,9091,199
774,9092,199
775,9093,199
776,9094,199
777,9095,199
778,9096,199
779,9097,199
780,9098,199
781,9091,200
782,9092,200
783,9096,200
784,9097,200
785,9098,200
786,9093,201
789,1489,203
790,1488,204
791,1489,204
792,1490,204
793,1491,204
794,1492,204
795,1493,204
796,1494,204
797,1495,204
798,1497,204
799,1488,205
800,1489,205
801,1490,205
802,1491,205
803,1493,205
804,1494,205
805,1495,205
806,1497,205
807,1488,206
808,1489,206
809,1490,206
810,1493,206
811,1497,206
812,1488,207
813,9067,208
814,9068,208
815,9069,208
816,9070,208
817,9071,208
818,9072,208
819,9073,208
820,9074,208
821,9076,208
822,9077,208
823,9067,209
824,9068,209
825,9069,209
826,9070,209
827,9071,209
828,9072,209
829,9073,209
830,9074,209
831,9076,209
860,9703,213
861,9702,213
862,9701,213
863,9700,213
864,9699,213
865,9698,213
866,9697,213
867,9696,213
868,9695,213
869,9694,213
870,9693,213
871,9692,213
872,9691,213
873,9690,213
874,9689,213
875,9688,213
876,9687,213
1041,76,225
1042,77,225
1043,80,225
1044,81,225
1045,82,225
1046,83,225
1047,76,226
1048,77,226
1049,81,226
1050,82,226
1051,83,226
1052,1700,227
1053,3713,228
1054,1705,228
1055,1704,228
1056,1703,228
1057,1702,228
1058,1701,228
1059,1837,229
1060,3714,230
1061,1842,230
1062,1841,230
1063,1840,230
1064,1839,230
1065,1838,230
1119,795,234
1120,789,235
1121,654,236
1122,657,236
1123,658,236
1124,659,236
1125,660,236
1126,667,236
1127,668,236
1128,671,236
1129,672,236
1130,7128,236
1131,7130,236
1132,7131,236
1133,7472,236
1134,654,237
1135,656,237
1136,657,237
1137,658,237
1138,659,237
1139,660,237
1140,661,237
1141,662,237
1142,663,237
1143,664,237
1144,665,237
1145,666,237
1146,667,237
1147,668,237
1148,669,237
1149,670,237
1150,671,237
1151,672,237
1152,673,237
1153,674,237
1154,7128,237
1155,7129,237
1156,7130,237
