ID,CollectionsFileDataID,GeosetType,GeosetID,Modifier
1,2763975,24,1,-1
2,2763975,24,2,-1
3,2763975,24,3,-1
4,2763975,24,4,-1
5,2763975,24,5,-1
6,2763975,24,6,-1
7,2763975,25,1,-1
8,2763975,25,2,-1
9,2763975,25,3,-1
10,2763975,25,4,-1
11,2763975,25,5,-1
12,2763975,25,6,-1
13,2763975,25,7,-1
14,2763975,25,8,-1
15,2763975,25,9,-1
16,2763975,25,10,-1
17,2763975,25,11,-1
18,2763974,24,1,-1
19,2763974,24,2,-1
20,2763974,24,3,-1
21,2763974,24,4,-1
22,2763974,24,5,-1
23,2763974,24,6,-1
24,2763974,25,1,-1
25,2763974,25,2,-1
26,2763974,25,3,-1
27,2763974,25,4,-1
28,2763974,25,5,-1
29,2763974,25,6,-1
30,2763974,25,7,-1
31,2763974,25,8,-1
32,2763974,25,9,-1
33,2763974,25,10,-1
34,2763974,25,11,-1
35,2763973,24,1,-1
36,2763973,24,2,-1
37,2763973,24,3,-1
38,2763973,24,4,-1
39,2763973,24,5,-1
40,2763973,24,6,-1
41,2763973,25,1,-1
42,2763973,25,2,-1
43,2763973,25,3,-1
44,2763973,25,4,-1
45,2763973,25,5,-1
46,2763973,25,6,-1
47,2763973,25,7,-1
48,2763973,25,8,-1
49,2763973,25,9,-1
50,2763973,25,10,-1
51,2763973,25,11,-1
52,2763972,24,1,-1
53,2763972,24,2,-1
54,2763972,24,3,-1
55,2763972,24,4,-1
56,2763972,24,5,-1
57,2763972,24,6,-1
58,2763972,25,1,-1
59,2763972,25,2,-1
60,2763972,25,3,-1
61,2763972,25,4,-1
62,2763972,25,5,-1
63,2763972,25,6,-1
64,2763972,25,7,-1
65,2763972,25,8,-1
66,2763972,25,9,-1
67,2763972,25,10,-1
68,2763972,25,11,-1
69,2628212,7,3,-1
70,2628212,7,4,-1
71,2628212,7,5,-1
72,2628212,24,2,1
73,2628212,7,3,-1
74,2628212,7,4,-1
75,2628212,7,5,-1
76,2628212,24,3,1
77,2628212,7,3,-1
78,2628212,7,4,-1
79,2628212,7,5,-1
80,2628212,24,4,1
81,2628212,7,3,-1
82,2628212,7,4,-1
83,2628212,7,5,-1
84,2628212,24,1,-1
85,2628212,7,3,-1
86,2628212,7,4,-1
87,2628212,7,5,-1
88,2628212,29,1,-1
89,2628212,29,2,-1
90,2628212,29,3,-1
91,2628212,29,4,-1
92,2628212,31,1,-1
93,2628212,31,2,-1
94,2628213,7,3,-1
95,2628213,7,4,-1
96,2628213,7,5,-1
97,2628213,24,2,1
98,2628213,7,3,-1
99,2628213,7,4,-1
100,2628213,7,5,-1
101,2628213,24,3,1
102,2628213,7,3,-1
103,2628213,7,4,-1
104,2628213,7,5,-1
105,2628213,24,4,1
106,2628213,7,3,-1
107,2628213,7,4,-1
108,2628213,7,5,-1
109,2628213,24,1,-1
110,2628213,7,3,-1
111,2628213,7,4,-1
112,2628213,7,5,-1
113,2628213,29,1,-1
114,2628213,29,2,-1
115,2628213,29,3,-1
116,2628213,29,4,-1
117,2628213,31,1,-1
118,2628213,31,2,-1
119,2628212,24,2,1
120,2628212,24,2,1
121,2628212,24,2,1
122,2628212,16,3,1
123,2628212,24,3,1
124,2628212,16,3,1
125,2628212,24,3,1
126,2628212,16,3,1
127,2628212,24,3,1
128,2628212,16,3,1
129,2628212,24,4,1
130,2628212,24,4,1
131,2628212,24,4,1
132,2628212,24,1,-1
133,2628212,24,1,-1
134,2628212,24,1,-1
135,2628212,30,1,-1
136,2628212,30,2,-1
137,2628213,24,2,1
138,2628213,24,2,1
139,2628213,24,2,1
140,2628213,16,3,1
141,2628213,24,3,1
142,2628213,16,3,1
143,2628213,24,3,1
144,2628213,16,3,1
145,2628213,24,3,1
146,2628213,16,3,1
147,2628213,24,4,1
148,2628213,24,4,1
149,2628213,24,4,1
150,2628213,24,1,-1
151,2628213,24,1,-1
152,2628213,24,1,-1
153,2628213,30,1,-1
154,2628213,30,2,-1
155,2763975,24,0,-1
