ID,SkillLineAbilityID
2,46860
9,46831
10,46827
11,46836
12,46851
13,46697
14,46695
15,46698
16,46843
17,46854
18,46849
19,46845
20,46847
21,46696
22,46694
23,46683
24,46684
25,46682
26,46826
27,46647
28,47312
29,47311
30,47215
31,47208
32,47212
33,47211
34,47213
35,47209
36,46876
37,46875
38,46872
39,46830
40,46858
41,46857
42,46678
43,46679
44,46703
45,46702
46,46704
47,46705
48,46706
49,46701
50,46699
51,46700
52,46835
53,46676
54,46677
55,46674
56,46673
57,46687
58,46646
59,46691
60,46688
61,46689
62,46708
63,46707
64,46690
65,46692
66,46625
67,46672
68,46837
69,46852
70,46842
71,46853
72,46848
73,46844
74,46681
75,46770
76,47406
77,46795
78,46774
79,46783
80,46771
81,46794
