ID,Fidget,Index,CreatureSoundDataID
23475,13747,0,2665
24021,188329,0,5956
24022,188330,1,5956
29154,571,2,1
29155,572,3,1
29156,113553,0,5
29157,113558,1,5
29158,172422,2,5
29159,172421,3,5
29160,1128,2,25
29161,776,2,27
29162,597,2,29
29163,708,0,34
29164,708,1,34
29165,553,2,35
29166,720,2,36
29167,1121,2,37
29168,12339,0,38
29169,12339,1,38
29170,12339,2,38
29171,12339,3,38
29172,660,2,41
29173,1033,2,42
29174,1018,0,43
29175,137122,0,44
29176,556,2,44
29177,557,3,44
29178,407,0,45
29179,408,1,45
29180,1033,2,48
29181,452,0,62
29182,421,1,63
29183,725,0,65
29184,730,3,65
29185,2093,2,71
29186,2093,2,72
29189,591,1,75
29190,1135,2,77
29191,1011,2,78
29192,11818,0,79
29193,11819,0,80
29194,648,0,82
29195,648,2,82
29196,113874,0,83
29197,471,2,84
29198,764,2,85
29199,765,3,85
29200,714,2,90
29201,720,2,91
29202,720,2,92
29203,1033,2,116
29204,1033,2,117
29205,1033,2,118
29206,1033,2,119
29207,1033,2,120
29208,1033,2,121
29209,1392,3,135
29210,571,2,136
29211,572,3,136
29212,10083,0,145
29213,1416,3,164
29214,643,0,196
29215,643,1,196
29216,648,2,196
29217,77308,0,197
29218,3606,0,203
29219,3425,0,206
29220,3485,0,388
29221,6161,1,391
29222,3608,0,428
29223,772,0,668
29224,4414,0,688
29225,1416,3,1128
29226,648,0,1248
29227,3430,0,1288
29228,3430,1,1288
29229,3606,0,1428
29230,7143,0,1530
29231,771,0,1588
29232,771,1,1588
29233,16003,2,1728
29234,16004,3,1728
29235,391,0,1828
29236,391,1,1828
29237,1018,2,1828
29238,643,0,1829
29239,643,1,1829
29240,3425,0,1830
29241,3425,1,1830
29242,4414,0,1832
29243,4414,1,1832
29244,704,0,1833
29245,704,1,1833
29246,729,0,1834
29247,729,1,1834
29248,725,0,1868
29249,725,0,1869
29250,725,1,1869
29251,1027,0,1908
29252,11817,0,1928
29253,11816,0,1948
29254,15961,0,2112
29255,15961,1,2112
29256,8674,0,2115
29257,17328,2,2122
29258,17328,3,2122
29259,166499,0,2147
29260,166499,1,2147
29261,166499,2,2147
29262,166499,3,2147
29263,452,0,2169
29264,571,2,2172
29265,572,3,2172
29266,708,0,2178
29267,708,1,2178
29268,9913,0,2188
29269,17471,0,2196
29270,17471,1,2196
29271,17471,2,2196
29272,17471,3,2196
29273,9918,0,2207
29274,25525,0,2208
29275,9913,0,2229
29276,9913,1,2229
29277,24156,0,2235
29278,25153,0,2236
29279,25153,0,2237
29280,764,2,2238
29281,765,3,2238
29282,24157,0,2254
29283,9913,0,2255
29284,9913,1,2255
29285,9363,0,2257
29286,9363,1,2257
29287,9363,2,2257
29288,9363,3,2257
29289,12339,0,2293
29290,12339,0,2294
29291,166499,0,2300
29292,166499,1,2300
29293,166499,2,2300
29294,166499,3,2300
29295,3606,0,2316
29296,3606,0,2327
29297,3606,1,2327
29298,11581,0,2332
29299,11581,1,2332
29300,11581,0,2333
29301,11581,1,2333
29302,5826,0,2341
29303,648,0,2346
29304,35298,0,2391
29305,35299,1,2391
29306,35300,2,2391
29307,17470,0,2399
29308,17470,1,2399
29309,17470,2,2399
29310,17470,3,2399
29311,11751,0,2450
29312,4554,0,2451
29313,4554,1,2451
29314,15149,0,2461
29315,11883,0,2484
29316,11883,1,2484
29317,11883,0,2489
29318,11883,1,2489
29319,113874,0,2499
29320,17479,0,2500
29321,13752,0,2516
29322,13753,1,2516
29323,16004,1,2522
29324,16004,3,2522
29325,16004,1,2523
29326,16004,3,2523
29327,12198,0,2542
29328,12199,1,2542
29329,12195,2,2566
29330,1018,2,2578
29331,25153,0,2614
29332,725,0,2618
29333,15976,0,2644
29334,15976,1,2644
29335,15976,2,2644
29336,15976,3,2644
29337,3606,0,2648
29338,3606,1,2648
29339,12962,0,2656
29340,46921,0,2660
29342,13747,0,2666
29343,13747,0,2667
29344,17472,0,2684
29345,17472,1,2684
29346,17472,2,2684
29347,17472,3,2684
29348,3606,0,2703
29349,3606,1,2703
29350,29476,0,2729
29351,46921,0,2733
29352,46921,0,2769
29353,46921,0,2770
29354,13752,0,2779
29355,13747,0,2784
29356,13747,0,2785
29357,648,0,2886
29358,17472,2,2892
29359,13753,0,2893
29360,15917,0,2925
29361,15917,1,2925
29362,101768,0,2942
29363,648,0,2948
29364,25529,0,2949
29365,13752,0,2961
29366,13753,1,2961
29367,15937,0,2997
29368,15934,0,2998
29369,15935,1,2998
29370,16491,3,2998
29371,15937,0,3002
29372,15937,0,3003
29373,648,0,3004
29374,120366,0,3022
29375,725,0,3031
29376,6161,1,3040
29377,21448,0,3058
29378,21449,1,3058
29379,22454,2,3058
29380,22583,3,3058
29381,22449,0,3061
29382,22450,1,3061
29383,22447,2,3061
29384,17641,0,3068
29385,17641,1,3068
29386,17641,2,3068
29387,17641,3,3068
29388,16483,1,3069
29389,16484,3,3069
29390,16489,1,3070
29391,17333,0,3099
29392,17333,1,3099
29393,17333,3,3099
29394,17640,0,3100
29395,17640,1,3100
29396,17640,2,3100
29397,17640,3,3100
29398,17479,0,3101
29399,17479,1,3101
29400,17479,2,3101
29401,17479,3,3101
29402,771,0,3102
29403,17639,2,3103
29404,17774,0,3107
29405,17775,1,3107
29406,17775,2,3107
29407,17775,3,3107
29408,17777,0,3108
29409,17778,1,3108
29410,17777,2,3108
29411,17778,3,3108
29412,18139,0,3115
29413,18135,1,3115
29414,22900,0,3141
29415,139612,2,3142
29416,24158,0,3143
29417,19841,2,3183
29418,15976,0,3316
29419,15976,1,3316
29420,15976,2,3316
29421,15976,3,3316
29422,715,0,3319
29423,15917,0,3320
29424,15917,1,3320
29425,23563,0,3321
29426,776,2,3345
29427,553,2,3346
29428,49507,0,3349
29429,471,2,3350
29430,13747,0,3418
29431,15917,0,3430
29432,15917,1,3430
29433,19841,0,3466
29434,19841,2,3466
29435,40400,3,3466
29436,24465,2,3845
29437,25525,0,3903
29438,433,0,3909
29439,433,2,3909
29440,25360,0,3917
29441,17472,0,3958
29442,17472,3,3958
29443,17479,0,3964
29444,6694,0,3990
29445,6694,1,3990
29446,34828,1,4005
29447,27669,1,4006
29448,26623,0,4043
29449,26623,2,4043
29450,26631,2,4044
29451,6694,0,4045
29452,6694,1,4045
29453,1018,2,4045
29454,17328,2,4046
29455,17328,3,4046
29456,28157,1,4078
29457,26836,0,4079
29458,26852,0,4082
29459,27070,0,4086
29460,17471,0,4087
29461,17471,1,4087
29462,17471,2,4087
29463,17471,3,4087
29464,26958,0,4093
29465,26985,1,4097
29466,32725,0,4099
29467,27077,0,4100
29468,32059,0,4101
29469,27077,0,4102
29470,27118,0,4104
29471,27182,0,4107
29472,34822,1,4119
29473,28153,0,4129
29474,28158,0,4130
29475,28507,1,4141
29476,28508,2,4141
29477,28600,0,4144
29478,28632,0,4146
29479,31068,1,4152
29480,2093,2,4155
29481,28911,1,4163
29482,29223,1,4167
29483,29224,2,4167
29484,26958,0,4196
29485,27077,0,4238
29486,32332,1,4250
29487,32332,1,4251
29488,27182,0,4255
29489,32740,0,4256
29490,32815,0,4259
29491,32784,0,4260
29492,32796,1,4261
29493,32807,1,4262
29494,16004,1,4275
29495,16004,3,4275
29496,33155,0,4277
29497,26623,0,4298
29498,26623,2,4298
29499,33558,0,4299
29500,33557,1,4299
29501,34167,0,4324
29502,34166,1,4324
29503,34165,2,4324
29508,34796,0,4351
29509,34835,0,4354
29510,35146,0,4378
29511,35146,1,4378
29512,35146,2,4378
29513,35146,3,4378
29514,35166,0,4380
29515,35165,1,4380
29516,35176,0,4381
29517,35177,1,4381
29518,35230,0,4383
