ID,AfterTimeInAnimation,AnimationDataID,Field_10_0_0_44795_002,Field_10_0_0_44795_003,Flags,SpellID,Field_10_0_0_44795_006
2,60,1532,151476,159808,0,360954,163935
3,45,1722,0,159805,0,360954,0
4,65,1724,151476,159809,0,360954,163934
5,25,1722,0,159799,0,360954,0
6,0,1722,0,159799,0,360954,0
7,65,1724,151476,160408,0,368896,163934
8,60,1532,151476,160410,0,368896,163935
9,45,1722,0,160407,0,368896,0
10,25,1722,0,160412,0,368896,0
11,0,1722,0,160412,0,368896,0
12,65,1724,151476,160414,0,368901,163934
13,60,1532,151476,160415,0,368901,163935
14,45,1722,0,160416,0,368901,0
15,25,1722,0,160417,0,368901,0
16,0,1722,0,160417,0,368901,0
17,65,1724,151476,160418,0,368899,163934
18,60,1532,151476,160419,0,368899,163935
19,45,1722,0,160420,0,368899,0
20,25,1722,0,160421,0,368899,0
21,0,1722,0,160421,0,368899,0
23,45,0,0,159917,1,0,0
24,65,1724,151476,160913,0,373646,163934
25,60,1532,151476,160912,0,373646,163935
26,45,1722,0,160911,0,373646,0
27,25,1722,0,160911,0,373646,0
28,0,1722,0,160911,0,373646,0
29,17,1722,0,160911,0,373646,0
30,28,1722,0,160911,0,373646,0
31,40,1532,164612,160912,0,373646,163935
32,45,1724,164612,160913,0,373646,163934
33,0,1722,0,160911,0,373646,0
34,105,1724,151476,159809,0,360954,163934
35,105,1724,151476,160408,0,368896,163934
36,105,1724,151476,160414,0,368901,163934
37,105,1724,151476,160418,0,368899,163934
38,105,1724,151476,160913,0,373646,163934
39,105,1724,164612,160913,0,373646,163934
