ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,0.2425156,0.3900459,0.40419266,0.40419266,0.40419266,0.40419266,0.40419266
2,2,0.28293487,0.45505357,0.4715581,0.4715581,0.4715581,0.4715581,0.4715581
3,3,0.32335413,0.5200612,0.53892356,0.53892356,0.53892356,0.53892356,0.53892356
4,4,0.3637734,0.5850689,0.60628897,0.60628897,0.60628897,0.60628897,0.60628897
5,5,0.40419266,0.6500765,0.67365444,0.67365444,0.67365444,0.67365444,0.67365444
6,6,0.46932542,0.75483173,0.78220904,0.78220904,0.78220904,0.78220904,0.78220904
7,7,0.54021144,0.86884004,0.90035236,0.90035236,0.90035236,0.90035236,0.90035236
8,8,0.5616011,0.90324175,0.9360018,0.9360018,0.9360018,0.9360018,0.9360018
9,9,0.6309955,1.0148511,1.0516592,1.0516592,1.0516592,1.0516592,1.0516592
10,10,0.6460361,1.0390414,1.0767268,1.0767268,1.0767268,1.0767268,1.0767268
11,11,0.7200592,1.1580952,1.2000986,1.2000986,1.2000986,1.2000986,1.2000986
12,12,0.7362565,1.1841458,1.2270942,1.2270942,1.2270942,1.2270942,1.2270942
13,13,0.81490797,1.3106437,1.3581799,1.3581799,1.3581799,1.3581799,1.3581799
14,14,0.832262,1.3385547,1.3871033,1.3871033,1.3871033,1.3871033,1.3871033
15,15,0.91554177,1.4724963,1.5259029,1.5259029,1.5259029,1.5259029,1.5259029
16,16,0.9427835,1.5163101,1.5713058,1.5713058,1.5713058,1.5713058,1.5713058
17,17,1.0407244,1.6738318,1.7345407,1.7345407,1.7345407,1.7345407,1.7345407
18,18,1.1428667,1.8381107,1.9047779,1.9047779,1.9047779,1.9047779,1.9047779
19,19,1.261417,2.028779,2.1023617,2.1023617,2.1023617,2.1023617,2.1023617
20,20,1.3857532,2.228753,2.3095887,2.3095887,2.3095887,2.3095887,2.3095887
21,21,1.5158751,2.4380324,2.5264585,2.5264585,2.5264585,2.5264585,2.5264585
22,22,1.6517824,2.6566167,2.7529707,2.7529707,2.7529707,2.7529707,2.7529707
23,23,1.8024424,2.8989282,3.0040708,3.0040708,3.0040708,3.0040708,3.0040708
24,24,1.9603624,3.1529162,3.2672706,3.2672706,3.2672706,3.2672706,3.2672706
25,25,2.125629,3.41872,3.542715,3.542715,3.542715,3.542715,3.542715
26,26,2.2099316,3.5543067,3.6832194,3.6832194,3.6832194,3.6832194,3.6832194
27,27,2.2949526,3.6910489,3.824921,3.824921,3.824921,3.824921,3.824921
28,28,2.3806922,3.8289468,3.9678204,3.9678204,3.9678204,3.9678204,3.9678204
29,29,2.4675672,3.9686704,4.112612,4.112612,4.112612,4.112612,4.112612
30,30,2.556178,4.1111865,4.260297,4.260297,4.260297,4.260297,4.260297
31,31,2.647182,4.257551,4.41197,4.41197,4.41197,4.41197,4.41197
32,32,2.7412941,4.4089146,4.5688233,4.5688233,4.5688233,4.5688233,4.5688233
33,33,2.8392918,4.5665274,4.732153,4.732153,4.732153,4.732153,4.732153
34,34,2.9137752,4.6863217,4.856292,4.856292,4.856292,4.856292,4.856292
35,35,3.0052674,4.833472,5.008779,5.008779,5.008779,5.008779,5.008779
36,36,3.100474,4.986596,5.1674566,5.1674566,5.1674566,5.1674566,5.1674566
37,37,3.199565,5.145967,5.332608,5.332608,5.332608,5.332608,5.332608
38,38,3.3027189,5.3118725,5.5045314,5.5045314,5.5045314,5.5045314,5.5045314
39,39,3.4101229,5.4846144,5.6835384,5.6835384,5.6835384,5.6835384,5.6835384
40,40,3.5219748,5.6645093,5.869958,5.869958,5.869958,5.869958,5.869958
41,41,3.6384814,5.851891,6.0641356,6.0641356,6.0641356,6.0641356,6.0641356
42,42,3.7598608,6.0471096,6.2664347,6.2664347,6.2664347,6.2664347,6.2664347
43,43,3.8863423,6.2505336,6.477237,6.477237,6.477237,6.477237,6.477237
44,44,4.0181665,6.4625516,6.6969447,6.6969447,6.6969447,6.6969447,6.6969447
45,45,4.1555877,6.6835704,6.9259796,6.9259796,6.9259796,6.9259796,6.9259796
46,46,4.298872,6.914019,7.164787,7.164787,7.164787,7.164787,7.164787
47,47,4.4483004,7.15435,7.413834,7.413834,7.413834,7.413834,7.413834
48,48,4.6041684,7.405038,7.6736145,7.6736145,7.6736145,7.6736145,7.6736145
49,49,4.733299,7.612722,7.888831,7.888831,7.888831,7.888831,7.888831
50,50,4.867103,7.8279243,8.111838,8.111838,8.111838,8.111838,8.111838
51,51,4.9703364,7.9939575,8.283894,8.283894,8.283894,8.283894,8.283894
52,52,5.0765824,8.164837,8.460971,8.460971,8.460971,8.460971,8.460971
53,53,5.14895,8.281228,8.581584,8.581584,8.581584,8.581584,8.581584
54,54,5.259867,8.4596195,8.766445,8.766445,8.766445,8.766445,8.766445
55,55,5.3354244,8.5811405,8.892374,8.892374,8.892374,8.892374,8.892374
56,56,5.451242,8.767414,9.085403,9.085403,9.085403,9.085403,9.085403
