ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,0.1212578,0.19502296,0.20209633,0.20209633,0.20209633,0.20209633,0.20209633
2,2,0.14146744,0.22752678,0.23577905,0.23577905,0.23577905,0.23577905,0.23577905
3,3,0.16167706,0.2600306,0.26946178,0.26946178,0.26946178,0.26946178,0.26946178
4,4,0.1818867,0.29253444,0.30314448,0.30314448,0.30314448,0.30314448,0.30314448
5,5,0.20209633,0.32503825,0.33682722,0.33682722,0.33682722,0.33682722,0.33682722
6,6,0.23466271,0.37741587,0.39110452,0.39110452,0.39110452,0.39110452,0.39110452
7,7,0.27010572,0.43442002,0.45017618,0.45017618,0.45017618,0.45017618,0.45017618
8,8,0.28080055,0.45162088,0.4680009,0.4680009,0.4680009,0.4680009,0.4680009
9,9,0.31549776,0.50742555,0.5258296,0.5258296,0.5258296,0.5258296,0.5258296
10,10,0.32301804,0.5195207,0.5383634,0.5383634,0.5383634,0.5383634,0.5383634
11,11,0.3600296,0.5790476,0.6000493,0.6000493,0.6000493,0.6000493,0.6000493
12,12,0.36812824,0.5920729,0.6135471,0.6135471,0.6135471,0.6135471,0.6135471
13,13,0.40745398,0.65532184,0.67908996,0.67908996,0.67908996,0.67908996,0.67908996
14,14,0.416131,0.66927737,0.69355166,0.69355166,0.69355166,0.69355166,0.69355166
15,15,0.45777088,0.73624814,0.76295143,0.76295143,0.76295143,0.76295143,0.76295143
16,16,0.47139174,0.75815505,0.7856529,0.7856529,0.7856529,0.7856529,0.7856529
17,17,0.5203622,0.8369159,0.86727035,0.86727035,0.86727035,0.86727035,0.86727035
18,18,0.57143337,0.91905534,0.95238894,0.95238894,0.95238894,0.95238894,0.95238894
19,19,0.6307085,1.0143895,1.0511808,1.0511808,1.0511808,1.0511808,1.0511808
20,20,0.6928766,1.1143765,1.1547943,1.1547943,1.1547943,1.1547943,1.1547943
21,21,0.75793755,1.2190162,1.2632293,1.2632293,1.2632293,1.2632293,1.2632293
22,22,0.8258912,1.3283083,1.3764853,1.3764853,1.3764853,1.3764853,1.3764853
23,23,0.9012212,1.4494641,1.5020354,1.5020354,1.5020354,1.5020354,1.5020354
24,24,0.9801812,1.5764581,1.6336353,1.6336353,1.6336353,1.6336353,1.6336353
25,25,1.0628145,1.70936,1.7713575,1.7713575,1.7713575,1.7713575,1.7713575
26,26,1.1049658,1.7771534,1.8416097,1.8416097,1.8416097,1.8416097,1.8416097
27,27,1.1474763,1.8455244,1.9124604,1.9124604,1.9124604,1.9124604,1.9124604
28,28,1.1903461,1.9144734,1.9839102,1.9839102,1.9839102,1.9839102,1.9839102
29,29,1.2337836,1.9843352,2.056306,2.056306,2.056306,2.056306,2.056306
30,30,1.278089,2.0555933,2.1301484,2.1301484,2.1301484,2.1301484,2.1301484
31,31,1.323591,2.1287756,2.205985,2.205985,2.205985,2.205985,2.205985
32,32,1.3706471,2.2044573,2.2844117,2.2844117,2.2844117,2.2844117,2.2844117
33,33,1.4196459,2.2832637,2.3660765,2.3660765,2.3660765,2.3660765,2.3660765
34,34,1.4568876,2.3431609,2.428146,2.428146,2.428146,2.428146,2.428146
35,35,1.5026337,2.416736,2.5043895,2.5043895,2.5043895,2.5043895,2.5043895
36,36,1.550237,2.493298,2.5837283,2.5837283,2.5837283,2.5837283,2.5837283
37,37,1.5997825,2.5729835,2.666304,2.666304,2.666304,2.666304,2.666304
38,38,1.6513594,2.6559362,2.7522657,2.7522657,2.7522657,2.7522657,2.7522657
39,39,1.7050614,2.7423072,2.8417692,2.8417692,2.8417692,2.8417692,2.8417692
40,40,1.7609874,2.8322546,2.934979,2.934979,2.934979,2.934979,2.934979
41,41,1.8192407,2.9259455,3.0320678,3.0320678,3.0320678,3.0320678,3.0320678
42,42,1.8799304,3.0235548,3.1332173,3.1332173,3.1332173,3.1332173,3.1332173
43,43,1.9431711,3.1252668,3.2386186,3.2386186,3.2386186,3.2386186,3.2386186
44,44,2.0090833,3.2312758,3.3484724,3.3484724,3.3484724,3.3484724,3.3484724
