ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,0.32118353,0.5165702,0.5353059,0.5353059,0.5353059,0.5353059,0.5353059
2,2,0.37471414,0.60266525,0.6245236,0.6245236,0.6245236,0.6245236,0.6245236
3,3,0.4282447,0.6887603,0.7137412,0.7137412,0.7137412,0.7137412,0.7137412
4,4,0.4817753,0.7748553,0.80295885,0.80295885,0.80295885,0.80295885,0.80295885
5,5,0.5353059,0.86095035,0.8921765,0.8921765,0.8921765,0.8921765,0.8921765
6,6,0.62156665,0.99968636,1.0359443,1.0359443,1.0359443,1.0359443,1.0359443
7,7,0.7154468,1.150677,1.1924114,1.1924114,1.1924114,1.1924114,1.1924114
8,8,0.74377495,1.196238,1.2396249,1.2396249,1.2396249,1.2396249,1.2396249
9,9,0.83567977,1.3440517,1.3927996,1.3927996,1.3927996,1.3927996,1.3927996
10,10,0.8555993,1.3760889,1.4259988,1.4259988,1.4259988,1.4259988,1.4259988
11,11,0.9536342,1.5337616,1.5893903,1.5893903,1.5893903,1.5893903,1.5893903
12,12,0.9750856,1.5682627,1.6251427,1.6251427,1.6251427,1.6251427,1.6251427
13,13,1.0792503,1.7357943,1.7987505,1.7987505,1.7987505,1.7987505,1.7987505
14,14,1.1022336,1.7727592,1.8370562,1.8370562,1.8370562,1.8370562,1.8370562
15,15,1.212528,1.9501492,2.02088,2.02088,2.02088,2.02088,2.02088
16,16,1.2486064,2.0081754,2.0810108,2.0810108,2.0810108,2.0810108,2.0810108
17,17,1.3783178,2.2167945,2.2971964,2.2971964,2.2971964,2.2971964,2.2971964
18,18,1.5135933,2.4343626,2.5226555,2.5226555,2.5226555,2.5226555,2.5226555
19,19,1.6705993,2.6868806,2.7843323,2.7843323,2.7843323,2.7843323,2.7843323
20,20,1.835268,2.9517229,3.0587802,3.0587802,3.0587802,3.0587802,3.0587802
21,21,2.007599,3.2288888,3.3459988,3.3459988,3.3459988,3.3459988,3.3459988
22,22,2.1875925,3.518378,3.6459877,3.6459877,3.6459877,3.6459877,3.6459877
23,23,2.3871243,3.8392913,3.9785404,3.9785404,3.9785404,3.9785404,3.9785404
24,24,2.5962708,4.1756687,4.327118,4.327118,4.327118,4.327118,4.327118
