ID,ItemLevel,Quality[0],Quality[1],Quality[2],Quality[3],Quality[4],Quality[5],Quality[6]
1,1,0.16059177,0.2582851,0.26765296,0.26765296,0.26765296,0.26765296,0.26765296
2,2,0.18735707,0.30133262,0.3122618,0.3122618,0.3122618,0.3122618,0.3122618
3,3,0.21412235,0.34438014,0.3568706,0.3568706,0.3568706,0.3568706,0.3568706
4,4,0.24088766,0.38742766,0.40147942,0.40147942,0.40147942,0.40147942,0.40147942
5,5,0.26765296,0.43047518,0.44608825,0.44608825,0.44608825,0.44608825,0.44608825
6,6,0.31078333,0.49984318,0.5179722,0.5179722,0.5179722,0.5179722,0.5179722
7,7,0.3577234,0.5753385,0.5962057,0.5962057,0.5962057,0.5962057,0.5962057
8,8,0.37188748,0.598119,0.6198124,0.6198124,0.6198124,0.6198124,0.6198124
9,9,0.41783988,0.67202586,0.6963998,0.6963998,0.6963998,0.6963998,0.6963998
10,10,0.42779964,0.6880444,0.7129994,0.7129994,0.7129994,0.7129994,0.7129994
11,11,0.4768171,0.7668808,0.79469514,0.79469514,0.79469514,0.79469514,0.79469514
12,12,0.4875428,0.78413135,0.81257135,0.81257135,0.81257135,0.81257135,0.81257135
13,13,0.53962517,0.86789715,0.89937526,0.89937526,0.89937526,0.89937526,0.89937526
14,14,0.5511168,0.8863796,0.9185281,0.9185281,0.9185281,0.9185281,0.9185281
15,15,0.606264,0.9750746,1.01044,1.01044,1.01044,1.01044,1.01044
16,16,0.6243032,1.0040877,1.0405054,1.0405054,1.0405054,1.0405054,1.0405054
17,17,0.6891589,1.1083972,1.1485982,1.1485982,1.1485982,1.1485982,1.1485982
18,18,0.75679666,1.2171813,1.2613277,1.2613277,1.2613277,1.2613277,1.2613277
19,19,0.8352997,1.3434403,1.3921661,1.3921661,1.3921661,1.3921661,1.3921661
20,20,0.917634,1.4758614,1.5293901,1.5293901,1.5293901,1.5293901,1.5293901
21,21,1.0037996,1.6144444,1.6729994,1.6729994,1.6729994,1.6729994,1.6729994
22,22,1.0937963,1.759189,1.8229939,1.8229939,1.8229939,1.8229939,1.8229939
23,23,1.1935622,1.9196457,1.9892702,1.9892702,1.9892702,1.9892702,1.9892702
24,24,1.2981354,2.0878344,2.163559,2.163559,2.163559,2.163559,2.163559
