ID,MinLevel,MaxLevel,ItemType,PrimaryStat,SecondaryStat,SpecializationID
34710,1,123,1,40,40,62
34711,1,123,1,40,40,63
34712,1,123,1,40,40,64
34713,1,123,1,40,40,1449
34714,1,123,1,40,40,256
34715,1,123,1,40,40,257
34716,1,123,1,40,40,1452
34717,1,123,1,40,40,258
34718,1,123,1,40,40,265
34719,1,123,1,40,40,266
34720,1,123,1,40,40,267
34721,1,123,1,40,40,1454
34722,1,123,1,0,40,62
34723,1,123,1,0,40,63
34724,1,123,1,0,40,64
34725,1,123,1,0,40,1449
34726,1,123,1,0,40,256
34727,1,123,1,0,40,257
34728,1,123,1,0,40,1452
34729,1,123,1,0,40,258
34730,1,123,1,0,40,265
34731,1,123,1,0,40,266
34732,1,123,1,0,40,267
34733,1,123,1,0,40,1454
34734,1,123,2,40,40,577
34735,1,123,2,40,40,1456
34736,1,123,2,40,40,581
34737,1,123,2,40,40,102
34738,1,123,2,40,40,103
34739,1,123,2,40,40,104
34740,1,123,2,40,40,1447
34741,1,123,2,40,40,105
34742,1,123,2,40,40,268
34743,1,123,2,40,40,1450
34744,1,123,2,40,40,270
34745,1,123,2,40,40,269
34746,1,123,2,40,40,259
34747,1,123,2,40,40,1453
34748,1,123,2,40,40,260
34749,1,123,2,40,40,261
34750,1,123,2,1,40,577
34751,1,123,2,1,40,1456
34752,1,123,2,1,40,581
34753,1,123,2,1,40,103
34754,1,123,2,1,40,104
34755,1,123,2,1,40,1447
34756,1,123,2,1,40,268
34757,1,123,2,1,40,1450
34758,1,123,2,1,40,269
34759,1,123,2,1,40,259
34760,1,123,2,1,40,1453
34761,1,123,2,1,40,260
34762,1,123,2,1,40,261
34763,1,123,2,0,40,102
34764,1,123,2,0,40,1447
34765,1,123,2,0,40,105
34766,1,123,2,0,40,1450
34767,1,123,2,0,40,270
34768,1,123,3,40,40,253
34769,1,123,3,40,40,1448
34770,1,123,3,40,40,254
34771,1,123,3,40,40,255
34772,1,123,3,40,40,262
34773,1,123,3,40,40,263
34774,1,123,3,40,40,1444
34775,1,123,3,40,40,264
34776,1,123,3,1,40,253
34777,1,123,3,1,40,1448
34778,1,123,3,1,40,254
34779,1,123,3,1,40,255
34780,1,123,3,1,40,263
34781,1,123,3,1,40,1444
34782,1,123,3,0,40,262
34783,1,123,3,0,40,1444
34784,1,123,3,0,40,264
34785,1,123,4,40,40,250
34786,1,123,4,40,40,251
34787,1,123,4,40,40,1455
34788,1,123,4,40,40,252
34789,1,123,4,40,40,65
34790,1,123,4,40,40,1451
34791,1,123,4,40,40,66
34792,1,123,4,40,40,70
34793,1,123,4,40,40,71
34794,1,123,4,40,40,72
34795,1,123,4,40,40,1446
34796,1,123,4,40,40,73
34797,1,123,4,0,40,65
34798,1,123,4,0,40,1451
34799,1,123,4,2,40,250
34800,1,123,4,2,40,251
34801,1,123,4,2,40,1455
34802,1,123,4,2,40,252
34803,1,123,4,2,40,1451
34804,1,123,4,2,40,66
34805,1,123,4,2,40,70
34806,1,123,4,2,40,71
34807,1,123,4,2,40,72
34808,1,123,4,2,40,1446
34809,1,123,4,2,40,73
34810,1,123,0,1,40,577
34811,1,123,0,1,40,1456
34812,1,123,0,1,40,581
34813,1,123,0,1,40,103
34814,1,123,0,1,40,104
34815,1,123,0,1,40,1447
34816,1,123,0,1,40,253
34817,1,123,0,1,40,1448
34818,1,123,0,1,40,254
34819,1,123,0,1,40,255
34820,1,123,0,1,40,268
34821,1,123,0,1,40,1450
34822,1,123,0,1,40,269
34823,1,123,0,1,40,259
34824,1,123,0,1,40,1453
34825,1,123,0,1,40,260
34826,1,123,0,1,40,261
34827,1,123,0,1,40,263
34828,1,123,0,1,40,1444
34829,1,123,0,0,40,102
34830,1,123,0,0,40,1447
34831,1,123,0,0,40,105
34832,1,123,0,0,40,62
34833,1,123,0,0,40,63
34834,1,123,0,0,40,64
34835,1,123,0,0,40,1449
34836,1,123,0,0,40,1450
34837,1,123,0,0,40,270
34838,1,123,0,0,40,65
34839,1,123,0,0,40,1451
34840,1,123,0,0,40,256
34841,1,123,0,0,40,257
34842,1,123,0,0,40,1452
34843,1,123,0,0,40,258
34844,1,123,0,0,40,262
34845,1,123,0,0,40,1444
34846,1,123,0,0,40,264
34847,1,123,0,0,40,265
34848,1,123,0,0,40,266
34849,1,123,0,0,40,267
34850,1,123,0,0,40,1454
34851,1,123,0,2,40,250
34852,1,123,0,2,40,251
34853,1,123,0,2,40,1455
34854,1,123,0,2,40,252
34855,1,123,0,2,40,1451
34856,1,123,0,2,40,66
