ID,SpellID,Slot,ModifiedCraftingReagentSlotID,Field_9_0_1_35679_003
19,309181,0,77,45
30,309180,0,46,45
32,309179,0,46,45
34,309178,0,46,45
36,309177,0,46,45
38,309176,0,46,45
40,309175,0,46,45
43,309174,0,77,45
51,310877,0,77,45
54,310876,0,46,45
57,310875,0,46,45
60,310874,0,46,45
63,310873,0,46,45
66,310872,0,46,45
69,310871,0,46,45
72,310870,0,46,45
75,310869,0,77,45
78,307670,0,77,45
81,307669,0,46,45
84,307668,0,46,45
87,307667,0,46,45
90,307666,0,46,45
93,307665,0,46,45
96,307664,0,46,45
99,307663,0,46,45
114,288097,0,67,0
115,288097,1,67,0
117,309189,0,77,45
120,309188,0,46,45
123,309187,0,46,45
126,309186,0,46,45
129,309185,0,46,45
132,309184,0,46,45
135,309183,0,46,45
138,309182,0,77,45
165,309237,0,17,0
166,309237,1,17,0
167,309237,2,16,0
168,309236,0,17,0
169,309236,1,17,0
170,309236,2,16,0
171,309235,0,17,0
172,309235,1,17,0
173,309235,2,16,0
174,309234,0,17,0
175,309234,1,17,0
176,309234,2,16,0
177,309233,0,17,0
178,309233,1,17,0
179,309233,2,16,0
180,309232,0,17,0
181,309232,1,17,0
182,309232,2,16,0
183,309230,0,17,0
184,309230,1,17,0
185,309230,2,16,0
186,309231,0,17,0
187,309231,1,17,0
188,309231,2,16,0
357,309245,0,17,0
358,309245,1,17,0
359,309245,2,16,0
360,309244,0,17,0
361,309244,1,17,0
362,309244,2,16,0
363,309243,0,17,0
364,309243,1,17,0
365,309243,2,16,0
366,309242,0,17,0
367,309242,1,17,0
368,309242,2,16,0
369,309241,0,17,0
370,309241,1,17,0
371,309241,2,16,0
372,309240,0,17,0
373,309240,1,17,0
374,309240,2,16,0
375,309238,0,17,0
376,309238,1,17,0
377,309238,2,16,0
378,309239,0,17,0
379,309239,1,17,0
380,309239,2,16,0
392,322595,0,17,0
393,322595,1,17,0
394,322595,2,16,0
395,322593,0,17,0
396,322593,1,17,0
397,322593,2,16,0
398,322587,0,17,0
399,322587,1,17,0
400,322587,2,16,0
401,322588,0,17,0
402,322588,1,17,0
403,322588,2,16,0
404,322589,0,17,0
405,322589,1,17,0
406,322589,2,16,0
407,322590,0,17,0
408,322590,1,17,0
409,322590,2,16,0
410,322591,0,17,0
411,322591,1,17,0
412,322591,2,16,0
413,322594,0,17,0
414,322594,1,17,0
415,322594,2,16,0
417,122568,0,47,0
418,122583,0,31,40
419,171696,0,31,40
421,122576,0,31,40
422,122580,0,31,40
423,122600,0,31,0
424,122604,0,31,0
425,122639,0,31,40
426,153667,0,31,0
427,122577,0,31,40
428,122579,0,31,40
429,122582,0,31,40
430,122601,0,31,0
431,122603,0,31,0
432,122606,0,31,0
433,171691,0,31,40
434,171692,0,31,40
435,171694,0,31,40
436,171697,0,31,40
437,178243,0,31,40
438,122581,0,31,40
439,122605,0,31,0
440,122640,0,31,0
441,122578,0,31,40
442,122602,0,31,0
443,153666,0,31,0
444,171698,0,47,40
445,178245,0,47,40
446,171707,0,47,40
447,171693,0,47,40
448,171704,0,47,40
449,153668,0,47,0
450,171702,0,47,40
451,122570,0,47,0
452,122586,0,47,0
453,122635,0,47,40
454,122636,0,47,40
455,171701,0,47,40
456,122574,0,47,0
457,122584,0,47,0
458,122590,0,47,0
459,171695,0,47,40
460,122569,0,47,0
461,122575,0,47,0
462,122585,0,47,0
463,122591,0,47,0
464,171700,0,47,40
468,122573,0,48,0
469,122589,0,48,0
470,153605,0,48,0
471,153608,0,48,0
472,153628,0,48,0
473,153629,0,48,0
474,171703,0,48,40
475,153612,0,48,0
476,122572,0,48,0
477,122588,0,48,0
478,153607,0,48,0
479,153627,0,48,0
480,153630,0,48,0
481,122571,0,48,0
482,122587,0,48,0
483,122637,0,48,40
484,122638,0,48,40
485,122641,0,48,0
486,122597,0,48,0
487,122613,0,48,0
488,122647,0,48,0
489,153609,0,48,0
490,171706,0,48,40
491,122644,0,48,0
492,122646,0,48,0
493,153611,0,48,0
494,122595,0,48,0
495,122611,0,48,0
496,122650,0,48,0
497,122651,0,48,0
498,122652,0,48,0
499,122653,0,48,0
500,122654,0,48,0
501,153606,0,48,0
502,122593,0,48,0
503,122609,0,48,0
504,122596,0,49,0
505,122612,0,49,0
506,122615,0,49,0
507,153610,0,49,0
508,122594,0,49,0
509,122610,0,49,0
510,122649,0,49,0
511,153649,0,49,0
512,153653,0,49,0
513,122592,0,49,0
514,122608,0,49,0
515,122645,0,49,0
516,122648,0,49,0
517,153631,0,49,0
518,153644,0,49,0
519,153645,0,49,0
520,171705,0,49,40
521,122598,0,49,0
522,122614,0,49,0
523,153651,0,49,0
524,153652,0,49,0
525,122621,0,49,0
526,122629,0,49,0
527,122642,0,49,0
528,122643,0,49,0
529,137780,0,49,40
530,137781,0,49,40
531,137791,0,49,40
532,137792,0,49,40
533,153648,0,49,0
534,122617,0,49,0
535,122625,0,49,0
536,140842,0,49,40
537,137775,0,49,40
538,137786,0,49,40
539,137797,0,49,40
540,153643,0,49,0
541,122623,0,49,0
542,122631,0,49,0
543,137776,0,49,40
544,137777,0,49,40
545,137787,0,49,40
546,137788,0,49,40
547,153650,0,49,0
548,122619,0,49,0
549,122627,0,49,0
550,126855,0,49,0
551,126851,0,49,0
552,126853,0,49,0
553,140845,0,49,40
554,137783,0,49,40
555,137794,0,49,40
556,153646,0,49,0
557,122618,0,49,0
558,122626,0,49,0
559,126852,0,49,0
560,126854,0,49,0
561,126850,0,49,0
562,140846,0,49,40
563,140841,0,49,40
564,137782,0,49,40
565,137793,0,49,40
566,122616,0,50,0
567,122624,0,50,0
568,140844,0,50,40
569,137773,0,50,40
570,137784,0,50,40
571,137795,0,50,40
572,137767,0,50,40
573,137769,0,50,40
574,137771,0,50,40
575,153647,0,50,0
576,122622,0,50,0
577,122630,0,50,0
578,137778,0,50,40
579,137779,0,50,40
580,137789,0,50,40
581,137790,0,50,40
582,137766,0,50,40
583,137768,0,50,40
584,137770,0,50,40
585,122620,0,50,0
586,122628,0,50,0
587,140843,0,50,40
588,137774,0,50,40
589,137785,0,50,40
590,137796,0,50,40
592,36122,0,31,0
593,54550,0,31,40
594,54917,0,31,40
595,55834,0,31,40
596,76258,0,31,40
597,122607,0,31,0
598,76180,0,31,40
599,76182,0,31,40
600,29551,0,31,40
601,76179,0,31,40
602,76181,0,31,40
603,76259,0,31,0
604,76261,0,31,0
605,76260,0,31,0
606,52572,0,47,40
607,52568,0,47,40
608,55835,0,47,40
609,76291,0,47,40
610,52569,0,47,40
611,52570,0,47,40
612,52567,0,47,40
613,76263,0,47,40
614,76281,0,47,40
615,52571,0,47,40
616,76437,0,47,40
617,76474,0,47,40
618,54918,0,47,40
619,76262,0,47,40
620,55200,0,47,40
621,55201,0,47,40
622,29547,0,47,40
623,54941,0,47,40
624,54944,0,47,40
625,76280,0,47,40
626,76264,0,47,40
627,76285,0,47,40
628,29545,0,47,40
629,55203,0,47,40
630,76433,0,47,40
631,76434,0,47,40
632,76436,0,47,40
633,29548,0,48,40
634,54557,0,48,40
635,54945,0,48,40
636,54978,0,48,40
637,55013,0,48,40
638,76265,0,48,40
639,76283,0,48,40
640,76266,0,48,40
641,76435,0,48,40
642,55174,0,48,40
643,55204,0,48,40
644,29556,0,48,40
645,29553,0,48,40
646,29558,0,48,40
647,54551,0,48,40
648,54946,0,48,40
649,76267,0,48,0
650,76286,0,48,40
651,29550,0,48,40
652,54554,0,48,40
653,54947,0,48,40
654,55055,0,48,40
655,55177,0,48,40
656,76287,0,48,40
657,76293,0,48,40
658,76269,0,48,0
659,76270,0,48,0
660,76288,0,48,0
661,76289,0,48,0
662,29566,0,49,40
663,54948,0,49,40
664,54949,0,49,40
665,54979,0,49,40
666,122599,0,49,0
667,99657,0,49,0
668,54552,0,49,40
669,54553,0,49,40
670,76444,0,49,0
671,76454,0,49,0
672,76443,0,49,0
673,55056,0,49,40
674,76452,0,49,0
675,76453,0,49,0
676,94718,0,49,0
677,94732,0,49,0
678,99655,0,49,0
679,54980,0,49,40
680,55179,0,49,40
681,54555,0,49,40
682,54556,0,49,40
683,55057,0,49,40
684,59440,0,49,40
685,76446,0,49,0
686,137772,0,49,40
687,55181,0,49,40
689,59436,0,49,40
690,59438,0,49,40
691,29568,0,50,40
692,29569,0,50,40
693,29603,0,50,40
694,55014,0,50,40
695,55182,0,50,40
696,56280,0,50,40
697,59442,0,50,40
698,54981,0,50,40
699,55017,0,50,40
700,76445,0,50,0
701,76451,0,50,0
702,99652,0,50,0
703,29606,0,50,0
704,76448,0,50,0
705,76455,0,50,0
706,55015,0,50,0
707,55058,0,50,0
708,55183,0,50,0
709,55184,0,50,0
710,55185,0,50,0
711,55186,0,50,0
712,55187,0,50,0
713,55302,0,50,0
714,55303,0,50,0
715,55304,0,50,0
716,55310,0,50,0
717,55308,0,50,0
718,55309,0,50,0
719,55312,0,50,0
720,55306,0,50,0
721,55307,0,50,0
722,55311,0,50,0
723,55305,0,50,0
724,55298,0,50,0
725,55300,0,50,0
726,55301,0,50,0
727,56549,0,50,0
728,56553,0,50,0
729,56555,0,50,0
