ID,Name_lang,EnumID
1,Crafting Skill,0
2,Inspiration,1
3,Resourcefulness,2
4,Finesse,3
5,Deftness,4
6,Perception,5
7,Crafting Speed,6
8,Multicraft,7
9,Unlock Reagent Slot (DNT),8
10,Inspiration,9
11,Resourcefulness,10
12,Finesse,11
13,Deftness,12
14,Perception,13
15,Crafting Speed,14
16,Multicraft,15
17,Deftness,16
18,Gather Range Rating (DNT),17
19,additional items crafted with Multicraft (DNT),18
20,basic reagents gathered from Finesse (DNT),19
21,bonus Crafting Skill from Inspiration (DNT),20
22,reagents saved from Resourcefulness (DNT),21
