ID,EpicF[0],EpicF[1],SuperiorF[0],SuperiorF[1],GoodF[0],GoodF[1],Epic[0],Epic[1],Superior[0],Superior[1],Good[0],Good[1]
1,263.12057,210.49646,263.12057,210.49646,263.12057,210.49646,263,210,263,210,263,210
2,265.75177,212.60143,265.75177,212.60143,265.75177,212.60143,265,212,265,212,265,212
3,268.4093,214.72745,268.4093,214.72745,268.4093,214.72745,268,214,268,214,268,214
4,271.09338,216.87471,271.09338,216.87471,271.09338,216.87471,271,216,271,216,271,216
5,273.80432,219.04346,273.80432,219.04346,273.80432,219.04346,273,219,273,219,273,219
6,276.54236,221.2339,276.54236,221.2339,276.54236,221.2339,276,221,276,221,276,221
7,279.3078,223.44624,279.3078,223.44624,279.3078,223.44624,279,223,279,223,279,223
8,282.10086,225.6807,282.10086,225.6807,282.10086,225.6807,282,225,282,225,282,225
9,284.92188,227.9375,284.92188,227.9375,284.92188,227.9375,284,227,284,227,284,227
10,287.7711,230.21689,287.7711,230.21689,287.7711,230.21689,287,230,287,230,287,230
11,290.6488,232.51906,290.6488,232.51906,290.6488,232.51906,290,232,290,232,290,232
12,293.5553,234.84424,293.5553,234.84424,293.5553,234.84424,293,234,293,234,293,234
13,296.49084,237.19269,296.49084,237.19269,296.49084,237.19269,296,237,296,237,296,237
14,299.45575,239.5646,299.45575,239.5646,299.45575,239.5646,299,239,299,239,299,239
15,302.45032,241.96025,302.45032,241.96025,302.45032,241.96025,302,241,302,241,302,241
16,305.47482,244.37985,305.47482,244.37985,305.47482,244.37985,305,244,305,244,305,244
17,308.52957,246.82365,308.52957,246.82365,308.52957,246.82365,308,246,308,246,308,246
18,311.61487,249.2919,311.61487,249.2919,311.61487,249.2919,311,249,311,249,311,249
19,314.73102,251.78482,314.73102,251.78482,314.73102,251.78482,314,251,314,251,314,251
20,317.87833,254.30266,317.87833,254.30266,317.87833,254.30266,317,254,317,254,317,254
21,321.0571,256.8457,321.0571,256.8457,321.0571,256.8457,321,256,321,256,321,256
22,324.26767,259.41415,324.26767,259.41415,324.26767,259.41415,324,259,324,259,324,259
23,327.51035,262.0083,327.51035,262.0083,327.51035,262.0083,327,262,327,262,327,262
24,330.78546,264.62836,330.78546,264.62836,330.78546,264.62836,330,264,330,264,330,264
25,334.09332,267.27466,334.09332,267.27466,334.09332,267.27466,334,267,334,267,334,267
26,337.43423,269.9474,337.43423,269.9474,337.43423,269.9474,337,269,337,269,337,269
27,340.8086,272.64688,340.8086,272.64688,340.8086,272.64688,340,272,340,272,340,272
28,344.21667,275.37335,344.21667,275.37335,344.21667,275.37335,344,275,344,275,344,275
29,347.65884,278.12708,347.65884,278.12708,347.65884,278.12708,347,278,347,278,347,278
