ID,TraitDefinitionID
2017,20987
2018,20986
2019,20985
2020,20984
2021,20983
2022,20982
2023,20981
2024,20980
2025,20979
2026,20978
2027,20977
2028,20976
2029,20975
2030,20974
2031,20973
2032,20972
2033,20971
2034,20970
2035,20969
2036,20968
2037,20967
2038,20966
2039,20965
2040,20964
2041,20963
2042,20962
2043,20961
2044,20960
2045,20959
2046,20958
2047,20957
2048,20956
2049,20955
2050,20954
2051,20953
2052,20952
2053,20951
2054,20950
2055,21048
2056,21047
2057,21046
2058,21045
2059,21044
2060,21043
2061,21042
2062,21041
2063,21040
2064,21039
2065,21038
2066,21037
2067,21036
2068,21035
2069,21034
2070,21033
2071,21032
2072,21031
2073,21030
2074,21029
2075,21028
2076,21027
2077,21026
2078,21025
2079,21024
2080,21023
2081,21022
2082,21021
2083,21020
2084,21019
2085,21018
2086,21017
2087,21016
2088,21015
2089,21014
2090,21013
2091,21012
2092,21011
2093,21010
2094,21009
2095,21008
2096,21007
2097,21006
2098,21005
2099,21004
2100,21003
2101,21002
2102,21001
2103,21000
2104,20999
2105,20998
2106,20997
2107,20996
2108,20995
2109,20994
2110,20993
2655,24800
2656,24799
2657,24798
2658,24797
2659,24796
2660,24795
2661,24794
2662,24793
2663,24792
2664,24791
2665,24790
2666,24789
2667,24788
2668,24787
2669,24786
2670,24785
2671,24784
2672,24783
2673,24782
2674,24781
2675,24780
2676,24779
2677,24778
2678,24777
2679,24776
2680,24775
2681,24774
2682,24773
2683,24772
2684,24771
2685,24770
2686,24769
2687,24768
2688,24767
2689,24766
2690,24765
2691,24764
2692,24763
2693,24762
2694,24761
2695,24760
2696,24759
2697,24758
2698,24829
2699,24828
2700,24827
2701,24826
2702,24825
2703,24824
2704,24823
2705,24822
2706,24821
2707,24820
2708,24819
2709,24818
2710,24817
2711,24816
2712,24815
2713,24814
2714,24813
2715,24812
2716,24811
2717,24810
2718,24809
2719,24808
2720,24807
2721,24875
2722,24874
2723,24873
2724,24872
2725,24871
2726,24870
2727,24869
2728,24868
2729,24867
2730,24866
2731,24865
2732,24864
2733,24863
2734,24862
2735,24861
2736,24860
2737,24859
2738,24858
2739,24857
2740,24856
2741,24855
2742,24854
2743,24853
2744,24852
2745,24851
2746,24850
2747,24849
2748,24848
2749,24847
2750,24846
2751,24845
2752,24844
2753,24843
2754,24842
2755,24841
2756,24840
2757,24839
2758,24838
2759,24837
2760,24836
2761,24835
2762,24834
2763,24833
2764,24933
2765,24932
2766,24931
2767,24930
2768,24929
2769,24928
2770,24927
2771,24926
2772,24925
2773,24924
2774,24923
2775,24922
2776,24921
2777,24920
2778,24919
2779,24918
2780,24917
2781,24916
2782,24915
2783,24914
2784,24913
2785,24912
2786,24911
2787,24910
2788,24909
2789,24908
2790,24907
2791,24906
2792,24905
2793,24904
2794,24903
2795,24902
2796,24901
2797,24900
2798,24899
2799,24898
2800,24897
2801,24896
2802,24895
2803,24894
2804,24893
2805,24892
2806,24891
2807,24890
2808,24889
2809,24888
2810,24887
2811,24886
2812,24885
2813,24884
2814,24883
2815,24882
2816,25043
2817,25042
2818,25041
2819,25040
2820,25039
2821,25038
2822,25037
2823,25036
2824,25035
2825,25034
2826,25033
2827,25032
2828,25031
2829,25030
2830,25029
2831,25028
2832,25027
2833,25026
2834,25025
2835,25024
2836,25023
2837,25022
2838,25021
2839,25020
2840,25019
2841,25018
2842,25017
2843,25016
2844,25015
2845,25014
2846,25013
2847,25012
2848,25011
2849,25010
2850,25009
2851,25008
2852,25007
2853,25006
2854,25005
2855,25004
2856,25003
2857,25002
2858,25001
2859,25000
2860,24999
2861,24998
2862,24997
2863,24996
2864,24995
2865,24994
2866,24993
2867,24992
2868,24991
2869,24990
2870,24989
2871,24988
2872,24987
2873,24986
2874,24985
2875,24984
2876,24983
2877,24982
2878,24981
2879,24980
2880,24979
2881,24978
2882,24977
2883,24976
2884,24975
2885,24974
2886,24973
2887,24972
2888,24971
2889,24970
2890,24969
2891,24968
2892,24967
2893,24966
2894,24965
2895,24964
2896,24963
2897,24962
2898,24961
2899,24960
2900,24959
2901,24958
2902,24957
2903,24956
2904,24955
2905,24954
2906,24953
2907,24952
2908,24951
2909,24950
2910,24949
2911,24948
2912,24947
2913,24946
2914,24945
2915,24944
2916,24943
2917,24942
2918,24941
2919,24940
2920,25080
2921,25079
2922,25078
2923,25077
2924,25076
2925,25075
2926,25074
2927,25073
2928,25072
2929,25071
2930,25070
2931,25069
2932,25068
2933,25067
2934,25066
2935,25065
2936,25064
2937,25063
2938,25062
2939,25061
2940,25060
2941,25059
2942,25058
2943,25057
2944,25155
2945,25154
2946,25153
2947,25152
2948,25151
2949,25150
2950,25149
2951,25148
2952,25147
2953,25146
2954,25145
2955,25144
2956,25143
2957,25142
2958,25141
2959,25140
2960,25139
2961,25138
2962,25137
2963,25136
2964,25135
2965,25134
2966,25133
2967,25132
2968,25131
2969,25130
2970,25129
2971,25128
2972,25127
2973,25126
2974,25125
2975,25124
2976,25123
2977,25122
2978,25121
2979,25120
2980,25119
2981,25118
2982,25117
2983,25116
2984,25115
2985,25114
2986,25113
2987,25112
2988,25111
2989,25110
2990,25109
2991,25108
2992,25107
2993,25106
2994,25105
2995,25104
2996,25103
2997,25102
2998,25101
2999,25100
3000,25099
3001,25098
3002,25097
3003,25096
3004,25095
3005,25094
3006,25093
3007,25092
3008,25091
3009,25090
3010,25089
3011,25088
3012,25087
3013,25086
3014,25085
3015,25084
3016,25238
3017,25237
3018,25236
3019,25235
3020,25234
3021,25233
3022,25232
3023,25231
3024,25230
3025,25229
3026,25228
3027,25227
3028,25226
3029,25225
3030,25224
3031,25223
3032,25222
3033,25221
3034,25220
3035,25219
3036,25218
3037,25217
3038,25216
3039,25215
3040,25214
3041,25213
3042,25212
3043,25211
3044,25210
3045,25209
3046,25208
3047,25207
3048,25206
3049,25205
3050,25204
3051,25203
3052,25202
3053,25201
3054,25200
3055,25199
3056,25198
3057,25197
3058,25196
3059,25195
3060,25194
3061,25193
3062,25192
3063,25191
3064,25190
3065,25189
3066,25188
3067,25187
3068,25186
3069,25185
3070,25184
3071,25183
3072,25182
3073,25181
3074,25180
3075,25179
3076,25178
3077,25177
3078,25176
3079,25175
3080,25174
3081,25173
3082,25172
3083,25171
3084,25170
3085,25169
3086,25168
3087,25167
3131,25402
3132,25401
3133,25400
3134,25399
3135,25398
3136,25397
3137,25396
3138,25395
3139,25394
3140,25393
3141,25392
3142,25391
3143,25390
3144,25389
3145,25388
3146,25387
3147,25386
3148,25385
3149,25384
3150,25383
3151,25382
3152,25381
3153,25380
3154,25379
3155,25378
3156,25377
3157,25376
3158,25375
3159,25374
3160,25373
3161,25372
3162,25371
3163,25370
3164,25369
3165,25368
3166,25367
3167,25366
3168,25365
3169,25364
3170,25363
3171,25362
3172,25361
3173,25360
3174,25359
3175,25358
3176,25357
3177,25356
3178,25355
3179,25354
3180,25353
3181,25352
3182,25351
3183,25350
3184,25349
3185,25348
3186,25347
3187,25346
3188,25345
3189,25344
3190,25343
3191,25342
3192,25341
3193,25340
3194,25339
3195,25338
3196,25337
3197,25336
3198,25335
3199,25334
3200,25333
3201,25332
3202,25331
3203,25330
3204,25329
3205,25328
3206,25327
3207,25326
3208,25325
3209,25324
3210,25323
3211,25322
3212,25321
3213,25320
3214,25319
3215,25318
3216,25317
