ID,ProfessionTraitID,ProfessionEffectID,Field_10_0_0_44649_003
1692,2017,1,0
1693,2018,7,0
1694,2020,11,0
1695,2022,7,0
1696,2024,11,0
1697,2026,33,0
1698,2026,38,1
1699,2026,39,2
1700,2027,1,0
1701,2028,71,0
1702,2029,8,0
1703,2031,100,0
1704,2032,8,0
1705,2033,100,0
1706,2034,37,0
1707,2035,1,0
1708,2036,71,0
1709,2037,8,0
1710,2038,100,0
1711,2040,12,0
1712,2041,100,0
1713,2042,37,0
1714,2043,1,0
1715,2044,29,0
1716,2045,8,0
1717,2046,28,0
1718,2047,8,0
1719,2048,96,0
1720,2049,1,0
1721,2050,29,0
1722,2051,8,0
1723,2052,28,0
1724,2053,8,0
1725,2054,96,0
1726,2055,1,0
1727,2056,41,0
1728,2057,7,0
1729,2059,11,0
1730,2061,7,0
1731,2062,32,0
1732,2062,9,1
1733,2062,13,2
1734,2063,1,0
1735,2065,8,0
1736,2067,12,0
1737,2069,8,0
1738,2070,37,0
1739,2071,1,0
1740,2072,6,0
1741,2073,6,0
1742,2075,71,0
1743,2077,37,0
1744,2079,1,0
1745,2080,6,0
1746,2081,6,0
1747,2083,71,0
1748,2085,37,0
1749,2087,1,0
1750,2089,8,0
1751,2091,12,0
1752,2093,8,0
1753,2095,1,0
1754,2096,6,0
1755,2097,6,0
1756,2099,71,0
1757,2101,37,0
1758,2103,1,0
1760,2105,6,0
1761,2107,71,0
1762,2109,37,0
2202,2655,1,0
2203,2657,7,0
2204,2661,11,0
2205,2662,35,0
2206,2663,1,0
2207,2665,8,0
2208,2666,6,0
2209,2667,12,0
2210,2668,6,0
2211,2669,8,0
2212,2670,38,0
2213,2670,39,1
2214,2671,1,0
2215,2673,8,0
2216,2674,6,0
2217,2675,12,0
2218,2676,6,0
2219,2677,8,0
2220,2678,38,0
2221,2678,39,1
2222,2679,1,0
2223,2680,6,0
2224,2681,7,0
2225,2683,11,0
2226,2685,38,0
2227,2685,39,1
2228,2692,44,0
2229,2693,28,0
2230,2694,34,0
2231,2695,28,0
2232,2696,34,0
2233,2697,69,0
2234,2698,1,0
2235,2699,87,0
2236,2701,88,0
2237,2703,87,0
2238,2704,33,0
2239,2704,8,1
2240,2704,12,2
2241,2705,50,0
2242,2706,89,0
2243,2707,12,0
2244,2708,90,0
2245,2709,12,0
2246,2710,90,0
2247,2711,12,0
2248,2712,91,0
2249,2713,2,0
2250,2714,92,0
2251,2715,8,0
2252,2716,93,0
2253,2717,8,0
2254,2718,93,0
2255,2719,8,0
2256,2720,94,0
2257,2721,1,0
2258,2723,7,0
2259,2727,11,0
2260,2728,36,0
2261,2729,1,0
2262,2731,6,0
2263,2732,8,0
2264,2734,6,0
2265,2735,12,0
2266,2736,38,0
2267,2736,39,1
2268,2737,1,0
2269,2739,6,0
2270,2740,8,0
2271,2742,6,0
2272,2743,12,0
2273,2744,38,0
2274,2744,39,1
2275,2745,1,0
2276,2746,6,0
2277,2747,7,0
2278,2749,11,0
2279,2751,38,0
2280,2751,39,1
2281,2758,105,0
2282,2759,27,0
2283,2760,113,0
2284,2762,27,0
2285,2763,96,0
2286,2764,1,0
2287,2765,7,0
2288,2767,11,0
2289,2769,33,0
2290,2771,7,0
2291,2773,11,0
2292,2775,9,0
2293,2775,13,1
2294,2775,32,2
2295,2776,101,0
2296,2777,111,0
2297,2778,111,0
2298,2780,111,0
2299,2781,112,0
2300,2782,1,0
2301,2783,29,0
2302,2784,6,0
2303,2785,8,0
2304,2786,29,0
2305,2788,29,0
2306,2789,6,0
2307,2790,39,0
2308,2791,96,0
2309,2792,1,0
2310,2794,12,0
2311,2796,8,0
2312,2798,12,0
2313,2799,71,0
2314,2800,101,0
2315,2801,89,0
2316,2802,12,0
2317,2803,90,0
2318,2804,12,0
2319,2805,90,0
2320,2806,12,0
2321,2807,91,0
2322,2808,2,0
2323,2809,92,0
2324,2810,8,0
2325,2811,93,0
2326,2812,8,0
2327,2813,93,0
2328,2814,8,0
2329,2815,94,0
2330,2816,1,0
2331,2817,41,0
2332,2818,7,0
2333,2820,11,0
2334,2822,7,0
2335,2823,32,0
2336,2823,9,1
2337,2823,13,2
2338,2824,1,0
2339,2826,8,0
2340,2828,12,0
2341,2830,8,0
2342,2831,37,0
2343,2832,1,0
2344,2833,6,0
2345,2834,6,0
2346,2836,6,0
2347,2837,38,0
2348,2837,39,1
2349,2838,6,0
2350,2840,1,0
2351,2841,6,0
2352,2842,6,0
2353,2844,6,0
2354,2845,38,0
2355,2845,39,1
2356,2846,6,0
2357,2848,1,0
2358,2849,6,0
2359,2850,6,0
2360,2852,6,0
2361,2853,38,0
2362,2853,39,1
2363,2854,6,0
2364,2856,1,0
2365,2858,8,0
2366,2860,12,0
2367,2862,8,0
2368,2863,37,0
2369,2864,1,0
2370,2865,6,0
2371,2866,6,0
2372,2868,6,0
2373,2869,38,0
2374,2869,39,1
2375,2870,6,0
2376,2872,1,0
2377,2873,6,0
2378,2874,6,0
2379,2876,6,0
2380,2877,38,0
2381,2877,39,1
2382,2878,6,0
2383,2880,1,0
2384,2881,6,0
2385,2882,6,0
2386,2884,6,0
2387,2885,38,0
2388,2885,39,1
2389,2886,6,0
2390,2888,1,0
2391,2890,8,0
2392,2892,12,0
2393,2894,8,0
2394,2895,37,0
2395,2896,1,0
2396,2897,6,0
2397,2898,6,0
2398,2900,6,0
2399,2901,38,0
2400,2901,39,1
2401,2902,6,0
2402,2904,1,0
2403,2905,6,0
2404,2906,6,0
2405,2908,6,0
2406,2909,38,0
2407,2909,39,1
2408,2910,6,0
2409,2912,1,0
2410,2913,6,0
2411,2914,6,0
2412,2916,6,0
2413,2917,38,0
2414,2917,39,1
2415,2918,6,0
2416,2920,1,0
2417,2921,6,0
2418,2922,6,0
2419,2924,6,0
2420,2926,6,0
2421,2927,32,0
2422,2927,9,1
2423,2927,13,2
2424,2928,50,0
2425,2929,61,0
2426,2930,13,0
2427,2931,60,0
2428,2932,13,0
2429,2933,60,0
2430,2934,13,0
2431,2935,59,0
2432,2936,48,0
2433,2937,67,0
2434,2938,9,0
2435,2939,66,0
2436,2940,9,0
2437,2941,66,0
2438,2942,9,0
2439,2943,65,0
2440,2944,1,0
2441,2945,41,0
2442,2946,7,0
2443,2948,11,0
2444,2950,7,0
2445,2951,32,0
2446,2951,9,1
2447,2951,13,2
2448,2952,1,0
2449,2954,8,0
2450,2956,12,0
2451,2958,8,0
2452,2959,73,0
2453,2960,1,0
2454,2961,6,0
2455,2962,6,0
2456,2964,71,0
2457,2965,38,0
2458,2965,39,1
2459,2966,1,0
2460,2967,6,0
2461,2968,6,0
2462,2970,71,0
2463,2971,38,0
2464,2971,39,1
2465,2972,1,0
2466,2973,6,0
2467,2974,6,0
2468,2976,71,0
2469,2977,38,0
2470,2977,39,1
2471,2978,1,0
2472,2979,6,0
2473,2980,6,0
2474,2982,71,0
2475,2983,38,0
2476,2983,39,1
2477,2984,1,0
2478,2986,8,0
2479,2988,12,0
2480,2990,8,0
2481,2991,73,0
2482,2992,1,0
2483,2993,6,0
2484,2994,6,0
2485,2996,71,0
2486,2997,38,0
2487,2997,39,1
2488,2998,1,0
2489,2999,6,0
2490,3000,6,0
2491,3002,71,0
2492,3003,38,0
2493,3003,39,1
2494,3004,1,0
2495,3005,6,0
2496,3006,6,0
2497,3008,71,0
2498,3009,38,0
2499,3009,39,1
2500,3010,1,0
2501,3011,6,0
2502,3012,6,0
2503,3014,71,0
2504,3015,38,0
2505,3015,39,1
2506,3016,1,0
2507,3017,41,0
2508,3018,7,0
2509,3020,11,0
2510,3022,7,0
2511,3023,32,0
2512,3023,9,1
2513,3023,13,2
2514,3024,1,0
2515,3026,8,0
2516,3028,12,0
2517,3030,8,0
2518,3031,73,0
2519,3032,1,0
2520,3033,6,0
2521,3034,6,0
2522,3036,71,0
2523,3037,38,0
2524,3037,39,1
2525,3038,1,0
2526,3039,6,0
2527,3040,6,0
2528,3042,71,0
2529,3043,38,0
2530,3043,39,1
2531,3044,1,0
2532,3045,6,0
2533,3046,6,0
2534,3048,71,0
2535,3049,38,0
2536,3049,39,1
2537,3050,1,0
2538,3051,6,0
2539,3052,6,0
2540,3054,71,0
2541,3055,38,0
2542,3055,39,1
2543,3056,1,0
2544,3058,8,0
2545,3060,12,0
2546,3062,8,0
2547,3063,73,0
2548,3064,1,0
2549,3065,6,0
2550,3066,6,0
2551,3068,71,0
2552,3069,38,0
2553,3069,39,1
2554,3070,1,0
2555,3071,6,0
2556,3072,6,0
2557,3074,71,0
2558,3075,38,0
2559,3075,39,1
2560,3076,1,0
2561,3077,6,0
2562,3078,6,0
2563,3080,71,0
2564,3081,38,0
2565,3081,39,1
2566,3082,1,0
2567,3083,6,0
2568,3084,6,0
2569,3086,71,0
2570,3087,38,0
2571,3087,39,1
2606,3131,1,0
2607,3132,41,0
2608,3133,7,0
2609,3135,11,0
2610,3137,7,0
2611,3138,32,0
2612,3138,9,1
2613,3138,13,2
2614,3139,1,0
2615,3141,8,0
2616,3143,12,0
2617,3145,8,0
2618,3146,37,0
2619,3147,1,0
2620,3148,6,0
2621,3149,6,0
2622,3151,6,0
2623,3152,38,0
2624,3152,39,1
2625,3153,6,0
2626,3155,1,0
2627,3156,6,0
2628,3157,6,0
2629,3159,6,0
2630,3160,38,0
2631,3160,39,1
2632,3161,6,0
2633,3163,1,0
2634,3164,6,0
2635,3165,6,0
2636,3167,6,0
2637,3168,38,0
2638,3168,39,1
2639,3169,6,0
2640,3171,1,0
2641,3173,8,0
2642,3175,12,0
2643,3177,8,0
2644,3178,37,0
2645,3179,1,0
2646,3180,6,0
2647,3181,6,0
2648,3183,6,0
2649,3184,38,0
2650,3184,39,1
2651,3185,6,0
2652,3187,1,0
2653,3188,6,0
2654,3189,6,0
2655,3191,6,0
2656,3192,38,0
2657,3192,39,1
2658,3193,6,0
2659,3195,1,0
2660,3196,6,0
2661,3197,6,0
2662,3199,6,0
2663,3200,38,0
2664,3200,39,1
2665,3201,6,0
2666,3203,1,0
2667,3205,8,0
2668,3207,12,0
2669,3209,8,0
2670,3210,37,0
2671,3211,1,0
2672,3212,6,0
2673,3213,6,0
2674,3215,6,0
2675,3216,38,0
2676,3216,39,1
2677,3217,6,0
2678,3219,1,0
2679,3220,6,0
2680,3221,6,0
2681,3223,6,0
2682,3224,38,0
2683,3224,39,1
2684,3225,6,0
2685,3227,1,0
2686,3228,6,0
2687,3229,6,0
2688,3231,6,0
2689,3232,38,0
2690,3232,39,1
2691,3233,6,0
2726,3278,1,0
2727,3279,41,0
2728,3280,7,0
2729,3282,11,0
2730,3284,7,0
2731,3285,32,0
2732,3285,9,1
2733,3285,13,2
2734,3286,1,0
2735,3288,8,0
2736,3290,12,0
