ID,ProfessionTraitID,LabelID
2202,2655,1455
2203,2657,1455
2204,2661,1455
2205,2662,1455
2206,2663,1454
2207,2665,1454
2208,2666,1454
2209,2667,1454
2210,2668,1454
2211,2669,1454
2212,2670,1454
2214,2671,1455
2215,2673,1455
2216,2674,1455
2217,2675,1455
2218,2676,1455
2219,2677,1455
2220,2678,1455
2222,2679,1455
2223,2680,1455
2224,2681,1455
2225,2683,1455
2226,2685,1455
2228,2692,1455
2229,2693,1455
2230,2694,1455
2231,2695,1455
2232,2696,1455
2233,2697,1455
2257,2721,1452
2258,2723,1452
2259,2727,1452
2260,2728,1452
2261,2729,1451
2262,2731,1451
2263,2732,1451
2264,2734,1451
2265,2735,1451
2266,2736,1451
2268,2737,1452
2269,2739,1452
2270,2740,1452
2271,2742,1452
2272,2743,1452
2273,2744,1452
2275,2745,1452
2276,2746,1452
2277,2747,1452
2278,2749,1452
2279,2751,1452
2281,2758,1452
2282,2759,1452
2283,2760,1452
2284,2762,1452
2285,2763,1452
2286,2764,1531
2287,2765,1531
2288,2767,1531
2289,2769,1531
2290,2771,1531
2291,2773,1531
2292,2775,1531
2295,2776,1457
2296,2777,1457
2297,2778,1457
2298,2780,1457
2299,2781,1457
2300,2782,1458
2301,2783,1458
2302,2784,1458
2303,2785,1458
2304,2786,1458
2305,2788,1458
2306,2789,1458
2307,2790,1458
2308,2791,1458
2309,2792,1459
2310,2794,1459
2311,2796,1459
2312,2798,1459
2313,2799,1459
2314,2800,1531
2315,2801,1531
2316,2802,1531
2317,2803,1531
2318,2804,1531
2319,2805,1531
2320,2806,1531
2321,2807,1531
2322,2808,1531
2323,2809,1531
2324,2810,1531
2325,2811,1531
2326,2812,1531
2327,2813,1531
2328,2814,1531
2329,2815,1531
3614,4192,1455
3615,4194,1455
3616,4198,1455
3617,4199,1455
3618,4200,1454
3619,4202,1454
3620,4203,1454
3621,4204,1454
3622,4205,1454
3623,4206,1454
3624,4207,1454
3626,4208,1455
3627,4210,1455
3628,4211,1455
3629,4212,1455
3630,4213,1455
3631,4214,1455
3632,4215,1455
3634,4216,1455
3635,4217,1455
3636,4218,1455
3637,4220,1455
3638,4222,1455
3640,4229,1455
3641,4230,1455
3642,4231,1455
3643,4232,1455
3644,4233,1455
3645,4234,1455
4649,2017,1506
4650,2017,1505
4651,2017,1508
4652,2017,1507
4653,2018,1506
4654,2018,1505
4655,2018,1508
4656,2018,1507
4657,2019,1506
4658,2019,1505
4659,2019,1508
4660,2019,1507
4661,2020,1506
4662,2020,1505
4663,2020,1508
4664,2020,1507
4665,2021,1506
4666,2021,1505
4667,2021,1508
4668,2021,1507
4669,2022,1506
4670,2022,1505
4671,2022,1508
4672,2022,1507
4673,2023,1506
4674,2023,1505
4675,2023,1508
4676,2023,1507
4677,2024,1506
4678,2024,1505
4679,2024,1508
4680,2024,1507
4681,2025,1506
4682,2025,1505
4683,2025,1508
4684,2025,1507
4685,2026,1506
4686,2026,1505
4687,2026,1508
4688,2026,1507
4689,2027,1505
4690,2028,1505
4691,2029,1505
4692,2031,1505
4693,2032,1505
4694,2033,1505
4695,2034,1505
4696,2035,1506
4697,2036,1506
4698,2037,1506
4699,2038,1506
4700,2040,1506
4701,2041,1506
4702,2042,1506
4703,2043,1507
4704,2044,1507
4705,2045,1507
4706,2046,1507
4707,2047,1507
4708,2048,1507
4709,2049,1508
4710,2050,1508
4711,2051,1508
4712,2052,1508
4713,2053,1508
4714,2054,1508
4715,2055,1500
4716,2055,1502
4717,2055,1485
4718,2055,1499
4719,2055,1503
4720,2056,1500
4721,2056,1502
4722,2056,1485
4723,2056,1499
4724,2056,1503
4725,2057,1500
4726,2057,1502
4727,2057,1485
4728,2057,1499
4729,2057,1503
4730,2058,1500
4731,2058,1502
4732,2058,1485
4733,2058,1499
4734,2058,1503
4735,2059,1500
4736,2059,1502
4737,2059,1485
4738,2059,1499
4739,2059,1503
4740,2060,1500
4741,2060,1502
4742,2060,1485
4743,2060,1499
4744,2060,1503
4745,2061,1500
4746,2061,1502
4747,2061,1485
4748,2061,1499
4749,2061,1503
4750,2062,1500
4751,2062,1502
4752,2062,1485
4753,2062,1499
4754,2062,1503
4755,2063,1500
4756,2063,1499
4757,2064,1500
4758,2064,1499
4759,2065,1500
4760,2065,1499
4761,2066,1500
4762,2066,1499
4763,2067,1500
4764,2067,1499
4765,2068,1500
4766,2068,1499
4767,2069,1500
4768,2069,1499
4769,2070,1500
4770,2070,1499
4771,2071,1499
4772,2072,1499
4773,2073,1499
4774,2075,1499
4775,2076,1499
4776,2077,1499
4777,2078,1499
4778,2079,1500
4779,2080,1500
4780,2081,1500
4781,2083,1500
4782,2084,1500
4783,2085,1500
4784,2086,1500
4785,2087,1503
4786,2087,1502
4787,2088,1503
4788,2088,1502
4789,2089,1503
4790,2089,1502
4791,2090,1503
4792,2090,1502
4793,2091,1503
4794,2091,1502
4795,2093,1503
4796,2093,1502
4797,2094,1503
4798,2094,1502
4799,2095,1502
4800,2096,1502
4801,2097,1502
4802,2098,1502
4803,2099,1502
4804,2100,1502
4805,2101,1502
4806,2102,1502
4807,2103,1503
4808,2104,1503
4809,2105,1503
4810,2106,1503
4811,2107,1503
4812,2108,1503
4813,2109,1503
4814,2110,1503
6148,2655,1455
6149,2655,1474
6150,2655,1521
6151,2655,1454
6152,2655,1470
6153,2655,1453
6154,2655,1472
6155,2656,1455
6156,2656,1474
6157,2656,1521
6158,2656,1454
6159,2656,1470
6160,2656,1453
6161,2656,1472
6162,2657,1455
6163,2657,1474
6164,2657,1521
6165,2657,1454
6166,2657,1470
6167,2657,1453
6168,2657,1472
6169,2658,1455
6170,2658,1474
6171,2658,1521
6172,2658,1454
6173,2658,1470
6174,2658,1453
6175,2658,1472
6176,2659,1455
6177,2659,1474
6178,2659,1521
6179,2659,1454
6180,2659,1470
6181,2659,1453
6182,2659,1472
6183,2660,1455
6184,2660,1474
6185,2660,1521
6186,2660,1454
6187,2660,1470
6188,2660,1453
6189,2660,1472
6190,2661,1455
6191,2661,1474
6192,2661,1521
6193,2661,1454
6194,2661,1470
6195,2661,1453
6196,2661,1472
6197,2662,1455
6198,2662,1474
6199,2662,1521
6200,2662,1454
6201,2662,1470
6202,2662,1453
6203,2662,1472
6204,2663,1454
6205,2664,1454
6206,2665,1454
6207,2666,1454
6208,2667,1454
6209,2668,1454
6210,2669,1454
6211,2670,1454
6212,2671,1455
6213,2672,1455
6214,2673,1455
6215,2674,1455
6216,2675,1455
6217,2676,1455
6218,2677,1455
6219,2678,1455
6220,2679,1455
6221,2679,1474
6222,2679,1521
6223,2679,1454
6224,2679,1470
6225,2679,1453
6226,2679,1472
6227,2680,1455
6228,2680,1474
6229,2680,1521
6230,2680,1454
6231,2680,1470
6232,2680,1453
6233,2680,1472
6234,2681,1455
6235,2681,1474
6236,2681,1521
6237,2681,1454
6238,2681,1470
6239,2681,1453
6240,2681,1472
6241,2682,1455
6242,2682,1474
6243,2682,1521
6244,2682,1454
6245,2682,1470
6246,2682,1453
6247,2682,1472
6248,2683,1455
6249,2683,1474
6250,2683,1521
6251,2683,1454
6252,2683,1470
6253,2683,1453
6254,2683,1472
6255,2684,1455
6256,2684,1474
6257,2684,1521
6258,2684,1454
6259,2684,1470
6260,2684,1453
6261,2684,1472
