ID,TraitNodeID,LeftTraitNodeGroupID,RightTraitNodeGroupID,TraitCurrencyID
255,16170,1973,1972,765
256,16169,1971,1970,764
257,16168,1969,1968,763
258,16167,1967,1966,762
259,16166,1965,1964,761
260,16226,1988,1987,772
261,16225,1986,1985,771
262,16224,1984,1983,770
263,16223,1982,1981,769
264,16222,1980,1979,768
265,16221,1978,1977,767
266,16220,1976,1975,766
338,19421,2360,2359,886
339,19420,2358,2357,885
340,19419,2356,2355,884
341,19418,2354,2353,883
342,19417,2352,2351,882
343,19416,2350,2349,881
344,19444,2367,2366,889
345,19443,2365,2364,888
346,19442,2363,2362,887
347,19487,2380,2379,895
348,19486,2378,2377,894
349,19485,2376,2375,893
350,19484,2374,2373,892
351,19483,2372,2371,891
352,19482,2370,2369,890
353,19539,2393,2392,901
354,19538,2391,2390,900
355,19537,2389,2388,899
356,19536,2387,2386,898
357,19535,2385,2384,897
358,19534,2383,2382,896
359,19643,2420,2419,914
360,19642,2418,2417,913
361,19641,2416,2415,912
362,19640,2414,2413,911
363,19639,2412,2411,910
364,19638,2410,2409,909
365,19637,2408,2407,908
366,19636,2406,2405,907
367,19635,2404,2403,906
368,19634,2402,2401,905
369,19633,2400,2399,904
370,19632,2398,2397,903
371,19631,2396,2395,902
372,19667,2427,2426,917
373,19666,2425,2424,916
374,19665,2423,2422,915
375,19739,2450,2449,928
376,19738,2448,2447,927
377,19737,2446,2445,926
378,19736,2444,2443,925
379,19735,2442,2441,924
380,19734,2440,2439,923
381,19733,2438,2437,922
382,19732,2436,2435,921
383,19731,2434,2433,920
384,19730,2432,2431,919
385,19729,2430,2429,918
386,19811,2473,2472,939
387,19810,2471,2470,938
388,19809,2469,2468,937
389,19808,2467,2466,936
390,19807,2465,2464,935
391,19806,2463,2462,934
392,19805,2461,2460,933
393,19804,2459,2458,932
394,19803,2457,2456,931
395,19802,2455,2454,930
396,19801,2453,2452,929
403,19958,2513,2512,958
404,19957,2511,2510,957
405,19956,2509,2508,956
406,19955,2507,2506,955
407,19954,2505,2504,954
408,19953,2503,2502,953
409,19952,2501,2500,952
410,19951,2499,2498,951
411,19950,2497,2496,950
412,19949,2495,2494,949
413,19948,2493,2492,948
414,19947,2491,2490,947
415,19946,2489,2488,946
422,20105,2553,2552,977
423,20104,2551,2550,976
424,20103,2549,2548,975
425,20102,2547,2546,974
426,20101,2545,2544,973
427,20100,2543,2542,972
428,20099,2541,2540,971
429,20098,2539,2538,970
430,20097,2537,2536,969
431,20096,2535,2534,968
432,20095,2533,2532,967
433,20094,2531,2530,966
434,20093,2529,2528,965
536,22440,2903,2902,1104
537,22439,2901,2900,1103
538,22438,2899,2898,1102
539,22437,2897,2896,1101
540,22436,2895,2894,1100
541,22435,2893,2892,1099
542,22483,2916,2915,1110
543,22482,2914,2913,1109
544,22481,2912,2911,1108
545,22480,2910,2909,1107
546,22479,2908,2907,1106
547,22478,2906,2905,1105
548,22526,2929,2928,1116
549,22525,2927,2926,1115
550,22524,2925,2924,1114
551,22523,2923,2922,1113
552,22522,2921,2920,1112
553,22521,2919,2918,1111
554,22569,2942,2941,1122
555,22568,2940,2939,1121
556,22567,2938,2937,1120
557,22566,2936,2935,1119
558,22565,2934,2933,1118
559,22564,2932,2931,1117
560,22612,2955,2954,1128
561,22611,2953,2952,1127
562,22610,2951,2950,1126
563,22609,2949,2948,1125
564,22608,2947,2946,1124
565,22607,2945,2944,1123
566,22664,2968,2967,1134
567,22663,2966,2965,1133
568,22662,2964,2963,1132
569,22661,2962,2961,1131
570,22660,2960,2959,1130
571,22659,2958,2957,1129
572,22716,2981,2980,1140
573,22715,2979,2978,1139
574,22714,2977,2976,1138
575,22713,2975,2974,1137
576,22712,2973,2972,1136
577,22711,2971,2970,1135
650,23727,3180,3179,1239
651,23726,3178,3177,1238
652,23725,3176,3175,1237
653,23724,3174,3173,1236
654,23723,3172,3171,1235
655,23722,3170,3169,1234
656,23721,3168,3167,1233
657,23765,3191,3190,1244
658,23764,3189,3188,1243
659,23763,3187,3186,1242
660,23762,3185,3184,1241
661,23761,3183,3182,1240
668,23912,3231,3230,1263
669,23911,3229,3228,1262
670,23910,3227,3226,1261
671,23909,3225,3224,1260
672,23908,3223,3222,1259
673,23907,3221,3220,1258
674,23906,3219,3218,1257
675,23905,3217,3216,1256
676,23904,3215,3214,1255
677,23903,3213,3212,1254
678,23902,3211,3210,1253
679,23901,3209,3208,1252
680,23900,3207,3206,1251
681,23935,3238,3237,1266
682,23934,3236,3235,1265
683,23933,3234,3233,1264
737,27626,3607,3606,1374
738,27625,3605,3604,1373
739,27624,3603,3602,1372
740,27623,3601,3600,1371
741,27622,3599,3598,1370
742,27621,3597,3596,1369
743,27620,3595,3594,1368
744,28034,3691,3690,1386
745,28033,3689,3688,1385
746,28032,3687,3686,1384
747,28031,3685,3684,1383
748,28070,3702,3701,1391
749,28069,3700,3699,1390
750,28068,3698,3697,1389
751,28067,3696,3695,1388
752,28066,3694,3693,1387
753,28142,3725,3724,1402
754,28141,3723,3722,1401
755,28140,3721,3720,1400
756,28139,3719,3718,1399
757,28138,3717,3716,1398
758,28137,3715,3714,1397
759,28136,3713,3712,1396
760,28135,3711,3710,1395
761,28134,3709,3708,1394
762,28133,3707,3706,1393
763,28132,3705,3704,1392
764,28214,3748,3747,1413
765,28213,3746,3745,1412
766,28212,3744,3743,1411
767,28211,3742,3741,1410
768,28210,3740,3739,1409
769,28209,3738,3737,1408
770,28208,3736,3735,1407
771,28207,3734,3733,1406
772,28206,3732,3731,1405
773,28205,3730,3729,1404
774,28204,3728,3727,1403
775,28248,3757,3756,1417
776,28247,3755,3754,1416
777,28246,3753,3752,1415
778,28245,3751,3750,1414
779,28298,3768,3767,1422
780,28297,3766,3765,1421
781,28296,3764,3763,1420
782,28295,3762,3761,1419
783,28294,3760,3759,1418
784,28310,3771,3770,1423
785,28366,3786,3785,1430
786,28365,3784,3783,1429
787,28364,3782,3781,1428
788,28363,3780,3779,1427
789,28362,3778,3777,1426
790,28361,3776,3775,1425
791,28360,3774,3773,1424
792,28438,3809,3808,1441
793,28437,3807,3806,1440
794,28436,3805,3804,1439
795,28435,3803,3802,1438
796,28434,3801,3800,1437
797,28433,3799,3798,1436
798,28432,3797,3796,1435
799,28431,3795,3794,1434
800,28430,3793,3792,1433
801,28429,3791,3790,1432
802,28428,3789,3788,1431
803,28474,3820,3819,1446
804,28473,3818,3817,1445
805,28472,3816,3815,1444
806,28471,3814,3813,1443
807,28470,3812,3811,1442
808,28546,3843,3842,1457
809,28545,3841,3840,1456
810,28544,3839,3838,1455
811,28543,3837,3836,1454
812,28542,3835,3834,1453
813,28541,3833,3832,1452
814,28540,3831,3830,1451
815,28539,3829,3828,1450
816,28538,3827,3826,1449
817,28537,3825,3824,1448
818,28536,3823,3822,1447
819,28576,3852,3851,1461
820,28575,3850,3849,1460
821,28574,3848,3847,1459
822,28573,3846,3845,1458
823,28610,3861,3860,1465
824,28609,3859,3858,1464
825,28608,3857,3856,1463
826,28607,3855,3854,1462
827,28660,3872,3871,1470
828,28659,3870,3869,1469
829,28658,3868,3867,1468
830,28657,3866,3865,1467
831,28656,3864,3863,1466
832,28672,3875,3874,1471
833,28728,3890,3889,1478
834,28727,3888,3887,1477
835,28726,3886,3885,1476
836,28725,3884,3883,1475
837,28724,3882,3881,1474
838,28723,3880,3879,1473
839,28722,3878,3877,1472
846,30200,4010,4009,1522
847,30199,4008,4007,1521
848,30198,4006,4005,1520
849,30197,4004,4003,1519
850,31146,4089,4088,1538
851,31145,4087,4086,1537
852,31144,4085,4084,1536
853,31143,4083,4082,1535
854,31184,4100,4099,1543
855,31183,4098,4097,1542
856,31182,4096,4095,1541
857,31181,4094,4093,1540
858,31180,4092,4091,1539
859,32545,4207,4206,1570
860,32544,4205,4204,1569
861,32543,4203,4202,1568
862,32542,4201,4200,1567
863,32541,4199,4198,1566
864,32958,4246,4245,1579
865,32957,4244,4243,1578
866,32956,4242,4241,1577
867,32955,4240,4239,1576
868,32954,4238,4237,1575
869,33626,4321,4320,1601
870,33625,4319,4318,1600
871,33624,4317,4316,1599
872,33623,4315,4314,1598
873,33622,4313,4312,1597
874,33621,4311,4310,1596
875,33620,4309,4308,1595
876,33619,4307,4306,1594
877,33618,4305,4304,1593
878,33617,4303,4302,1592
879,33616,4301,4300,1591
880,33615,4299,4298,1590
881,33614,4297,4296,1589
882,33613,4295,4294,1588
883,33683,4338,4337,1609
