ID,TraitNodeID,RequiredPointsInThisNode,Flags
1568,16165,0,0
1569,16164,5,1
1570,16163,10,0
1571,16162,15,1
1572,16161,20,0
1573,16160,25,1
1574,16159,30,0
1575,16158,35,1
1576,16157,40,0
1577,16156,0,0
1578,16155,5,0
1579,16154,10,0
1580,16153,15,0
1581,16152,20,0
1582,16151,25,0
1583,16150,30,0
1584,16149,0,0
1585,16148,5,0
1586,16147,10,0
1587,16146,15,0
1588,16145,20,0
1589,16144,25,0
1590,16143,30,0
1591,16142,0,0
1592,16141,5,0
1593,16140,10,0
1594,16139,15,0
1595,16138,20,0
1596,16137,0,0
1597,16136,5,0
1598,16135,10,0
1599,16134,15,0
1600,16133,20,0
1601,16219,0,0
1602,16218,5,0
1603,16217,10,1
1604,16216,15,0
1605,16215,20,1
1606,16214,25,0
1607,16213,30,1
1608,16212,0,0
1609,16211,5,0
1610,16210,10,1
1611,16209,15,0
1612,16208,20,1
1613,16207,25,0
1614,16206,30,0
1615,16205,0,0
1616,16204,5,0
1617,16203,10,0
1618,16202,15,0
1619,16201,20,0
1620,16200,25,0
1621,16199,30,0
1622,16198,0,0
1623,16197,5,0
1624,16196,10,0
1625,16195,15,0
1626,16194,20,0
1627,16193,25,0
1628,16192,30,0
1629,16191,0,0
1630,16190,5,0
1631,16189,10,1
1632,16188,15,0
1633,16187,20,1
1634,16186,25,0
1635,16185,30,0
1636,16184,0,0
1637,16183,5,0
1638,16182,10,0
1639,16181,15,0
1640,16180,20,0
1641,16179,25,0
1642,16178,30,0
1643,16177,0,0
1644,16176,5,0
1645,16175,10,0
1646,16174,15,0
1647,16173,20,0
1648,16172,25,0
1649,16171,30,0
2123,19415,0,0
2124,19414,5,0
2125,19413,10,1
2126,19412,15,0
2127,19411,20,1
2128,19410,25,0
2129,19409,30,1
2130,19408,0,0
2131,19407,5,0
2132,19406,10,0
2133,19405,15,0
2134,19404,20,0
2135,19403,25,0
2136,19402,30,0
2137,19401,0,0
2138,19400,5,0
2139,19399,10,0
2140,19398,15,0
2141,19397,20,0
2142,19396,25,0
2143,19395,30,0
2144,19394,0,0
2145,19393,5,0
2146,19392,10,1
2147,19391,15,0
2148,19390,20,1
2149,19389,25,0
2150,19388,0,0
2151,19387,5,0
2152,19386,10,0
2153,19385,15,0
2154,19384,20,0
2155,19383,0,0
2156,19382,5,0
2157,19381,10,0
2158,19380,15,0
2159,19379,20,0
2160,19441,5,0
2161,19440,10,1
2162,19439,15,0
2163,19438,20,1
2164,19437,25,0
2165,19436,30,0
2166,19435,0,0
2167,19434,5,0
2168,19433,10,0
2169,19432,15,0
2170,19431,20,0
2171,19430,25,0
2172,19429,30,0
2173,19428,0,0
2174,19427,5,0
2175,19426,10,0
2176,19425,15,0
2177,19424,20,0
2178,19423,25,0
2179,19422,30,0
2180,19481,0,0
2181,19480,5,0
2182,19479,10,1
2183,19478,15,0
2184,19477,20,1
2185,19476,25,0
2186,19475,30,1
2187,19474,0,0
2188,19473,5,0
2189,19472,10,0
2190,19471,15,0
2191,19470,20,0
2192,19469,25,0
2193,19468,30,0
2194,19467,0,0
2195,19466,5,0
2196,19465,10,0
2197,19464,15,0
2198,19463,20,0
2199,19462,25,0
2200,19461,30,0
2201,19460,0,0
2202,19459,5,0
2203,19458,10,1
2204,19457,15,0
2205,19456,20,1
2206,19455,25,0
2207,19454,0,0
2208,19453,5,0
2209,19452,10,0
2210,19451,15,0
2211,19450,20,0
2212,19449,0,0
2213,19448,5,0
2214,19447,10,0
2215,19446,15,0
2216,19445,20,0
2217,19533,0,0
2218,19532,5,1
2219,19531,10,0
2220,19530,15,1
2221,19529,20,0
2222,19528,25,1
2223,19527,30,0
2224,19526,35,1
2225,19525,40,0
2226,19524,45,1
2227,19523,50,0
2228,19522,0,0
2229,19521,5,0
2230,19520,10,0
2231,19519,15,0
2232,19518,20,0
2233,19517,0,0
2234,19516,5,0
2235,19515,10,0
2236,19514,15,0
2237,19513,20,0
2238,19512,25,0
2239,19511,30,0
2240,19510,35,0
2241,19509,40,0
2242,19508,0,0
2243,19507,5,0
2244,19506,10,0
2245,19505,15,0
2246,19504,20,0
2247,19503,25,0
2248,19502,30,0
2249,19501,0,0
2250,19500,5,0
2251,19499,10,0
2252,19498,15,0
2253,19497,20,0
2254,19496,25,0
2255,19495,30,0
2256,19494,0,0
2257,19493,5,0
2258,19492,10,0
2259,19491,15,0
2260,19490,20,0
2261,19489,25,0
2262,19488,30,0
2263,19630,0,0
2264,19629,5,0
2265,19628,10,1
2266,19627,15,0
2267,19626,20,1
2268,19625,25,0
2269,19624,30,1
2270,19623,0,0
2271,19622,5,0
2272,19621,10,1
2273,19620,15,0
2274,19619,20,1
2275,19618,25,0
2276,19617,30,1
2277,19616,0,0
2278,19615,5,0
2279,19614,10,0
2280,19613,15,0
2281,19612,20,0
2282,19611,25,0
2283,19610,30,0
2284,19609,0,0
