ID,RangeIndex,MinLevel,MaxLevel,MapID
5,0,10,19,489
7,1,20,29,489
9,2,30,39,489
11,3,40,49,489
13,0,10,19,529
15,1,20,29,529
17,2,30,39,529
19,3,40,49,529
20,0,10,19,559
22,1,20,29,559
24,2,30,39,559
26,3,40,49,559
28,4,50,50,559
30,5,51,59,559
32,6,60,60,559
36,0,10,19,562
38,1,20,29,562
40,2,30,39,562
42,3,40,49,562
44,4,50,50,562
46,5,51,59,562
48,6,60,60,562
52,0,15,19,566
53,3,40,49,566
57,0,20,29,572
59,1,30,39,572
61,2,40,49,572
63,3,50,50,572
65,4,51,59,572
67,5,60,60,572
71,5,51,59,607
72,3,40,49,607
76,0,20,29,617
78,1,30,39,617
80,2,40,49,617
82,3,50,50,617
84,4,51,59,617
86,5,60,60,617
90,0,10,19,618
91,1,20,29,618
92,2,30,39,618
94,3,40,49,618
98,4,50,50,618
100,6,60,60,618
106,2,51,59,628
128,0,10,19,726
144,0,10,19,761
148,4,50,59,489
150,5,60,69,489
152,6,70,79,489
154,7,80,89,489
156,4,50,50,566
158,5,51,59,566
160,6,60,60,566
165,4,50,59,529
167,5,60,69,529
169,6,70,79,529
171,7,80,89,529
173,0,20,49,30
177,2,30,39,607
179,3,60,60,30
631,0,10,19,998
637,0,150,150,1010
650,2,30,39,727
669,0,50,50,968
713,0,51,59,1105
793,9,100,109,529
801,0,10,19,607
804,2,40,49,1134
807,9,100,109,489
808,0,10,19,1280
809,1,20,29,1280
810,2,30,39,1280
811,3,40,49,1280
812,4,50,59,1280
813,5,60,69,1280
837,1,20,29,566
838,2,30,39,566
841,1,20,29,761
842,2,30,39,761
843,3,40,49,761
844,4,50,50,761
845,5,51,59,761
846,6,60,60,761
847,3,40,49,726
848,4,50,50,726
849,5,51,59,726
850,6,60,60,726
852,3,40,49,727
853,4,50,50,727
854,5,51,59,727
855,6,60,60,727
858,4,50,50,998
859,5,51,59,998
860,6,60,60,998
863,1,60,60,1105
868,4,50,50,607
869,1,50,50,628
870,3,60,60,628
872,8,90,99,529
881,1,20,29,607
887,8,90,99,489
891,0,110,110,1171
900,3,50,50,1504
907,4,51,59,1505
914,3,50,50,1134
915,3,50,50,980
917,11,111,119,489
926,3,50,50,1552
997,10,110,110,529
1013,2,40,49,980
1015,10,110,110,489
1017,3,50,50,1505
1044,0,50,60,728
1045,0,50,50,1681
1066,0,20,29,1505
1067,1,30,39,1505
1068,2,40,49,1505
1074,0,10,19,1686
1075,1,20,29,1686
1076,2,30,39,1686
1077,3,40,49,1686
1078,4,50,59,1686
1079,5,60,69,1686
1080,6,70,79,1686
1081,7,80,89,1686
1082,8,90,99,1686
1083,9,100,109,1686
1084,10,110,110,1686
1085,11,111,119,1686
1094,0,20,29,1672
1095,1,30,39,1672
1096,2,40,49,1672
1097,3,50,50,1672
1098,4,51,59,1672
1099,5,60,60,1672
1103,0,45,49,1726
1104,1,50,59,1726
1105,2,60,69,1726
1106,3,70,79,1726
1107,4,80,89,1726
1108,5,90,99,1726
1109,6,100,109,1726
1110,7,110,110,1726
1111,8,111,119,1726
1112,0,110,110,1715
1116,0,10,19,1740
1117,1,20,29,1740
1118,2,30,39,1740
1119,3,40,49,1740
1120,4,50,59,1740
1121,5,60,69,1740
1122,6,70,79,1740
1123,7,80,89,1740
1124,8,90,99,1740
1125,9,100,109,1740
1126,10,110,110,1740
1127,11,111,119,1740
1131,0,45,49,1782
1132,1,50,59,1782
1133,2,60,69,1782
1134,3,70,79,1782
1135,4,80,89,1782
1136,5,90,99,1782
1137,6,100,109,1782
1138,7,110,110,1782
1139,8,111,119,1782
1142,0,45,49,1802
1143,1,50,59,1802
1144,2,60,69,1802
1145,3,70,79,1802
1146,4,80,89,1802
1147,5,90,99,1802
1148,6,100,109,1802
1149,7,110,110,1802
1150,8,111,119,1802
1159,0,10,19,1803
1168,5,60,60,1505
1169,11,111,119,529
1172,9,120,120,1782
1173,6,60,60,1803
1177,12,120,120,489
1180,12,120,120,529
1184,1,51,59,1681
1185,2,60,60,1681
1186,12,120,120,1686
1188,9,120,120,1802
1189,9,120,120,1726
1190,5,51,59,1803
1191,12,120,120,1740
1196,4,51,59,1825
1197,5,60,60,1825
1198,4,51,59,1552
1199,5,60,60,1552
1200,4,51,59,1504
1201,5,60,60,1504
1202,4,51,59,1134
1203,5,60,60,1134
1204,4,51,59,980
1205,5,60,60,980
1310,4,51,59,1911
1311,5,60,60,1911
1312,1,51,59,968
1313,2,60,60,968
1314,0,10,19,2106
1315,1,20,29,2106
1316,2,30,39,2106
1317,3,40,49,2106
1318,4,50,50,2106
1319,5,51,59,2106
1320,6,60,60,2106
1340,0,20,49,628
1343,0,10,19,1170
1344,2,60,60,1691
1346,0,20,49,2118
1348,1,50,50,2118
