ID,ItemID,ItemLevelDelta
4019,157557,13
4020,170464,13
4407,191985,13
4408,190522,13
4409,193505,13
4410,193522,13
4411,193507,13
4412,193506,13
4413,193501,13
4414,193517,13
4415,193502,13
4416,193503,13
4417,193514,13
4418,193609,13
4419,193602,13
4420,193604,13
4421,193606,13
4422,193605,13
4423,193607,13
4424,193603,13
4425,193608,13
4426,193434,13
4427,193430,13
4428,193431,13
4429,193436,13
4430,193432,13
4431,193433,13
4432,193435,13
4433,193437,13
4434,193440,13
4435,193441,13
4436,193446,13
4437,193442,13
4438,193445,13
4439,193443,13
4440,193444,13
4441,193439,13
