ID,UniqueBitFlag
1,3287
2,2617
5,60
6,5
7,10
8,1533
9,162
10,12
11,113
12,13
13,14
14,15
15,3
17,7
18,71
19,8
20,90
21,6
22,197
23,22
24,23
25,24
26,16
27,17
28,18
29,19
30,20
31,21
32,135
33,70
34,25
35,28
36,26
37,29
38,121
39,1
40,27
45,11
46,114
47,111
48,30
49,31
50,32
51,33
52,115
53,34
54,40
55,69
56,35
57,37
58,36
59,96
60,109
61,38
62,39
63,1564
64,41
65,42
66,43
67,44
68,45
69,46
70,47
71,48
72,49
73,50
74,51
75,52
76,56
77,2
78,53
79,54
80,55
81,1620
82,1616
83,110
84,112
85,57
86,58
87,59
88,108
89,195
90,210
91,201
92,216
93,211
94,61
95,140
96,62
97,63
98,64
99,65
100,1562
101,154
102,67
103,129
104,68
105,452
106,72
107,73
109,74
110,75
111,76
112,77
113,138
114,78
115,79
116,9
118,84
119,81
120,82
121,83
122,85
123,118
124,80
125,86
126,87
127,116
128,218
129,88
130,89
131,91
132,92
133,93
134,94
135,95
136,97
137,98
138,99
139,100
140,101
141,102
142,103
143,104
144,105
145,106
146,107
147,117
148,119
149,120
150,122
151,123
152,124
153,125
154,126
155,127
156,128
157,130
158,131
159,227
160,132
161,251
162,133
163,134
164,136
165,137
166,139
167,141
168,142
169,143
170,144
171,145
172,146
173,147
174,148
175,149
176,150
177,151
178,152
179,188
180,153
181,155
182,8115
183,194
184,157
185,9590
186,9591
187,9592
188,9593
189,164
190,9579
191,9578
192,9584
193,9585
194,9586
195,9587
196,9588
197,9589
198,172
199,173
200,174
201,175
202,176
203,177
204,178
205,179
206,180
207,181
208,9576
209,183
210,184
211,185
212,186
213,187
214,189
215,190
216,191
217,226
218,8117
219,193
220,196
221,209
222,198
223,199
224,200
225,202
226,203
227,204
228,205
229,206
230,207
231,208
232,333
233,212
234,213
235,2620
236,6965
237,214
238,1614
239,215
240,217
241,432
242,220
243,221
244,222
245,223
246,224
247,2619
248,228
249,229
250,230
251,231
252,232
253,233
255,235
256,236
257,237
258,238
259,239
260,240
261,241
262,242
263,243
264,1236
265,447
266,448
267,244
268,245
269,246
270,247
271,248
272,249
273,250
274,252
275,253
276,254
277,303
278,255
279,256
280,257
281,258
282,259
283,260
284,261
285,262
286,263
287,264
288,265
289,266
290,267
291,268
292,269
293,270
294,271
295,272
296,273
297,274
298,275
299,276
301,225
302,277
303,278
304,279
305,280
306,281
307,282
309,12026
310,284
311,285
312,286
313,287
314,288
315,289
317,290
318,291
319,292
320,293
321,294
322,295
323,296
324,297
325,298
328,299
329,300
330,301
331,302
332,304
333,305
334,306
335,307
336,308
337,309
338,310
339,311
340,312
341,313
342,314
343,315
344,318
345,316
346,317
347,319
348,320
350,321
351,322
352,323
353,324
354,325
355,326
356,327
357,328
358,329
359,331
360,330
361,332
362,335
363,334
364,336
365,337
366,338
367,339
368,8416
369,341
370,342
371,343
372,344
