ID,QuestID,UiQuestDetailsThemeID
1,40519,1
2,43926,2
3,47221,3
4,47835,3
5,50476,5
6,46727,6
7,50668,7
8,51795,8
9,52058,6
10,51796,10
11,53372,7
12,53370,6
13,56030,11
14,56031,12
15,58582,5
16,58496,13
17,53029,14
18,53026,14
19,51211,14
20,52428,14
22,60113,24
23,60115,25
24,60424,17
25,60425,17
26,60430,17
27,60434,17
28,60439,17
29,60442,17
30,60447,17
31,60450,17
32,60454,17
33,60465,17
34,60458,17
35,60415,17
36,60372,17
37,60358,17
38,60377,17
39,60380,17
40,60391,17
41,60392,17
43,60395,17
44,60400,17
45,60403,17
46,60404,17
47,60407,17
48,60412,17
49,60423,19
50,60426,19
51,60429,19
52,60433,19
53,60440,19
54,60443,19
55,60445,19
56,60449,19
57,60455,19
58,60464,19
59,60459,19
60,60416,19
61,60371,19
62,60363,19
63,60376,19
64,60379,19
65,60390,19
66,60393,19
67,60396,19
68,60398,19
69,60402,19
70,60405,19
71,60408,19
72,60411,19
73,60419,22
74,60418,22
75,60420,22
76,60421,22
77,60438,22
78,60437,22
79,60436,22
80,60435,22
81,60452,22
82,60462,22
83,60457,22
84,60414,22
85,60369,22
86,60364,22
87,60374,22
88,60373,22
89,60381,22
90,60384,22
91,60383,22
92,60382,22
93,60388,22
94,60387,22
95,60386,22
96,60385,22
97,60422,20
98,60427,20
99,60431,20
100,60432,20
101,60441,20
102,60444,20
103,60446,20
104,60448,20
105,60456,20
106,60463,20
107,60460,20
108,60417,20
109,60370,20
110,60365,20
111,60375,20
112,60378,20
113,60389,20
114,60394,20
115,60397,20
116,60399,20
117,60401,20
118,60406,20
119,60409,20
120,60410,20
121,63822,27
122,63824,28
123,63543,29
124,63823,30
125,64554,27
126,66693,32
127,66694,32
128,66695,32
129,66696,32
130,66619,32
131,66618,32
132,66617,32
133,66615,32
134,66616,32
135,66614,32
