String_lang,ID,Flags
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,53,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,57,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,69,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,71,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,73,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,75,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,85,1
[DNT] Spend %d more %spoints to unlock this talent,86,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,87,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,94,1
Spend %d more %spoints to unlock this talent,95,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,98,1
Spend %d more %spoints to unlock this talent,99,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,102,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,110,1
Spend %d more %spoints to unlock this talent,111,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,114,1
Spend %d more %spoints to unlock this talent,115,1
Spend %d more %spoints to unlock this talent,118,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,119,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,122,1
Spend %d more points to unlock this talent,123,1
Spend %d more points to unlock this talent,126,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,127,1
Spend %d more points to unlock this talent,132,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,133,1
Learned at level %d,137,0
Spend %d more points to unlock this talent,138,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,139,1
Learned at level %d,143,0
Spend %d more points to unlock this talent,144,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,145,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,148,1
Spend %d more points to unlock this talent,149,1
Learned at level %d,153,0
Spend %d more points to unlock this talent,154,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,155,1
Learned at level %d,162,0
Spend %d more points to unlock this talent,163,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,164,1
Spend %d more points to unlock this talent,171,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,172,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,177,1
Spend %d more points to unlock this talent,178,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,181,1
Spend %d more points to unlock this talent,182,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,187,1
Spend %d more points to unlock this talent,188,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,201,1
Spend %d more points to unlock this talent,202,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,205,1
Spend %d more points to unlock this talent,206,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,215,1
Spend %d more points to unlock this talent,216,1
Learned at level %d,275,0
Spend %d more points to unlock this talent,276,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,277,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,292,1
Spend %d more points to unlock this talent,293,1
Learned at level %d,297,0
Spend %d more points to unlock this talent,298,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,299,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,302,1
Spend %d more points to unlock this talent,303,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,306,1
Spend %d more points to unlock this talent,307,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,310,1
Spend %d more points to unlock this talent,311,1
|cff808080This talent is granted to your specialization for free and can't be unlearned|r,320,1
Spend %d more points to unlock this talent,321,1
