ID,SkillLineID,TraitTreeID,Variant
2,798,388,0
7,2810,450,0
8,804,197,0
9,796,234,0
10,795,468,0
21,921,379,0
23,924,418,0
24,2823,239,1
25,2823,276,2
26,2823,240,3
27,2830,377,3
28,2830,350,0
29,2830,348,1
30,2822,305,0
31,2822,469,3
32,2822,302,1
33,2822,303,2
34,2830,376,2
35,2829,354,1
36,2829,353,2
37,2829,355,3
38,2829,352,4
39,800,458,0
40,904,357,0
41,2828,407,1
42,2828,398,2
43,2828,408,3
44,840,466,0
45,2834,403,0
46,2834,404,1
47,2834,405,2
48,2827,451,1
49,2827,452,2
50,2827,453,3
51,2827,454,4
52,2831,444,0
53,2831,445,1
54,2831,446,2
55,2831,448,3
56,849,460,0
