ID,SpecializationID,SpellID[0],SpellID[1],SpellID[2],SpellID[3],SpellID[4],SpellID[5]
2,62,30451,44425,5143,12051,12042,321507
3,63,133,11366,195283,257541,31661,190319
4,64,116,30455,31687,112965,44614,84714
5,65,19750,20473,53563,53576,183998,85222
6,66,53600,31935,26573,53595,86659,31850
7,70,35395,85256,184575,53385,184662,255937
114,577,162243,162794,195072,198013,188499,191427
128,581,203782,228477,203720,189110,204596,187827
129,250,206930,49998,43265,50842,108199,49028
130,251,49184,49143,49020,196770,51128,59057
131,252,85948,55090,77575,275699,46584,42650
133,102,8921,190984,78674,24858,78675,191034
134,103,5221,22568,1822,5217,5215,106951
148,104,33917,77758,192081,22842,99,61336
149,105,774,8936,18562,145108,48438,740
168,253,34026,217200,193455,19574,56315,53270
188,254,56641,185358,19434,257044,155228,257621
189,255,186270,259489,259491,190925,259495,266779
190,268,100780,115069,121253,322507,115181,124502
191,270,124682,115175,115151,116680,116849,322118
192,269,100780,100784,107428,113656,137639,123904
193,256,17,47540,81749,186263,33206,62618
194,257,585,2050,88625,63733,20711,33076
208,258,589,8092,15407,232698,228260,228264
228,259,1329,703,1943,51723,32645,79140
229,260,193315,8676,185763,13877,2098,315508
230,261,196819,185438,53,197835,185313,212283
231,262,188196,8042,51505,198067,61882,51490
232,263,188389,33757,60103,17364,51533,187874
233,264,8004,61295,51564,1064,5394,98008
234,265,172,980,324536,316099,27243,205180
235,266,686,105174,30146,104316,196277,265187
236,267,29722,116858,348,17962,5740,1122
248,71,12294,7384,167105,260708,118038,227847
249,72,23881,184361,46917,184367,184364,1719
250,73,23922,2565,6343,46968,871,107574
