ID,CondType,TraitTreeID,Field_10_0_0_44649_003,Field_10_0_0_44649_004,Field_10_0_0_44649_005,SpecSetID,TraitNodeGroupID,TraitNodeID,TraitCurrencyID,SpentAmountRequired,Flags,Field_10_0_0_44649_012,FreeSharedStringID,SpendMoreSharedStringID
401,1,127,0,0,0,20,0,0,0,0,0,0,0,0
402,2,127,1,0,0,14,0,0,0,0,0,0,0,0
403,0,127,0,0,0,0,852,0,168,8,1,0,0,86
404,1,127,0,0,0,14,0,0,0,0,0,0,0,0
405,0,127,0,0,0,0,852,0,168,20,1,0,0,86
406,1,127,0,0,0,20,0,0,0,0,0,0,0,0
407,1,127,0,0,0,44,0,0,0,0,0,0,0,0
408,0,127,0,0,0,0,862,0,169,8,1,0,0,86
409,2,127,1,0,0,44,0,0,0,0,0,0,85,0
410,1,127,0,0,0,14,0,0,0,0,0,0,0,0
411,1,127,0,0,0,14,0,0,0,0,0,0,0,0
412,0,127,0,0,0,0,862,0,169,20,1,0,0,86
413,2,127,1,0,0,20,0,0,0,0,0,0,0,0
414,1,127,0,0,0,44,0,0,0,0,0,0,0,0
415,1,127,0,0,0,20,0,0,0,0,0,0,0,0
416,1,127,0,0,0,44,0,0,0,0,0,0,0,0
969,0,138,0,0,0,0,907,0,179,20,1,0,0,95
970,1,138,0,0,0,7,0,0,0,0,0,0,0,0
971,2,138,1,0,0,5,0,0,0,0,0,0,94,0
972,0,138,0,0,0,0,907,0,179,8,1,0,0,95
973,1,138,0,0,0,6,0,0,0,0,0,0,0,0
974,0,138,0,0,0,0,901,0,178,8,1,0,0,95
975,2,138,1,0,0,6,0,0,0,0,0,0,94,0
976,2,138,1,0,0,7,0,0,0,0,0,0,94,0
977,1,138,0,0,0,5,0,0,0,0,0,0,0,0
978,0,138,0,0,0,0,901,0,178,20,1,0,0,95
999,1,140,0,0,0,18,0,0,0,0,0,0,0,0
1000,2,140,1,0,0,18,0,0,0,0,0,0,98,0
1001,0,140,0,0,0,0,924,0,183,8,1,0,0,99
1002,1,140,0,0,0,17,0,0,0,0,0,0,0,0
1003,1,140,0,0,0,17,0,0,0,0,0,0,0,0
1004,1,140,0,0,0,15,0,0,0,0,0,0,0,0
1005,2,140,1,0,0,16,0,0,0,0,0,0,98,0
1006,1,140,0,0,0,18,0,0,0,0,4,0,0,0
1007,2,140,1,0,0,17,0,0,0,0,0,0,98,0
1008,2,140,1,0,0,15,0,0,0,0,0,0,98,0
1009,1,140,0,0,0,15,0,0,0,0,0,0,0,0
1010,0,140,0,0,0,0,924,0,183,20,1,0,0,99
1011,1,140,0,0,0,17,0,0,0,0,0,0,0,0
1012,1,140,0,0,0,17,0,0,0,0,0,0,0,0
1013,1,140,0,0,0,16,0,0,0,0,0,0,0,0
1014,0,140,0,0,0,0,931,0,182,20,1,0,0,99
1015,0,140,0,0,0,0,931,0,182,8,1,0,0,99
1016,1,140,0,0,0,16,0,0,0,0,4,0,0,0
1017,1,140,0,0,0,17,0,0,0,0,4,0,0,0
1018,1,140,0,0,0,17,0,0,0,0,0,0,0,0
4012,1,197,0,0,0,31,0,0,0,0,0,0,0,0
4013,0,197,0,0,0,0,1890,0,733,20,1,0,0,111
4014,2,197,1,0,0,33,0,0,0,0,0,0,110,0
4015,2,197,1,0,0,31,0,0,0,0,0,0,110,0
4016,2,197,1,0,0,31,0,0,0,0,0,0,110,0
4017,1,197,0,0,0,33,0,0,0,0,0,0,0,0
4018,2,197,1,0,0,32,0,0,0,0,0,0,110,0
4019,1,197,0,0,0,32,0,0,0,0,0,0,0,0
4020,0,197,0,0,0,0,1890,0,733,8,1,0,0,111
4021,0,197,0,0,0,0,1886,0,734,20,1,0,0,111
4022,0,197,0,0,0,0,1886,0,734,8,1,0,0,111
4079,2,203,1,0,0,36,0,0,0,0,0,0,0,0
4080,2,203,1,0,0,35,0,0,0,0,0,0,0,0
4081,1,203,0,0,0,35,0,0,0,0,0,0,0,0
4082,1,203,0,0,0,34,0,0,0,0,0,0,0,0
4083,1,203,0,0,0,36,0,0,0,0,0,0,0,0
4084,0,203,0,0,0,0,1918,0,743,8,1,0,0,115
4085,0,203,0,0,0,0,1918,0,743,20,1,0,0,115
4086,2,203,1,0,0,34,0,0,0,0,0,0,114,0
4087,0,203,0,0,0,0,1929,0,744,20,1,0,0,115
4088,0,203,0,0,0,0,1929,0,744,8,1,0,0,115
4200,2,206,1,0,0,0,0,16166,1,20,0,0,0,0
4201,2,206,1,0,0,0,0,16166,1,15,0,0,0,0
4202,2,206,1,0,0,0,0,16166,1,10,0,0,0,0
4203,2,206,1,0,0,0,0,16166,1,5,0,0,0,0
4204,2,206,1,0,0,0,0,16166,765,1,0,0,0,0
4205,2,206,1,0,0,0,0,16167,1,20,0,0,0,0
4206,2,206,1,0,0,0,0,16167,1,15,0,0,0,0
4207,2,206,1,0,0,0,0,16167,1,10,0,0,0,0
4208,2,206,1,0,0,0,0,16167,1,5,0,0,0,0
4209,2,206,1,0,0,0,0,16167,765,1,0,0,0,0
4210,2,206,1,0,0,0,0,16168,1,30,0,0,0,0
4211,2,206,1,0,0,0,0,16168,1,25,0,0,0,0
4212,2,206,1,0,0,0,0,16168,1,20,0,0,0,0
4213,2,206,1,0,0,0,0,16168,1,15,0,0,0,0
4214,2,206,1,0,0,0,0,16168,1,10,0,0,0,0
4215,2,206,1,0,0,0,0,16168,1,5,0,0,0,0
4216,2,206,1,0,0,0,0,16168,765,1,0,0,0,0
4217,2,206,1,0,0,0,0,16169,1,30,0,0,0,0
4218,2,206,1,0,0,0,0,16169,1,25,0,0,0,0
4219,2,206,1,0,0,0,0,16169,1,20,0,0,0,0
4220,2,206,1,0,0,0,0,16169,1,15,0,0,0,0
4221,2,206,1,0,0,0,0,16169,1,10,0,0,0,0
4222,2,206,1,0,0,0,0,16169,1,5,0,0,0,0
4223,2,206,1,0,0,0,0,16169,765,1,0,0,0,0
4224,2,206,1,0,0,0,0,16170,1,40,0,0,0,0
4225,2,206,1,0,0,0,0,16170,1,35,0,0,0,0
4226,2,206,1,0,0,0,0,16170,1,30,0,0,0,0
4227,2,206,1,0,0,0,0,16170,1,25,0,0,0,0
4228,2,206,1,0,0,0,0,16170,1,20,0,0,0,0
4229,2,206,1,0,0,0,0,16170,1,15,0,0,0,0
4230,2,206,1,0,0,0,0,16170,1,10,0,0,0,0
4231,2,206,1,0,0,0,0,16170,1,5,0,0,0,0
4232,2,206,1,0,0,0,0,16170,3,1,0,0,0,0
4233,2,207,1,0,0,0,0,16220,1,30,0,0,0,0
4234,2,207,1,0,0,0,0,16220,1,25,0,0,0,0
4235,2,207,1,0,0,0,0,16220,1,20,0,0,0,0
4236,2,207,1,0,0,0,0,16220,1,15,0,0,0,0
4237,2,207,1,0,0,0,0,16220,1,10,0,0,0,0
4238,2,207,1,0,0,0,0,16220,1,5,0,0,0,0
4239,2,207,1,0,0,0,0,16220,768,1,0,0,0,0
4240,2,207,1,0,0,0,0,16221,1,30,0,0,0,0
4241,2,207,1,0,0,0,0,16221,1,25,0,0,0,0
4242,2,207,1,0,0,0,0,16221,1,20,0,0,0,0
4243,2,207,1,0,0,0,0,16221,1,15,0,0,0,0
4244,2,207,1,0,0,0,0,16221,1,10,0,0,0,0
4245,2,207,1,0,0,0,0,16221,1,5,0,0,0,0
4246,2,207,1,0,0,0,0,16221,768,1,0,0,0,0
4247,2,207,1,0,0,0,0,16222,1,30,0,0,0,0
4248,2,207,1,0,0,0,0,16222,1,25,0,0,0,0
4249,2,207,1,0,0,0,0,16222,1,20,0,0,0,0
4250,2,207,1,0,0,0,0,16222,1,15,0,0,0,0
4251,2,207,1,0,0,0,0,16222,1,10,0,0,0,0
4252,2,207,1,0,0,0,0,16222,1,5,0,0,0,0
4253,2,207,1,0,0,0,0,16222,772,1,0,0,0,0
4254,2,207,1,0,0,0,0,16223,1,30,0,0,0,0
4255,2,207,1,0,0,0,0,16223,1,25,0,0,0,0
4256,2,207,1,0,0,0,0,16223,1,20,0,0,0,0
4257,2,207,1,0,0,0,0,16223,1,15,0,0,0,0
4258,2,207,1,0,0,0,0,16223,1,10,0,0,0,0
4259,2,207,1,0,0,0,0,16223,1,5,0,0,0,0
4260,2,207,1,0,0,0,0,16223,771,1,0,0,0,0
4261,2,207,1,0,0,0,0,16224,1,30,0,0,0,0
4262,2,207,1,0,0,0,0,16224,1,25,0,0,0,0
