OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID
,,,10579,0,135936,0
,,,10612,0,135936,0
,,,10644,0,135936,0
,,,10647,263716,0,0
,,,10650,0,135936,0
,,,10687,373455,0,0
,,,10700,0,135936,0
,,,10705,0,135936,0
,,,11049,205636,0,0
,,,11149,155675,0,0
,,,12956,147362,0,0
,,,12957,187707,0,0
,,,12958,34026,0,0
,,,12959,2643,0,0
,,,12960,109215,0,0
,,,12961,34477,0,0
,,,12962,187698,0,0
,,,12963,378010,0,0
,,,12964,257620,0,0
,,,12965,212436,0,0
,,,12966,187708,0,0
,,,12967,378961,0,0
,,,12968,259495,0,0
,,,12969,271014,0,0
,,,12970,260240,0,0
,,,12971,194595,0,0
,,Kill Shot has two charges.,12972,321460,0,0
,,,12973,378765,0,0
,,,12974,271788,0,0
,,Your pet takes 45/90% reduced damage while under the effect of your Misdirection.,12975,331463,0,0
,,,12976,378002,0,0
,,,12977,270581,0,0
,,,12978,266921,0,0
,,,12979,343247,0,0
,,,12980,378745,0,0
,,,12981,378209,0,0
,,,12982,378743,0,0
,,,12983,321014,0,0
,,,12984,260367,0,0
,,,12985,355589,0,0
,,,12986,378771,0,0
,,,12987,155228,0,0
,,,12988,231546,0,0
,,,12989,269751,0,0
,,,12990,231550,0,0
,,,12991,378950,0,0
,,,12992,260331,0,0
,,,12993,260404,0,0
,,,12994,5116,0,0
,,,12995,147362,0,0
,,,12996,343244,0,0
,,,12997,378007,0,0
,,,12998,199483,0,0
,,,12999,378023,0,0
,replaces steady shot,,13000,193455,0,0
,,,13001,185789,0,0
,,,13002,343248,0,0
,,,13003,342049,0,0
,,,13004,190925,0,0
,,,13005,260285,0,0
,,Increase the range of your Raptor Strike and Mongoose Bite to 40 yards for 15 sec.,13006,186289,0,0
,,,13007,360952,0,0
,,,13008,186387,0,0
,,,13009,260228,0,0
,,,13010,321287,0,0
,,,13011,378905,0,0
,,,13012,274447,0,0
,,,13013,336849,0,0
,,,13014,377525,0,0
,,,13015,260309,0,0
,,,13016,321468,0,0
,,,13017,1513,0,0
,,,13018,34026,0,0
,,,13019,378750,0,0
,,,13020,131894,0,0
,,,13021,193530,0,0
,,,13022,120360,0,0
,,,13023,201430,0,0
,,,13024,378913,0,0
,,,13025,378910,0,0
,,,13026,269737,0,0
,,,13027,273887,0,0
,,,13028,190852,0,0
,,,13029,336867,0,0
,,,13030,260393,0,0
,,,13031,321293,0,0
,,,13032,378948,0,0
,,,13033,321290,0,0
,,,13034,378937,0,0
,,,13035,360966,0,0
,,,13036,19434,0,0
,,,13037,257044,0,0
,,,13038,19801,0,0
Sharpshooter,,,13039,378907,0,0
,,,13040,193533,0,0
,,,13041,378880,0,0
,,,13042,321281,0,0
,,,13043,288613,0,0
,,,13044,257944,0,0
,,,13045,204089,0,0
,,,13046,260402,0,0
,,,13047,378956,0,0
,,,13048,378940,0,0
,,,13049,294029,0,0
,,,13050,378951,0,0
,,,13051,260248,0,0
,,,13052,264332,0,0
,,,13053,378774,0,0
,,,13054,378888,0,0
,,,13055,378766,0,0
,,,13056,378767,0,0
,,,13057,162488,0,0
,,,13058,212431,0,0
,,,13059,378004,0,0
,,,13060,378759,0,0
,,,13061,343242,0,0
,,,13062,191384,0,0
,,,13063,378207,0,0
,,,13064,19574,0,0
,,,13065,120679,0,0
,,,13066,193532,0,0
,,,13067,359844,0,0
,,,13068,378916,0,0
,,,13069,203415,0,0
,,,13070,263186,0,0
,,,13071,109248,0,0
,,,13072,213691,0,0
,,,13073,199530,0,0
,,,13074,378739,0,0
,,,13075,378442,0,0
,,,13076,378210,0,0
,,,13077,321530,0,0
,,,13078,199528,0,0
,,,13079,231548,0,0
,,,13080,217200,0,0
,,,13081,378934,0,0
,,,13082,378953,0,0
,Replaces Raptor Strike,,13083,259387,0,0
,,,13084,378962,0,0
,,,13085,257621,0,0
,,,13086,378769,0,0
,,,13087,260243,0,0
,,,13088,321018,0,0
,,,13089,236776,0,0
,,,13090,19577,0,0
,,,13091,325028,0,0
,,,13092,259391,0,0
,,,13093,53351,0,0
,,,13094,199921,0,0
,,,13095,355589,0,0
,,,13096,378205,0,0
,,,13097,115939,0,0
,,,13098,378244,0,0
,,,13099,259489,0,0
,,,13100,186270,0,0
,,,13101,378955,0,0
,,,13102,265895,0,0
,,,13103,268501,0,0
,,,13104,378014,0,0
,,,13105,378740,0,0
,,,13106,267116,0,0
,,,13107,336830,0,0
,,,13108,56315,0,0
,,,13109,336844,0,0
,,,13110,199532,0,0
,,,14087,377537,0,0
,,,14088,276837,0,0
,,,14089,207289,0,0
,,,14090,207269,0,0
,,,14091,207264,0,0
,,,14092,49530,0,0
,,,14093,377585,0,0
,,,14094,207272,0,0
,,,14095,42650,0,0
,,,14096,77575,0,0
,,,14097,115989,0,0
,,,14098,377580,0,0
,,,14099,377440,0,0
,,,14100,276023,0,0
,,,14101,377590,0,0
,,,14102,207317,0,0
