ID,VisualStyle,LeftTraitNodeID,RightTraitNodeID,Type
7389,1,9940,9936,2
7390,1,10065,9936,2
7391,1,9940,9937,2
7392,1,10065,9937,2
7393,1,10053,9939,2
7394,1,10064,9940,2
7395,1,9973,9940,2
7396,1,9936,9941,2
7397,1,9937,9941,2
7398,1,9974,9941,2
7399,1,9936,9942,2
7400,1,9937,9942,2
7401,1,9992,9942,2
7402,1,9974,9942,2
7403,1,9976,9943,2
7404,1,9952,9944,2
7405,1,10026,9945,2
7406,1,9984,9945,2
7407,1,10045,9945,2
7408,1,10007,9946,2
7409,1,10009,9946,2
7410,1,10043,9947,2
7411,1,10009,9948,2
7412,1,10011,9949,2
7413,1,10018,9950,2
7414,1,9951,9950,2
7415,1,10028,9951,2
7416,1,9966,9951,2
7417,1,10061,9952,2
7418,1,10006,9952,2
7419,1,9949,9952,2
7420,1,9955,9953,2
7421,1,9957,9953,2
7422,1,9941,9954,2
7423,1,9977,9955,2
7424,1,10062,9955,2
7425,1,9957,9955,2
7426,1,9940,9956,2
7427,1,9981,9956,2
7428,1,10046,9957,2
7429,1,10062,9958,2
7430,1,9995,9958,2
7431,1,9967,9958,2
7432,1,9961,9959,2
7433,1,9979,9960,2
7434,1,10066,9961,2
7435,1,10047,9961,2
7436,1,10053,9962,2
7437,1,10012,9963,2
7438,1,9951,9964,2
7439,1,9987,9965,2
7440,1,10059,9966,2
7441,1,9942,9967,2
7442,1,9984,9968,2
7443,1,9945,9968,2
7444,1,10056,9968,2
7445,1,9983,9969,2
7446,1,9968,9970,2
7447,1,10024,9970,2
7448,1,10057,9971,2
7449,1,10018,9972,2
7450,1,10065,9974,2
7451,1,9940,9974,2
7452,1,10013,9975,2
7453,1,9958,9976,2
7454,1,9995,9976,2
7455,1,10046,9977,2
7456,1,9975,9977,2
7457,1,9939,9978,2
7458,1,9962,9978,2
7459,1,10053,9979,2
7460,1,10069,9980,2
7461,1,10040,9980,2
7462,1,10038,9980,2
7463,1,10064,9981,2
7464,1,10034,9982,2
7465,1,10071,9983,2
7466,1,9969,9984,2
7467,1,10045,9984,2
7468,1,10007,9985,2
7469,1,9970,9986,2
7470,1,10007,9986,2
7471,1,10024,9986,2
7472,1,10031,9987,2
7473,1,10030,9987,2
7474,1,9952,9988,2
7475,1,10012,9988,2
7476,1,10006,9988,2
7477,1,9944,9989,2
7478,1,10030,9989,2
7479,1,10004,9990,2
7480,1,9972,9991,2
7481,1,9938,9992,2
7482,1,10070,9992,2
7483,1,10065,9992,2
7484,1,9996,9992,2
7485,1,10000,9993,2
7486,1,10062,9994,2
7487,1,10036,9995,2
7488,1,9960,9997,2
7489,1,10067,9998,2
7490,1,10019,9998,2
7491,1,10039,9999,2
7492,1,9980,9999,2
7493,1,9955,10000,2
7494,1,9994,10000,2
7495,1,9976,10001,2
7496,1,10016,10002,2
7497,1,9943,10003,2
7498,1,9951,10004,2
7499,1,9963,10005,2
7500,1,10011,10006,2
7501,1,10008,10007,2
7502,1,10024,10007,2
7503,1,10054,10007,2
7504,1,10027,10008,2
7505,1,10008,10009,2
7506,1,10022,10010,2
7507,1,10006,10012,2
7508,1,9936,10013,2
7509,1,9937,10013,2
7510,1,9956,10013,2
7511,1,9974,10013,2
7512,1,10060,10014,2
7513,1,9989,10015,2
7514,1,10058,10016,2
7515,1,9963,10017,2
7516,1,10015,10018,2
7517,1,9966,10018,2
7518,1,10016,10018,2
7519,1,9978,10019,2
7520,1,10068,10019,2
7521,1,10076,10019,2
7522,1,9944,10020,2
7523,1,9988,10020,2
7524,1,10002,10021,2
7525,1,10014,10021,2
7526,1,10025,10022,2
7527,1,10072,10022,2
7528,1,9970,10022,2
7529,1,9946,10023,2
7530,1,9985,10023,2
7531,1,9948,10023,2
7532,1,9945,10024,2
7533,1,9968,10025,2
7534,1,9947,10026,2
7535,1,10045,10026,2
7536,1,9947,10027,2
7537,1,9987,10028,2
7538,1,9966,10029,2
7539,1,10031,10030,2
7540,1,9952,10030,2
7541,1,9949,10030,2
7542,1,9949,10031,2
7543,1,10035,10032,2
7544,1,9943,10032,2
7545,1,9953,10033,2
7546,1,9994,10034,2
7547,1,9958,10035,2
7548,1,9976,10035,2
7549,1,9992,10036,2
7550,1,9962,10037,2
7551,1,10068,10038,2
7552,1,10038,10039,2
7553,1,10019,10039,2
7554,1,10068,10039,2
7555,1,9960,10040,2
7556,1,10075,10040,2
7557,1,10039,10041,2
7558,1,10077,10042,2
7559,1,10052,10042,2
7560,1,10071,10043,2
7561,1,10023,10044,2
7562,1,10043,10045,2
7563,1,10071,10045,2
7564,1,9983,10045,2
7565,1,10013,10046,2
7566,1,9956,10046,2
7567,1,10050,10047,2
7568,1,10042,10048,2
7569,1,9998,10049,2
7570,1,10067,10049,2
7571,1,9998,10050,2
7572,1,10039,10050,2
7573,1,10019,10050,2
7574,1,9980,10051,2
7575,1,9999,10052,2
7576,1,10026,10054,2
7577,1,9945,10054,2
7578,1,10056,10055,2
7579,1,9984,10056,2
7580,1,10073,10056,2
7581,1,9986,10057,2
7582,1,9989,10058,2
7583,1,10020,10058,2
7584,1,9963,10058,2
7585,1,9987,10059,2
7586,1,9989,10059,2
7587,1,10005,10060,2
7588,1,10017,10060,2
7589,1,10058,10060,2
7590,1,10011,10061,2
7591,1,9967,10062,2
7592,1,9954,10062,2
7593,1,9975,10062,2
7594,1,9982,10063,2
7595,1,10035,10063,2
7596,1,9993,10063,2
7597,1,9938,10065,2
7598,1,10070,10065,2
7599,1,9996,10065,2
7600,1,9973,10065,2
7601,1,10049,10066,2
7602,1,10076,10067,2
7603,1,9939,10068,2
7604,1,9997,10069,2
7605,1,10055,10072,2
7606,1,9969,10073,2
7607,1,9953,10074,2
7608,1,10078,10075,2
7609,1,10037,10076,2
7610,1,10051,10077,2
7611,1,9939,10078,2
7612,1,9979,10078,2
7613,1,10041,10079,2
7976,1,10930,10934,2
7977,1,10913,10934,2
7978,1,10933,10932,2
7979,1,10979,11021,2
7980,1,10936,10930,2
7981,1,10914,10930,2
7982,1,11015,11022,2
7983,1,10909,10928,2
7984,1,11015,11023,2
7985,1,10908,10926,2
7986,1,11017,11024,2
7987,1,10915,10924,2
7988,1,11024,11025,2
7989,1,10912,10922,2
7990,1,11025,11026,2
7991,1,10918,10920,2
7992,1,11039,11027,2
7993,1,10912,10918,2
7994,1,11007,11028,2
7995,1,10926,10916,2
7996,1,11042,11029,2
7997,1,10907,10914,2
7998,1,11050,11030,2
7999,1,10919,10912,2
8000,1,11037,11031,2
8001,1,11016,11031,2
8002,1,10920,10910,2
8003,1,11037,11032,2
8004,1,10935,10908,2
8005,1,10989,11033,2
8006,1,11008,11033,2
8007,1,10917,10906,2
8008,1,10987,11034,2
8009,1,10936,10904,2
8010,1,10931,10904,2
8011,1,11048,11035,2
8012,1,11026,11036,2
8013,1,10980,11037,2
8014,1,10999,11037,2
8015,1,11021,11037,2
8016,1,11042,11038,2
8017,1,11048,11039,2
8018,1,10985,11040,2
8019,1,11006,11040,2
8020,1,11019,11040,2
8021,1,11047,11041,2
8022,1,11035,11042,2
8023,1,11045,11042,2
8024,1,11025,11043,2
8025,1,11047,11044,2
8026,1,11049,11045,2
8027,1,11041,11048,2
8028,1,11044,11049,2
8029,1,11051,11050,2
8030,1,11040,11052,2
8031,1,10958,10938,2
8032,1,10946,10939,2
8033,1,10963,10940,2
8034,1,10944,10941,2
8035,1,10949,10942,2
8036,1,10957,10943,2
8037,1,10953,10944,2
8038,1,10954,10944,2
8039,1,10948,10945,2
8040,1,10967,10946,2
8041,1,10971,10947,2
8042,1,10957,10947,2
8043,1,10970,10948,2
8044,1,10951,10949,2
8045,1,10947,10950,2
8046,1,10938,10951,2
8047,1,10940,10952,2
8048,1,10956,10953,2
8049,1,10988,10973,2
8050,1,10956,10954,2
8051,1,11003,10974,2
8052,1,10954,10955,2
8053,1,11044,10975,2
8054,1,10939,10956,2
8055,1,11045,10976,2
8056,1,10942,10957,2
8057,1,10968,10957,2
8058,1,11035,10977,2
8059,1,10961,10958,2
8060,1,11039,10978,2
8061,1,10938,10959,2
8062,1,11030,10979,2
8063,1,10946,10960,2
8064,1,10979,10980,2
8065,1,11011,10981,2
8066,1,10953,10962,2
8067,1,10991,10982,2
8068,1,10960,10963,2
8069,1,10959,10963,2
8070,1,11031,10983,2
8071,1,10963,10964,2
8072,1,10993,10984,2
8073,1,10969,10965,2
8074,1,10942,10966,2
8075,1,11023,10985,2
8076,1,10961,10967,2
8077,1,11052,10986,2
8078,1,10949,10968,2
8079,1,11011,10987,2
8080,1,10994,10987,2
8081,1,10947,10969,2
8082,1,10970,10969,2
8083,1,11033,10988,2
8084,1,11011,10988,2
8085,1,10952,10970,2
8086,1,10944,10970,2
8087,1,10964,10971,2
8088,1,10950,10972,2
8089,1,10990,10989,2
8090,1,10934,10905,2
8091,1,10927,10905,2
8092,1,11027,10990,2
8093,1,10933,10907,2
8094,1,11037,10991,2
8095,1,11040,10991,2
8096,1,10908,10909,2
8097,1,11052,10992,2
8098,1,10933,10911,2
8099,1,10932,10911,2
8100,1,10907,10911,2
8101,1,11033,10993,2
8102,1,10914,10913,2
8103,1,10929,10913,2
8104,1,11009,10994,2
8105,1,11010,10994,2
8106,1,10913,10915,2
8107,1,11001,10995,2
8108,1,10904,10917,2
8109,1,11000,10996,2
8110,1,10923,10919,2
8111,1,11001,10997,2
8112,1,10920,10921,2
8113,1,11032,10998,2
8114,1,10979,10999,2
8115,1,10928,10925,2
8116,1,11016,11000,2
8117,1,10904,10927,2
8118,1,10930,10927,2
8119,1,11050,11001,2
8120,1,11024,11001,2
8121,1,10910,10929,2
8122,1,11000,11002,2
8123,1,10925,10931,2
8124,1,11050,11003,2
8125,1,11018,11003,2
8126,1,10926,10933,2
8127,1,10922,10933,2
8128,1,11049,11004,2
8129,1,10923,10935,2
8130,1,10932,10936,2
8131,1,10928,10937,2
8132,1,11026,11005,2
8133,1,11023,11006,2
8134,1,11004,11007,2
8135,1,11038,11008,2
8136,1,11029,11009,2
8137,1,11028,11010,2
8138,1,11008,11011,2
8139,1,11009,11011,2
8140,1,11013,11012,2
8141,1,10994,11013,2
8142,1,11026,11014,2
8143,1,11018,11015,2
8144,1,11036,11016,2
8145,1,11005,11016,2
8146,1,11014,11016,2
8147,1,11046,11018,2
8148,1,11023,11019,2
8149,1,11003,11020,2
8372,1,11419,11420,2
8373,1,11404,11395,2
8374,1,11396,11395,2
8375,1,11385,11252,2
8376,1,11417,11418,2
8377,1,11419,11418,2
8378,1,11346,11362,2
8379,1,11361,11362,2
8380,1,11318,11312,2
8381,1,11290,11273,2
8382,1,11282,11273,2
8383,1,11389,11390,2
8384,1,11384,11257,2
8385,1,11384,11383,2
8386,1,11424,11425,2
8387,1,11349,11347,2
8388,1,11326,11327,2
8389,1,11288,11289,2
8390,1,11264,11263,2
8391,1,11277,11270,2
8392,1,11428,11244,2
8393,1,11381,11368,2
8394,1,11334,11333,2
8395,1,11311,11309,2
8396,1,11279,11259,2
8397,1,11281,11259,2
8398,1,11399,11394,2
8399,1,11367,11366,2
8400,1,11360,11361,2
8401,1,11309,11306,2
8402,1,11279,11278,2
8403,1,11410,11411,2
8404,1,11346,11345,2
8405,1,11338,11339,2
8406,1,11340,11339,2
8407,1,11323,11315,2
8408,1,11317,11315,2
8409,1,11324,11298,2
8410,1,11280,11281,2
8411,1,11282,11281,2
8412,1,11413,11397,2
8413,1,11420,11421,2
8414,1,11416,11409,2
8415,1,11339,11335,2
8416,1,11308,11307,2
8417,1,11320,11297,2
8418,1,11274,11275,2
8419,1,11276,11275,2
8420,1,11274,11266,2
8421,1,11387,11378,2
8422,1,11337,11338,2
8423,1,11325,11303,2
8424,1,11286,11258,2
8425,1,11274,11293,2
8426,1,11292,11293,2
8427,1,11403,11400,2
8428,1,11377,11374,2
8429,1,11352,11357,2
8430,1,11356,11357,2
8431,1,11303,11304,2
8432,1,11321,11316,2
8433,1,11270,11271,2
8434,1,11409,11410,2
8435,1,11368,11367,2
8436,1,11418,11245,2
8437,1,11375,11363,2
8438,1,11360,11334,2
8439,1,11341,11334,2
8440,1,11322,11323,2
8441,1,11295,11261,2
8442,1,11262,11261,2
8443,1,11287,11288,2
8444,1,11349,11360,2
8445,1,11359,11360,2
8446,1,11375,11364,2
8447,1,11387,11386,2
8448,1,11354,11355,2
8449,1,11316,11317,2
8450,1,11428,11249,2
8451,1,11378,11379,2
8452,1,11423,11247,2
8453,1,11427,11428,2
8454,1,11429,11428,2
8455,1,11273,11274,2
8456,1,11421,11250,2
8457,1,11428,11250,2
8458,1,11422,11392,2
8459,1,11348,11349,2
8460,1,11315,11314,2
8461,1,11328,11296,2
8462,1,11343,11342,2
8463,1,11372,11369,2
8464,1,11389,11253,2
8465,1,11388,11389,2
8466,1,11293,11294,2
8467,1,11273,11272,2
8468,1,11275,11267,2
8469,1,11266,11267,2
8470,1,11324,11325,2
8471,1,11342,11337,2
8472,1,11414,11246,2
8473,1,11255,11381,2
8474,1,11257,11381,2
8475,1,11380,11381,2
8476,1,11321,11322,2
8477,1,11347,11346,2
8478,1,11383,11373,2
8479,1,11276,11277,2
8480,1,11278,11277,2
8481,1,11318,11313,2
8482,1,11353,11350,2
8483,1,11385,11256,2
8484,1,11396,11398,2
8485,1,11397,11398,2
8486,1,11254,11255,2
8487,1,11404,11403,2
8488,1,11271,11268,2
8489,1,11269,11268,2
8490,1,11327,11301,2
8491,1,11304,11301,2
8492,1,11359,11329,2
8493,1,11390,11380,2
8494,1,11430,11427,2
8495,1,11374,11375,2
8496,1,11376,11375,2
8497,1,11375,11365,2
8498,1,11351,11348,2
8499,1,11250,11251,2
8500,1,11303,11302,2
8501,1,11345,11344,2
8502,1,11381,11382,2
8503,1,11383,11382,2
8504,1,11312,11311,2
8505,1,11358,11359,2
8506,1,11372,11370,2
8507,1,11415,11416,2
8508,1,11417,11416,2
8509,1,11281,11276,2
8510,1,11338,11336,2
8511,1,11386,11385,2
8512,1,11287,11286,2
8513,1,11320,11319,2
8514,1,11414,11413,2
8515,1,11280,11279,2
8516,1,11327,11328,2
8517,1,11355,11352,2
8518,1,11353,11352,2
8519,1,11392,11424,2
8520,1,11423,11424,2
8521,1,11407,11396,2
8522,1,11290,11291,2
8523,1,11294,11295,2
