ID,TraitTreeID,PosX,PosY,Type,Flags
9936,127,4200,2700,0,1
9937,127,4196,2696,0,1
9938,127,3000,1500,0,0
9939,127,12000,2100,0,0
9940,127,4800,2100,0,0
9941,127,4196,3297,0,0
9942,127,3597,3300,0,0
9943,127,2395,6302,0,0
9944,127,12000,3300,0,0
9945,127,11998,3896,2,1
9946,127,10803,5700,0,0
9947,127,10801,2697,0,0
9948,127,10202,5700,0,0
9949,127,12595,2098,0,0
9950,127,12595,6294,0,0
9951,127,13200,5702,0,0
9952,127,12000,2699,0,0
9953,127,5399,5699,0,0
9954,127,4201,3900,0,0
9955,127,4800,5097,0,0
9956,127,5399,2697,0,0
9957,127,5399,4500,0,0
9958,127,3600,5100,0,0
9959,127,10799,6900,0,0
9960,127,13199,2711,0,0
9961,127,10789,6300,0,0
9962,127,11400,2100,0,0
9963,127,10790,3893,0,0
9964,127,13200,6900,0,0
9965,127,13798,4498,0,0
9966,127,12599,5098,0,0
9967,127,3597,3897,0,0
9968,127,12600,4500,0,0
9969,127,13205,2697,0,0
9970,127,12598,5092,0,0
9971,127,11999,6902,0,0
9972,127,11999,6300,0,0
9973,127,4196,1496,0,0
9974,127,4200,2700,0,1
9975,127,4800,3897,0,0
9976,127,3000,5700,0,0
9977,127,4800,4497,0,0
9978,127,11400,2700,0,0
9979,127,12608,2111,0,0
9980,127,13200,4500,0,0
9981,127,5399,2101,0,0
9982,127,4197,6302,0,1
9983,127,12603,2098,0,0
9984,127,12603,3300,0,0
9985,127,11403,5700,0,0
9986,127,12000,5700,0,0
9987,127,13200,3899,0,0
9988,127,11399,3298,0,0
9989,127,11995,3898,0,0
9990,127,13798,6902,0,0
9991,127,12000,6894,2,1
9992,127,3001,2700,0,0
9993,127,4800,6302,0,0
9994,127,4196,5097,0,0
9995,127,3000,4500,0,0
9996,127,3000,1500,0,0
9997,127,13822,3320,0,0
9998,127,10799,4500,0,0
9999,127,12600,5100,0,0
10000,127,4800,5699,0,0
10001,127,3000,6302,0,0
10002,127,11399,6302,2,1
10003,127,2395,6899,2,1
10004,127,13799,6302,0,0
10005,127,10795,4496,2,1
10006,127,11394,2098,0,0
10007,127,11400,5092,0,0
10008,127,10803,4503,0,0
10009,127,10200,5092,0,0
10010,127,13205,6902,0,0
10011,127,11994,1493,0,0
10012,127,10795,2697,0,0
10013,127,4800,3300,0,0
10014,127,10797,5699,0,0
10015,127,12000,5098,0,0
10016,127,11398,5098,0,0
10017,127,10189,4493,0,0
10018,127,12000,5699,0,0
10019,127,11396,3907,0,0
10020,127,11399,3899,0,0
10021,127,10790,6895,0,0
10022,127,13200,5700,0,0
10023,127,10803,6302,0,0
10024,127,11999,4501,0,0
10025,127,13200,5100,0,0
10026,127,11403,3300,0,0
10027,127,10794,3892,0,0
10028,127,13203,5099,0,0
10029,127,12598,5699,0,0
10030,127,12599,3297,0,0
10031,127,13193,2697,0,0
10032,127,2997,6902,0,0
10033,127,5397,6899,0,0
10034,127,4197,5700,0,0
10035,127,3597,6302,0,0
10036,127,3001,3900,0,0
10037,127,10789,2711,0,0
10038,127,12601,3907,0,0
10039,127,11997,4500,0,0
10040,127,13200,3896,0,0
10041,127,12000,5700,0,0
10042,127,13200,6300,0,0
10043,127,11403,2098,0,0
10044,127,10801,6902,0,0
10045,127,11999,2698,0,0
10046,127,5399,3897,2,1
10047,127,11400,5700,0,0
10048,127,13200,6900,2,1
10049,127,10200,5100,0,0
10050,127,11400,5100,0,0
10051,127,13800,5100,0,0
10052,127,12600,5700,0,0
10053,127,12007,1516,0,0
10054,127,11403,4503,0,0
10055,127,13804,4503,0,0
10056,127,13200,3899,0,0
10057,127,11999,6302,0,0
10058,127,11399,4500,0,0
10059,127,12599,4499,0,0
10060,127,10795,5096,0,0
10061,127,12000,2100,0,0
10062,127,4200,4500,2,1
10063,127,4199,6900,2,1
10064,127,5399,1496,0,0
10065,127,3597,2101,0,0
10066,127,10200,5700,0,0
10067,127,10200,3905,0,0
10068,127,11999,3307,0,0
10069,127,13800,3899,0,0
10070,127,3000,1500,0,0
10071,127,11998,1496,0,0
10072,127,13800,5100,0,0
10073,127,13200,3300,0,0
10074,127,5998,6299,2,1
10075,127,12597,3307,0,0
10076,127,10789,3305,0,0
10077,127,13800,5700,0,0
10078,127,12595,2711,0,0
10079,127,12000,6900,2,1
10904,138,10800,5399,0,0
10905,138,12000,6599,0,0
10906,138,10200,6599,0,0
10907,138,12600,4198,2,1
10908,138,11400,2400,0,0
10909,138,10800,3000,0,0
10910,138,13800,4198,0,1
10911,138,12000,4798,0,0
10912,138,12600,2400,0,0
10913,138,13200,5400,0,0
10914,138,12600,4798,0,0
10915,138,13800,5999,0,0
10916,138,11400,3600,0,0
10917,138,10200,5999,0,0
10918,138,13200,3000,0,0
10919,138,12600,1800,0,0
10920,138,13800,3600,0,0
10921,138,14400,4198,0,0
10922,138,12600,3000,0,0
10923,138,12000,1200,0,0
10924,138,13800,6599,0,0
10925,138,10200,4198,0,1
10926,138,11400,3000,0,0
10927,138,11400,5999,0,0
10928,138,10200,3600,0,0
10929,138,13800,4798,0,0
10930,138,11998,5400,0,0
10931,138,10200,4798,0,0
10932,138,11400,4198,2,1
10933,138,12000,3600,0,0
10934,138,12600,5999,0,0
10935,138,11400,1800,0,0
10936,138,11400,4798,0,0
10937,138,9600,4198,0,0
10938,138,11401,2400,0,0
10939,138,13200,3000,0,0
10940,138,12599,4200,2,1
10941,138,14400,5400,0,0
10942,138,10800,4200,0,0
10943,138,9600,5400,0,0
10944,138,13800,4800,0,0
10945,138,13800,6600,0,0
10946,138,12600,2400,0,0
10947,138,10800,5400,0,0
10948,138,13800,6000,0,0
10949,138,10199,3600,0,0
10950,138,10199,6000,0,0
10951,138,10801,2999,0,0
10952,138,12599,4800,0,0
10953,138,14400,4200,0,0
10954,138,13200,4200,0,0
10955,138,13200,4800,0,0
10956,138,13800,3600,0,0
10957,138,10199,4800,0,0
10958,138,11401,1800,0,0
10959,138,11400,3000,0,0
10960,138,12601,3000,0,0
10961,138,12000,1200,0,0
10962,138,14400,4800,2,1
10963,138,12000,3600,0,0
10964,138,11400,4200,2,1
10965,138,12001,6600,0,0
10966,138,10800,4800,0,0
10967,138,12600,1800,0,0
10968,138,9600,4200,2,1
10969,138,12001,6000,0,0
10970,138,13200,5400,0,0
10971,138,11400,4800,0,0
10972,138,10199,6600,2,1
10973,138,11400,6600,0,0
10974,138,5400,3000,0,0
10975,138,13200,2400,0,0
10976,138,12599,3600,0,0
10977,138,11400,3600,0,0
10978,138,10800,3600,0,0
10979,138,4200,3600,0,0
10980,138,4200,4200,0,0
10981,138,12000,6000,0,0
10982,138,5100,6000,0,0
10983,138,3300,6000,0,0
10984,138,10200,6600,0,0
10985,138,5400,4200,0,0
10986,138,6600,6000,0,0
10987,138,12600,6000,0,0
10988,138,11400,6000,0,0
10989,138,10200,4800,0,0
10990,138,10200,4200,2,1
10991,138,5100,5400,0,0
10992,138,6000,6600,0,0
10993,138,10200,6000,0,0
10994,138,13200,5400,0,0
10995,138,3600,3000,0,0
10996,138,1799,6000,0,0
10997,138,3000,3000,0,0
10998,138,4200,6600,0,0
10999,138,4800,4200,0,0
11000,138,2400,5400,0,0
11001,138,3300,2400,0,0
11002,138,2400,6600,0,0
11003,138,5100,2400,0,0
11004,138,13200,3000,0,0
11005,138,2999,4200,0,0
11006,138,6600,4200,0,0
11007,138,13800,3600,0,0
11008,138,11399,4800,0,0
11009,138,12599,4800,0,0
11010,138,13800,4800,0,0
11011,138,11999,5400,0,0
11012,138,13800,6600,0,0
11013,138,13800,6000,0,0
11014,138,2399,4200,2,1
11015,138,6000,2400,0,0
11016,138,2400,4799,0,0
11017,138,2400,1200,0,0
11018,138,6000,1800,0,0
11019,138,6000,4200,2,1
11020,138,4800,3000,0,0
11021,138,3600,4200,0,0
11022,138,6600,3000,0,0
11023,138,6000,3600,0,0
11024,138,2400,1800,0,0
11025,138,2400,2400,0,0
11026,138,2400,3600,0,0
11027,138,10200,3600,0,0
11028,138,13800,4200,0,1
11029,138,12599,4200,2,1
11030,138,4200,2400,0,0
11031,138,3300,5400,0,0
11032,138,4200,5400,0,0
11033,138,10799,5400,0,0
11034,138,12600,6600,0,0
11035,138,11399,3000,0,0
11036,138,1800,4200,0,0
11037,138,4200,4800,0,0
11038,138,11399,4200,2,1
11039,138,10800,3000,0,0
11040,138,6000,4800,0,0
11041,138,11400,1800,0,0
11042,138,11999,3600,0,0
11043,138,1800,3000,0,0
11044,138,12599,1800,0,0
11045,138,12599,3000,0,0
11046,138,6000,1200,0,0
11047,138,11999,1200,0,0
11048,138,11399,2400,0,0
11049,138,12599,2400,0,0
11050,138,4200,1800,0,0
11051,138,4200,1200,0,0
11052,138,6000,5400,0,0
11242,140,15900,-301,0,0
11243,140,15900,8700,0,0
11244,140,6302,3303,0,0
11245,140,3900,2701,0,0
11246,140,1502,3303,0,0
11247,140,5702,5103,0,0
11248,140,6302,4502,0,0
11249,140,5697,3901,0,0
11250,140,5100,3303,0,0
