ID,TraitDefinitionID,MaxRanks,NodeEntryType
9860,10579,1,1
9893,10612,1,1
9925,10644,1,1
9928,10647,1,1
9931,10650,1,1
9968,10687,1,2
9981,10700,1,1
9986,10705,1,1
10330,11049,1,2
10430,11149,2,2
12237,12956,1,1
12238,12957,1,1
12239,12958,1,1
12240,12959,1,1
12241,12960,2,2
12242,12961,1,1
12243,12962,1,1
12244,12963,2,2
12245,12964,1,2
12246,12965,1,1
12247,12966,1,1
12248,12967,2,2
12249,12968,1,1
12250,12969,1,2
12251,12970,2,2
12252,12971,1,2
12253,12972,1,2
12254,12973,2,2
12255,12974,1,1
12256,12975,2,2
12257,12976,3,2
12258,12977,2,2
12259,12978,3,2
12260,12979,2,2
12261,12980,1,1
12262,12981,2,2
12263,12982,3,2
12264,12983,1,2
12265,12984,2,2
12266,12985,1,1
12267,12986,1,2
12268,12987,1,2
12269,12988,2,2
12270,12989,1,1
12271,12990,2,2
12272,12991,3,2
12273,12992,1,2
12274,12993,2,2
12275,12994,1,1
12276,12995,1,1
12277,12996,2,2
12278,12997,3,2
12279,12998,1,1
12280,12999,1,2
12281,13000,1,1
12282,13001,2,2
12283,13002,1,2
12284,13003,1,1
12285,13004,1,1
12286,13005,3,2
12287,13006,1,1
12288,13007,1,1
12289,13008,1,1
12290,13009,2,2
12291,13010,1,2
12292,13011,3,2
12293,13012,1,2
12294,13013,1,2
12295,13014,2,2
12296,13015,2,2
12297,13016,2,2
12298,13017,1,1
12299,13018,1,1
12300,13019,2,2
12301,13020,1,1
12302,13021,1,1
12303,13022,1,1
12304,13023,1,1
12305,13024,1,2
12306,13025,1,2
12307,13026,1,2
12308,13027,1,2
12309,13028,2,2
12310,13029,1,2
12311,13030,1,2
12312,13031,2,2
12313,13032,3,2
12314,13033,3,2
12315,13034,3,2
12316,13035,1,1
12317,13036,1,1
12318,13037,1,1
12319,13038,1,1
12320,13039,2,2
12321,13040,2,2
12322,13041,2,2
12323,13042,1,2
12324,13043,1,1
12325,13044,3,2
12326,13045,2,2
12327,13046,1,1
12328,13047,3,2
12329,13048,3,2
12330,13049,1,2
12331,13050,2,2
12332,13051,1,2
12333,13052,1,2
12334,13053,3,2
12335,13054,2,2
12336,13055,2,2
12337,13056,2,2
12338,13057,1,1
12339,13058,1,1
12340,13059,3,2
12341,13060,3,2
12342,13061,3,2
12343,13062,2,2
12344,13063,1,2
12345,13064,1,1
12346,13065,1,1
12347,13066,2,2
12348,13067,1,1
12349,13068,2,2
12350,13069,1,1
12351,13070,3,2
12352,13071,1,1
12353,13072,1,1
12354,13073,2,2
12355,13074,1,2
12356,13075,1,2
12357,13076,2,2
12358,13077,1,1
12359,13078,2,2
12360,13079,2,2
12361,13080,1,1
12362,13081,3,2
12363,13082,2,2
12364,13083,1,1
12365,13084,3,2
12366,13085,1,2
12367,13086,1,2
12368,13087,1,1
12369,13088,1,2
12370,13089,1,2
12371,13090,1,1
12372,13091,1,1
12373,13092,1,1
12374,13093,1,1
12375,13094,2,2
12376,13095,1,1
12377,13096,2,2
12378,13097,3,2
12379,13098,1,2
12380,13099,1,1
12381,13100,1,1
12382,13101,2,2
12383,13102,1,2
12384,13103,1,2
12385,13104,1,2
12386,13105,2,2
12387,13106,1,2
12388,13107,2,2
12389,13108,2,2
12390,13109,1,2
12391,13110,1,2
13368,14087,1,2
13369,14088,1,2
13370,14089,1,1
13371,14090,1,2
13372,14091,1,2
13373,14092,1,2
13374,14093,1,2
13375,14094,1,2
13376,14095,1,1
13377,14096,1,1
13378,14097,1,1
13379,14098,2,2
13380,14099,2,2
13381,14100,1,2
13382,14101,2,2
13383,14102,1,1
13384,14103,1,1
13385,14104,2,2
13386,14105,1,2
13387,14106,3,2
13388,14107,1,1
13389,14108,1,1
13390,14109,1,2
13391,14110,3,2
13392,14111,2,2
13393,14112,2,2
13394,14113,1,2
13395,14114,1,1
13396,14115,1,2
13397,14116,1,1
13398,14117,1,2
13399,14118,1,1
13400,14119,2,2
13401,14120,1,1
13402,14121,2,2
13403,14122,1,2
13404,14123,1,2
13405,14124,1,1
13406,14125,1,2
13407,14126,1,2
13408,14127,1,1
13409,14128,1,2
13410,14129,1,1
13411,14130,1,2
13412,14131,1,1
13413,14132,1,2
13414,14133,2,2
13415,14134,2,2
13416,14135,2,2
13417,14136,2,2
13418,14137,1,2
13419,14138,2,2
13420,14139,1,1
13421,14140,1,2
13422,14141,1,2
13423,14142,2,2
13424,14143,1,2
13425,14144,1,1
13426,14145,2,2
13427,14146,2,2
13428,14147,1,1
13429,14148,1,2
