ID,TraitNodeEntryID,TraitCostID
711,20579,749
712,20585,749
713,20593,749
714,20601,749
715,20611,749
716,20612,747
717,20613,747
718,20614,747
719,20615,747
720,20616,748
721,20624,758
722,20632,758
723,20640,758
724,20648,758
725,20656,758
726,20664,758
727,20672,758
728,20673,752
729,20674,752
730,20675,756
731,20676,755
732,20677,755
733,20678,756
734,20679,757
879,24387,894
880,24393,894
881,24400,894
882,24408,894
883,24416,894
884,24424,894
885,24425,889
886,24426,889
887,24427,892
888,24428,892
889,24429,892
890,24430,893
891,24438,898
892,24446,898
893,24453,898
894,24454,897
895,24455,897
896,24462,906
897,24468,906
898,24475,906
899,24483,906
900,24491,906
901,24499,906
902,24500,901
903,24501,901
904,24502,904
905,24503,904
906,24504,904
907,24505,905
908,24513,914
909,24521,914
910,24529,914
911,24539,914
912,24545,914
913,24557,914
914,24558,912
915,24559,912
916,24560,912
917,24561,912
918,24562,912
919,24563,913
920,24571,929
921,24579,929
922,24587,929
923,24595,929
924,24603,929
925,24611,929
926,24619,929
927,24627,929
928,24635,929
929,24643,929
930,24651,929
931,24659,929
932,24667,929
933,24668,918
934,24669,918
935,24670,918
936,24671,927
937,24672,922
938,24673,922
939,24674,922
940,24675,927
941,24676,926
942,24677,926
943,24678,926
944,24679,927
945,24680,928
946,24688,934
947,24696,934
948,24704,934
949,24705,932
950,24706,932
951,24707,933
952,24713,947
953,24719,947
954,24725,947
955,24731,947
956,24739,947
957,24745,947
958,24751,947
959,24757,947
960,24763,947
961,24771,947
962,24779,947
963,24780,939
964,24781,939
965,24782,939
966,24783,939
967,24784,945
968,24785,944
969,24786,944
970,24787,944
971,24788,944
972,24789,945
973,24790,946
974,24796,960
975,24802,960
976,24808,960
977,24814,960
978,24822,960
979,24828,960
980,24834,960
981,24840,960
982,24846,960
983,24854,960
984,24862,960
985,24863,952
986,24864,952
987,24865,952
988,24866,952
989,24867,958
990,24868,957
991,24869,957
992,24870,957
993,24871,957
994,24872,958
995,24873,959
1008,24930,983
1009,24938,983
1010,24946,983
1011,24954,983
1012,24962,983
1013,24970,983
