ID,TraitCondID,TraitNodeGroupID
240,412,853
241,401,854
242,413,854
243,405,855
244,406,856
245,410,857
246,414,858
247,403,859
248,408,860
249,402,861
250,409,863
251,416,863
285,973,898
286,970,899
287,971,900
288,969,902
289,977,903
290,972,904
291,974,905
292,978,906
309,1015,922
310,999,923
311,1001,925
312,1005,926
313,1007,927
314,1013,928
315,1010,929
316,1009,930
317,1000,932
318,1014,933
319,1002,934
320,1003,934
321,1011,934
322,1012,934
323,1018,934
324,1008,935
364,4019,1884
365,4013,1885
366,4017,1887
367,4020,1888
368,4012,1889
369,4021,1891
370,4022,1892
381,4083,1919
382,4079,1920
383,4087,1921
384,4084,1922
385,4086,1923
386,4088,1924
387,4082,1925
388,4080,1926
389,4085,1927
390,4081,1928
399,4411,2041
400,4412,2044
401,4417,2045
402,4410,2046
403,4416,2047
404,4415,2048
405,4414,2049
406,4413,2050
420,4549,2102
421,4550,2102
422,4557,2103
423,4558,2103
424,4559,2104
425,4560,2105
426,4561,2106
427,4564,2107
428,4565,2108
429,4556,2110
430,4563,2110
431,4562,2111
432,4566,2113
450,4602,2128
451,4607,2129
452,4605,2130
453,4599,2132
454,4588,2133
455,4600,2133
456,4590,2134
457,4606,2135
458,4592,2136
459,4594,2136
460,4595,2136
461,4596,2136
462,4598,2136
463,4603,2137
464,4589,2138
465,4604,2139
466,4593,2140
485,4895,2246
486,4897,2247
487,4894,2248
488,4889,2250
489,4891,2251
490,4892,2252
491,4890,2253
492,4893,2254
493,4896,2255
507,4987,2269
508,4988,2269
509,4997,2270
510,4999,2271
511,4996,2272
512,4991,2274
513,4993,2275
514,4994,2276
515,4992,2277
516,4995,2278
517,4998,2279
518,4989,2280
519,4990,2280
533,5089,2293
534,5090,2293
535,5099,2294
536,5101,2295
537,5098,2296
538,5093,2298
539,5095,2299
540,5096,2300
541,5094,2301
542,5097,2302
543,5100,2303
544,5091,2304
545,5092,2304
554,5120,2315
555,5116,2316
556,5114,2317
557,5113,2319
558,5115,2320
559,5112,2321
560,5117,2322
561,5121,2323
575,5211,2337
576,5212,2337
577,5221,2338
578,5223,2339
579,5220,2340
580,5215,2342
581,5217,2343
582,5218,2344
583,5216,2345
584,5219,2346
585,5222,2347
586,5213,2348
587,5214,2348
614,6581,2783
615,6582,2783
616,6590,2784
617,6589,2786
618,6588,2787
619,6587,2788
620,6586,2789
621,6585,2790
622,6592,2791
623,6591,2792
624,6542,2793
625,6583,2794
626,6584,2794
657,6623,2831
658,6630,2832
659,6629,2834
660,6628,2835
661,6627,2836
662,6626,2837
663,6625,2838
664,6632,2839
665,6631,2840
666,6624,2841
687,6658,2868
688,6661,2869
689,6656,2870
690,6654,2871
691,6653,2872
692,6659,2873
693,6655,2874
694,6662,2875
695,6657,2876
696,6660,2877
714,6998,2997
715,6999,2997
716,7000,2997
717,7001,2997
718,7002,2997
719,7005,2998
720,7015,2999
721,7012,3000
722,7003,3002
723,7013,3002
724,7009,3003
725,7018,3004
726,7004,3005
727,7017,3007
728,7007,3008
729,7011,3009
730,7008,3010
751,7898,3304
752,7901,3305
753,7896,3306
754,7894,3307
755,7893,3308
756,7899,3309
757,7895,3310
758,7902,3311
759,7897,3312
760,7900,3313
791,7950,3352
792,7953,3353
793,7948,3354
794,7946,3355
795,7945,3356
796,7951,3357
797,7947,3358
798,7954,3359
799,7949,3360
800,7952,3361
811,7976,3376
812,7979,3377
813,7974,3378
814,7972,3379
815,7971,3380
816,7977,3381
817,7973,3382
818,7980,3383
819,7975,3384
820,7978,3385
873,8057,3435
874,8059,3436
875,8060,3436
876,8067,3437
877,8068,3437
878,8069,3438
879,8070,3439
880,8073,3440
881,8074,3441
882,8066,3443
883,8072,3443
884,8071,3444
885,8075,3446
1220,9401,3901
1221,9402,3902
1222,9406,3903
1223,9407,3905
1224,9408,3906
1225,9405,3907
1226,9406,3907
1227,9411,3909
1242,9532,3927
1243,9533,3927
1244,9542,3928
1245,9536,3929
1246,9540,3930
1247,9539,3931
1248,9541,3932
1249,9534,3933
1250,9530,3934
1251,9531,3934
1252,9543,3935
1253,9538,3936
1254,9537,3937
1255,9535,3938
1266,9605,3965
1267,9610,3966
1268,9611,3967
1269,9609,3968
1270,9613,3969
1271,9614,3970
1272,9612,3971
1273,9608,3972
1274,9604,3973
1275,9603,3975
1290,9736,3990
1291,9737,3990
1292,9746,3991
1293,9740,3992
1294,9744,3993
1295,9743,3994
1296,9745,3995
1297,9738,3996
1298,9734,3997
1299,9735,3997
1300,9747,3998
1301,9742,3999
1302,9741,4000
1303,9739,4001
1312,9785,4024
1313,9787,4025
1314,9782,4026
1315,9789,4027
1316,9788,4029
1317,9786,4031
1318,9783,4032
1319,9784,4033
1330,9805,4046
1331,9810,4047
1332,9811,4048
1333,9809,4049
1334,9813,4050
1335,9814,4051
1336,9812,4052
1337,9808,4053
1338,9804,4054
1339,9803,4056
1350,9831,4070
1351,9836,4071
1352,9837,4072
1353,9835,4073
1354,9839,4074
1355,9840,4075
1356,9838,4076
1357,9834,4077
1358,9830,4078
1359,9829,4080
1370,9915,4115
1371,9911,4116
1372,9919,4117
1373,9916,4118
1374,9918,4119
1375,9920,4120
1376,9914,4121
1377,9912,4122
1378,9917,4123
1379,9913,4124
