ID,TraitNodeGroupID,TraitNodeID,Index
18184,852,10043,143
18185,852,10071,142
18186,852,10027,141
18187,852,9945,140
18188,852,10008,139
18189,852,9969,138
18190,852,10024,137
18191,852,9947,136
18192,852,9986,135
18193,852,10073,134
18194,852,10055,133
18195,852,10072,132
18196,852,9970,131
18197,852,9985,130
18198,852,10056,129
18199,852,10022,128
18200,852,9968,127
18201,852,9946,126
18202,852,10009,125
18203,852,10007,124
18204,852,9983,123
18205,852,10025,122
18206,852,10045,121
18207,852,10044,120
18208,852,10026,119
18209,852,10010,118
18210,852,9971,117
18211,852,10054,116
18212,852,10057,115
18213,852,9948,114
18214,852,9984,113
18215,852,10023,112
18216,852,9952,111
18217,852,10018,110
18218,852,10011,109
18219,852,10021,108
18220,852,10004,107
18221,852,10015,106
18222,852,9963,105
18223,852,10030,104
18224,852,10060,103
18225,852,9989,102
18226,852,10002,101
18227,852,10058,100
18228,852,9990,99
18229,852,10028,98
18230,852,10031,97
18231,852,9972,96
18232,852,9951,95
18233,852,10006,94
18234,852,10012,93
18235,852,10017,92
18236,852,10014,91
18237,852,10020,90
18238,852,9949,89
18239,852,10029,88
18240,852,9988,87
18241,852,9991,86
18242,852,9987,85
18243,852,9950,84
18244,852,10061,83
18245,852,9965,82
18246,852,10059,81
18247,852,10016,80
18248,852,9966,79
18249,852,10005,78
18250,852,9964,77
18251,852,9939,76
18252,852,10066,74
18253,852,9959,73
18254,852,10075,72
18255,852,9979,71
18256,852,9998,70
18257,852,9997,35
18258,852,10047,33
18259,852,10037,32
18260,852,10067,31
18261,852,9978,30
18262,852,10048,29
18263,852,10076,28
18264,852,9960,27
18265,852,9999,26
18266,852,10049,24
18267,852,10077,22
18268,852,9961,21
18269,852,10038,19
18270,852,10050,18
18271,852,10039,17
18272,852,10068,16
18273,852,10078,15
18274,852,9962,14
18275,852,10040,13
18276,852,10051,12
18277,852,10079,10
18278,852,10052,9
18279,852,10069,8
18280,852,10019,6
18281,852,10041,5
18282,852,9980,4
18283,852,10042,2
18284,852,10053,1
18285,853,10035,7
18286,853,10034,6
18287,853,10000,5
18288,853,9976,4
18289,853,9953,3
18290,853,10033,0
18291,853,10063,0
18292,853,10032,0
18293,853,10003,0
18294,853,10074,0
18295,853,9993,0
18296,853,9982,0
18297,853,10001,0
18298,853,9943,0
18299,854,10070,1
18300,855,9985,51
18301,855,9948,50
18302,855,10022,49
18303,855,9971,48
18304,855,10023,47
18305,855,10057,46
18306,855,10044,45
18307,855,10010,44
18308,855,10072,43
18309,855,9946,42
18310,855,9986,41
18311,855,10018,40
