ID,TraitCondID,TraitNodeID
55,411,9936
56,415,9937
57,404,9938
58,407,9974
579,975,11017
580,976,11046
585,1004,11427
586,1006,11429
587,1016,11429
588,1017,11429
3543,4016,15531
3544,4018,15531
3545,4014,15564
3546,4015,15564
3704,4200,16133
3705,4201,16134
3706,4202,16135
3707,4203,16136
3708,4204,16137
3709,4205,16138
3710,4206,16139
3711,4207,16140
3712,4208,16141
3713,4209,16142
3714,4210,16143
3715,4211,16144
3716,4212,16145
3717,4213,16146
3718,4214,16147
3719,4215,16148
3720,4216,16149
3721,4217,16150
3722,4218,16151
3723,4219,16152
3724,4220,16153
3725,4221,16154
3726,4222,16155
3727,4223,16156
3728,4224,16157
3729,4225,16158
3730,4226,16159
3731,4227,16160
3732,4228,16161
3733,4229,16162
3734,4230,16163
3735,4231,16164
3736,4232,16165
3737,4233,16171
3738,4234,16172
3739,4235,16173
3740,4236,16174
3741,4237,16175
3742,4238,16176
3743,4239,16177
3744,4240,16178
3745,4241,16179
3746,4242,16180
3747,4243,16181
3748,4244,16182
3749,4245,16183
3750,4246,16184
3751,4247,16185
3752,4248,16186
3753,4249,16187
3754,4250,16188
3755,4251,16189
3756,4252,16190
3757,4253,16191
3758,4254,16192
3759,4255,16193
3760,4256,16194
3761,4257,16195
3762,4258,16196
3763,4259,16197
3764,4260,16198
3765,4261,16199
3766,4262,16200
3767,4263,16201
3768,4264,16202
3769,4265,16203
3770,4266,16204
3771,4267,16205
3772,4268,16206
3773,4269,16207
3774,4270,16208
3775,4271,16209
3776,4272,16210
3777,4273,16211
3778,4274,16212
3779,4275,16213
3780,4276,16214
3781,4277,16215
3782,4278,16216
3783,4279,16217
3784,4280,16218
3785,4281,16219
4023,4548,16872
4024,4551,16874
4025,4553,16875
4026,4554,16876
4027,4555,16877
4028,4552,16957
4033,4597,17394
4034,4591,17396
4035,4601,17396
4036,4608,17396
4337,4949,18244
4338,4950,18245
4339,4951,18246
4340,4952,18247
4341,4953,18248
4342,4954,18249
4343,4955,18250
4344,4956,18251
4345,4957,18252
4346,4958,18253
4347,4959,18254
4348,4960,18255
4349,4961,18256
4350,4962,18257
4351,4963,18258
4352,4964,18259
4353,4965,18260
4354,4966,18261
4355,4967,18262
4356,4968,18263
4357,4969,18264
4358,4970,18265
4359,4971,18266
4360,4972,18267
4361,4973,18268
4362,4974,18269
4363,4975,18270
4364,4976,18271
4365,4977,18272
4366,4978,18273
4367,4979,18274
4368,4980,18275
4369,4981,18276
4370,4982,18277
4371,4983,18278
4372,4984,18279
4373,4985,18280
4374,4986,18281
4413,5051,18577
4414,5052,18578
4415,5053,18579
4416,5054,18580
4417,5055,18581
4418,5056,18582
4419,5057,18583
4420,5058,18584
4421,5059,18585
4422,5060,18586
4423,5061,18587
4424,5062,18588
4425,5063,18589
4426,5064,18590
4427,5065,18591
4428,5066,18592
4429,5067,18593
4430,5068,18594
4431,5069,18595
4432,5070,18596
4433,5071,18597
4434,5072,18598
4435,5073,18599
4436,5074,18600
4437,5075,18601
4438,5076,18602
4439,5077,18603
4440,5078,18604
4441,5079,18605
4442,5080,18606
4443,5081,18607
4444,5082,18608
4445,5083,18609
4446,5084,18610
4447,5085,18611
4448,5086,18612
4449,5087,18613
4450,5088,18614
4453,5118,18913
4454,5119,18927
4493,5173,19211
4494,5174,19212
4495,5175,19213
4496,5176,19214
4497,5177,19215
4498,5178,19216
4499,5179,19217
4500,5180,19218
4501,5181,19219
4502,5182,19220
4503,5183,19221
4504,5184,19222
4505,5185,19223
4506,5186,19224
4507,5187,19225
4508,5188,19226
4509,5189,19227
4510,5190,19228
4511,5191,19229
4512,5192,19230
4513,5193,19231
4514,5194,19232
4515,5195,19233
4516,5196,19234
4517,5197,19235
4518,5198,19236
4519,5199,19237
4520,5200,19238
4521,5201,19239
4522,5202,19240
4523,5203,19241
4524,5204,19242
4525,5205,19243
4526,5206,19244
4527,5207,19245
4528,5208,19246
4529,5209,19247
4530,5210,19248
4531,5224,19379
4532,5225,19380
4533,5226,19381
4534,5227,19382
4535,5228,19383
4536,5229,19384
4537,5230,19385
4538,5231,19386
4539,5232,19387
4540,5233,19388
4541,5234,19389
4542,5235,19390
4543,5236,19391
4544,5237,19392
4545,5238,19393
4546,5239,19394
4547,5240,19395
4548,5241,19396
4549,5242,19397
4550,5243,19398
4551,5244,19399
4552,5245,19400
4553,5246,19401
4554,5247,19402
4555,5248,19403
4556,5249,19404
4557,5250,19405
4558,5251,19406
4559,5252,19407
4560,5253,19408
4561,5254,19409
4562,5255,19410
4563,5256,19411
4564,5257,19412
4565,5258,19413
4566,5259,19414
4567,5260,19415
4568,5261,19422
4569,5262,19423
4570,5263,19424
4571,5264,19425
4572,5265,19426
4573,5266,19427
4574,5267,19428
4575,5268,19429
4576,5269,19430
4577,5270,19431
4578,5271,19432
4579,5272,19433
4580,5273,19434
4581,5274,19435
4582,5275,19436
4583,5276,19437
4584,5277,19438
4585,5278,19439
4586,5279,19440
4587,5280,19441
4588,5281,19445
4589,5282,19446
4590,5283,19447
4591,5284,19448
4592,5285,19449
4593,5286,19450
4594,5287,19451
4595,5288,19452
4596,5289,19453
4597,5290,19454
4598,5291,19455
4599,5292,19456
4600,5293,19457
4601,5294,19458
4602,5295,19459
4603,5296,19460
4604,5297,19461
4605,5298,19462
4606,5299,19463
4607,5300,19464
4608,5301,19465
4609,5302,19466
4610,5303,19467
4611,5304,19468
4612,5305,19469
4613,5306,19470
4614,5307,19471
4615,5308,19472
4616,5309,19473
4617,5310,19474
4618,5311,19475
4619,5312,19476
4620,5313,19477
4621,5314,19478
4622,5315,19479
4623,5316,19480
4624,5317,19481
4625,5318,19488
4626,5319,19489
4627,5320,19490
4628,5321,19491
4629,5322,19492
4630,5323,19493
4631,5324,19494
4632,5325,19495
4633,5326,19496
4634,5327,19497
4635,5328,19498
4636,5329,19499
4637,5330,19500
4638,5331,19501
4639,5332,19502
4640,5333,19503
4641,5334,19504
4642,5335,19505
4643,5336,19506
4644,5337,19507
4645,5338,19508
4646,5339,19509
4647,5340,19510
4648,5341,19511
4649,5342,19512
4650,5343,19513
4651,5344,19514
4652,5345,19515
4653,5346,19516
4654,5347,19517
4655,5348,19518
4656,5349,19519
4657,5350,19520
4658,5351,19521
4659,5352,19522
4660,5353,19523
4661,5354,19524
4662,5355,19525
4663,5356,19526
4664,5357,19527
4665,5358,19528
4666,5359,19529
4667,5360,19530
4668,5361,19531
4669,5362,19532
4670,5363,19533
4671,5364,19540
4672,5365,19541
4673,5366,19542
4674,5367,19543
4675,5368,19544
4676,5369,19545
4677,5370,19546
4678,5371,19547
4679,5372,19548
4680,5373,19549
4681,5374,19550
4682,5375,19551
4683,5376,19552
4684,5377,19553
4685,5378,19554
4686,5379,19555
4687,5380,19556
4688,5381,19557
4689,5382,19558
4690,5383,19559
4691,5384,19560
4692,5385,19561
4693,5386,19562
4694,5387,19563
4695,5388,19564
4696,5389,19565
4697,5390,19566
4698,5391,19567
4699,5392,19568
4700,5393,19569
4701,5394,19570
4702,5395,19571
4703,5396,19572
4704,5397,19573
4705,5398,19574
4706,5399,19575
4707,5400,19576
4708,5401,19577
4709,5402,19578
4710,5403,19579
4711,5404,19580
4712,5405,19581
4713,5406,19582
4714,5407,19583
4715,5408,19584
4716,5409,19585
4717,5410,19586
4718,5411,19587
4719,5412,19588
4720,5413,19589
4721,5414,19590
4722,5415,19591
4723,5416,19592
4724,5417,19593
4725,5418,19594
4726,5419,19595
4727,5420,19596
4728,5421,19597
4729,5422,19598
4730,5423,19599
4731,5424,19600
4732,5425,19601
4733,5426,19602
4734,5427,19603
4735,5428,19604
4736,5429,19605
4737,5430,19606
4738,5431,19607
4739,5432,19608
4740,5433,19609
4741,5434,19610
4742,5435,19611
4743,5436,19612
4744,5437,19613
4745,5438,19614
4746,5439,19615
4747,5440,19616
4748,5441,19617
4749,5442,19618
4750,5443,19619
4751,5444,19620
4752,5445,19621
4753,5446,19622
4754,5447,19623
4755,5448,19624
4756,5449,19625
4757,5450,19626
4758,5451,19627
4759,5452,19628
4760,5453,19629
4761,5454,19630
4762,5455,19644
4763,5456,19645
4764,5457,19646
4765,5458,19647
4766,5459,19648
4767,5460,19649
4768,5461,19650
4769,5462,19651
4770,5463,19652
4771,5464,19653
4772,5465,19654
4773,5466,19655
4774,5467,19656
4775,5468,19657
4776,5469,19658
4777,5470,19659
4778,5471,19660
4779,5472,19661
4780,5473,19662
4781,5474,19663
4782,5475,19664
4783,5476,19668
4784,5477,19669
4785,5478,19670
4786,5479,19671
4787,5480,19672
4788,5481,19673
4789,5482,19674
4790,5483,19675
4791,5484,19676
4792,5485,19677
4793,5486,19678
4794,5487,19679
4795,5488,19680
4796,5489,19681
4797,5490,19682
4798,5491,19683
4799,5492,19684
