ID,TraitNodeID,TraitNodeEntryID,Index
10782,9936,12237,0
10783,9937,12238,0
10784,9938,12239,0
10785,9939,12240,0
10786,9940,12241,0
10787,9941,12242,0
10788,9942,12243,0
10789,9943,12244,0
10790,9944,12245,0
10791,9945,12246,0
10792,9945,12247,1
10793,9946,12248,0
10794,9947,12249,0
10795,9948,12250,0
10796,9949,12251,0
10797,9950,12252,0
10798,9951,12253,0
10799,9952,12254,0
10800,9953,12255,0
10801,9954,12256,0
10802,9955,12257,0
10803,9956,12258,0
10804,9957,12259,0
10805,9958,12260,0
10806,9959,12261,0
10807,9960,12262,0
10808,9961,12263,0
10809,9962,12264,0
10810,9963,12265,0
10811,9964,12266,0
10812,9965,12267,0
10813,9966,12268,0
10814,9967,12269,0
10815,9968,12270,0
10816,9969,12271,0
10817,9970,12272,0
10818,9971,12273,0
10819,9972,12274,0
10820,9973,12275,0
10821,9974,12276,0
10822,9975,12277,0
10823,9976,12278,0
10824,9977,12279,0
10825,9978,12280,0
10826,9979,12281,0
10827,9980,12282,0
10828,9981,12283,0
10829,9982,12284,0
10830,9983,12285,0
10831,9984,12286,0
10832,9985,12287,0
10833,9986,12288,0
10834,9987,12289,0
10835,9988,12290,0
10836,9989,12291,0
10837,9990,12292,0
10838,9991,12293,0
10839,9991,12294,1
10840,9992,12295,0
10841,9993,12296,0
10842,9994,12297,0
10843,9995,12298,0
10844,9996,12299,0
10845,9997,12300,0
10846,9998,12301,0
10847,9999,12302,0
10848,10000,12303,0
10849,10001,12304,0
10850,10002,12305,0
10851,10002,12306,1
10852,10003,12307,0
10853,10003,12308,1
10854,10004,12309,0
10855,10005,12310,0
10856,10005,12311,1
10857,10006,12312,0
10858,10007,12313,0
10859,10008,12314,0
10860,10009,12315,0
10861,10010,12316,0
10862,10011,12317,0
10863,10012,12318,0
10864,10013,12319,0
10865,10014,12320,0
10866,10015,12321,0
10867,10016,12322,0
10868,10017,12323,0
10869,10018,12324,0
10870,10019,12325,0
10871,10020,12326,0
10872,10021,12327,0
10873,10022,12328,0
10874,10023,12329,0
10875,10024,12330,0
10876,10025,12331,0
10877,10026,12332,0
10878,10027,12333,0
10879,10028,12334,0
10880,10029,12335,0
10881,10030,12336,0
10882,10031,12337,0
10883,10032,12338,0
10884,10033,12339,0
10885,10034,12340,0
10886,10035,12341,0
10887,10036,12342,0
10888,10037,12343,0
10889,10038,12344,0
10890,10039,12345,0
10891,10040,12346,0
10892,10041,12347,0
10893,10042,12348,0
10894,10043,12349,0
10895,10044,12350,0
10896,10045,12351,0
10897,10046,12352,0
10898,10046,12353,1
10899,10047,12354,0
10900,10048,12355,0
10901,10048,12356,1
10902,10049,12357,0
10903,10050,12358,0
10904,10051,12359,0
10905,10052,12360,0
10906,10053,12361,0
10907,10054,12362,0
10908,10055,12363,0
10909,10056,12364,0
10910,10057,12365,0
10911,10058,12366,0
10912,10059,12367,0
10913,10060,12368,0
10914,10061,12369,0
10915,10062,12370,0
10916,10062,12371,1
10917,10063,12372,0
10918,10063,12373,1
10919,10064,12374,0
10920,10065,12375,0
10921,10066,12376,0
10922,10067,12377,0
10923,10068,12378,0
10924,10069,12379,0
10925,10070,12380,0
10926,10071,12381,0
10927,10072,12382,0
10928,10073,12383,0
10929,10074,12384,0
10930,10074,12385,1
10931,10075,12386,0
10932,10076,12387,0
10933,10077,12388,0
10934,10078,12389,0
10935,10079,12390,0
10936,10079,12391,1
11913,10904,13368,0
11914,10905,13369,0
11915,10906,13370,0
11916,10907,13371,0
11917,10907,13372,1
11918,10908,13373,0
11919,10909,13374,0
11920,10910,13375,0
11921,10911,13376,0
11922,10912,13377,0
11923,10913,13378,0
11924,10914,13379,0
11925,10915,13380,0
11926,10916,13381,0
11927,10917,13382,0
11928,10918,13383,0
11929,10919,13384,0
11930,10920,13385,0
11931,10921,13386,0
11932,10922,13387,0
11933,10923,13388,0
11934,10924,13389,0
11935,10925,13390,0
11936,10926,13391,0
11937,10927,13392,0
11938,10928,13393,0
11939,10929,13394,0
11940,10930,13395,0
11941,10931,13396,0
11942,10932,13397,0
11943,10932,13398,1
11944,10933,13399,0
11945,10934,13400,0
11946,10935,13401,0
11947,10936,13402,0
11948,10937,13403,0
11949,10938,13404,0
11950,10939,13405,0
11951,10940,13406,0
11952,10940,13407,1
11953,10941,13408,0
11954,10942,13409,0
11955,10943,13410,0
11956,10944,13411,0
11957,10945,13412,0
11958,10946,13413,0
11959,10947,13414,0
11960,10948,13415,0
11961,10949,13416,0
11962,10950,13417,0
11963,10951,13418,0
11964,10952,13419,0
11965,10953,13420,0
11966,10954,13421,0
11967,10955,13422,0
11968,10956,13423,0
11969,10957,13424,0
11970,10958,13425,0
11971,10959,13426,0
11972,10960,13427,0
11973,10961,13428,0
11974,10962,13429,0
11975,10962,13430,1
11976,10963,13431,0
11977,10964,13432,0
11978,10964,13433,1
11979,10965,13434,0
11980,10966,13435,0
11981,10967,13436,0
11982,10968,13437,0
11983,10968,13438,1
11984,10969,13439,0
11985,10970,13440,0
11986,10971,13441,0
11987,10972,13442,0
11988,10972,13443,1
11989,10973,13444,0
11990,10974,13445,0
11991,10975,13446,0
11992,10976,13447,0
11993,10977,13448,0
11994,10978,13449,0
11995,10979,13450,0
11996,10980,13451,0
11997,10981,13452,0
11998,10982,13453,0
11999,10983,13454,0
12000,10984,13455,0
12001,10985,13456,0
12002,10986,13457,0
