ID,Index,TraitTreeID,TraitCurrencyID
92,2,127,168
93,1,127,169
104,2,138,178
105,1,138,179
108,2,140,182
109,1,140,183
732,2,197,733
733,1,197,734
744,2,203,743
745,1,203,744
765,6,206,761
766,5,206,762
767,4,206,763
768,3,206,764
769,2,206,765
770,1,206,3
771,0,206,1
772,8,207,766
773,7,207,767
774,6,207,768
775,5,207,769
776,4,207,770
777,3,207,771
778,2,207,772
779,1,207,3
780,0,207,1
807,2,212,793
808,1,212,794
835,2,217,815
836,1,217,816
839,2,219,819
840,1,219,820
891,2,228,863
892,1,228,864
895,2,230,867
896,1,230,868
899,2,232,871
900,1,232,872
903,2,234,875
904,1,234,876
907,2,236,879
908,1,236,880
909,7,237,881
910,6,237,882
911,5,237,883
912,4,237,884
913,3,237,885
914,2,237,886
915,1,237,13
916,0,237,2
917,3,238,887
918,2,238,888
919,1,238,889
920,0,238,1
921,7,239,890
922,6,239,891
923,5,239,892
924,4,239,893
925,3,239,894
926,2,239,895
927,1,239,13
928,0,239,2
929,7,240,896
930,6,240,897
931,5,240,898
932,4,240,899
933,3,240,900
934,2,240,901
935,1,240,13
936,0,240,2
937,14,241,902
938,13,241,903
939,12,241,904
940,11,241,905
941,10,241,906
942,9,241,907
943,8,241,908
944,7,241,909
945,6,241,910
946,5,241,911
947,4,241,912
948,3,241,913
949,2,241,914
950,1,241,3
951,0,241,1
952,4,242,915
953,3,242,916
954,2,242,917
955,1,242,19
956,0,242,9
957,12,243,918
958,11,243,919
959,10,243,920
960,9,243,921
961,8,243,922
962,7,243,923
963,6,243,924
964,5,243,925
965,4,243,926
966,3,243,927
967,2,243,928
968,1,243,19
969,0,243,9
970,12,244,929
971,11,244,930
972,10,244,931
973,9,244,932
974,8,244,933
975,7,244,934
976,6,244,935
977,5,244,936
978,4,244,937
979,3,244,938
980,2,244,939
981,1,244,19
982,0,244,9
991,14,246,946
992,13,246,947
993,12,246,948
994,11,246,949
995,10,246,950
996,9,246,951
997,8,246,952
998,7,246,953
999,6,246,954
1000,5,246,955
1001,4,246,956
1002,3,246,957
1003,2,246,958
1004,1,246,3
1005,0,246,1
1014,14,248,965
1015,13,248,966
1016,12,248,967
1017,11,248,968
1018,10,248,969
1019,9,248,970
1020,8,248,971
1021,7,248,972
1022,6,248,973
1023,5,248,974
1024,4,248,975
1025,3,248,976
1026,2,248,977
1027,1,248,3
1028,0,248,1
1156,2,265,1077
1157,1,265,1078
1164,2,270,1085
1165,1,270,1086
1170,2,273,1091
1171,1,273,1092
1180,7,275,1099
1181,6,275,1100
1182,5,275,1101
1183,4,275,1102
1184,3,275,1103
1185,2,275,1104
1186,1,275,13
1187,0,275,2
1188,7,276,1105
1189,6,276,1106
1190,5,276,1107
1191,4,276,1108
1192,3,276,1109
1193,2,276,1110
1194,1,276,13
1195,0,276,2
1196,7,277,1111
1197,6,277,1112
1198,5,277,1113
1199,4,277,1114
1200,3,277,1115
1201,2,277,1116
1202,1,277,13
1203,0,277,2
1204,7,278,1117
1205,6,278,1118
1206,5,278,1119
1207,4,278,1120
1208,3,278,1121
1209,2,278,1122
1210,1,278,13
1211,0,278,2
1212,7,279,1123
1213,6,279,1124
1214,5,279,1125
1215,4,279,1126
1216,3,279,1127
1217,2,279,1128
1218,1,279,13
1219,0,279,2
1220,7,280,1129
1221,6,280,1130
1222,5,280,1131
1223,4,280,1132
1224,3,280,1133
1225,2,280,1134
1226,1,280,13
1227,0,280,2
1228,7,281,1135
1229,6,281,1136
1230,5,281,1137
1231,4,281,1138
1232,3,281,1139
1233,2,281,1140
1234,1,281,13
1235,0,281,2
1238,2,283,1143
1239,1,283,1144
1376,8,302,1233
1377,7,302,1234
1378,6,302,1235
1379,5,302,1236
1380,4,302,1237
1381,3,302,1238
1382,2,302,1239
1383,1,302,3
1384,0,302,1
1385,6,303,1240
1386,5,303,1241
1387,4,303,1242
1388,3,303,1243
1389,2,303,1244
1390,1,303,3
1391,0,303,1
1400,14,305,1251
1401,13,305,1252
1402,12,305,1253
1403,11,305,1254
1404,10,305,1255
1405,9,305,1256
1406,8,305,1257
1407,7,305,1258
1408,6,305,1259
1409,5,305,1260
1410,4,305,1261
1411,3,305,1262
1412,2,305,1263
1413,1,305,3
1414,0,305,1
1415,3,306,1264
1416,2,306,1265
1417,1,306,1266
1418,0,306,1
1447,2,312,1289
1448,1,312,1290
1455,2,316,1303
1456,1,316,1304
1459,2,318,1307
1460,1,318,1308
1469,2,323,1317
1470,1,323,1318
1472,1,325,1320
1556,8,336,1368
1557,7,336,1369
1558,6,336,1370
1559,5,336,1371
1560,4,336,1372
1561,3,336,1373
1562,2,336,1374
1563,1,336,3
1564,0,336,1
1571,5,340,1383
1572,4,340,1384
1573,3,340,1385
1574,2,340,1386
1575,1,340,19
1576,0,340,9
1577,6,341,1387
1578,5,341,1388
1579,4,341,1389
1580,3,341,1390
1581,2,341,1391
1582,1,341,19
1583,0,341,9
1584,12,342,1392
1585,11,342,1393
1586,10,342,1394
1587,9,342,1395
1588,8,342,1396
1589,7,342,1397
1590,6,342,1398
1591,5,342,1399
1592,4,342,1400
1593,3,342,1401
1594,2,342,1402
1595,1,342,19
1596,0,342,9
1597,12,343,1403
1598,11,343,1404
1599,10,343,1405
1600,9,343,1406
1601,8,343,1407
1602,7,343,1408
1603,6,343,1409
1604,5,343,1410
1605,4,343,1411
1606,3,343,1412
1607,2,343,1413
1608,1,343,19
1609,0,343,9
1610,5,344,1414
1611,4,344,1415
1612,3,344,1416
1613,2,344,1417
1614,1,344,18
1615,0,344,8
1616,6,345,1418
1617,5,345,1419
1618,4,345,1420
1619,3,345,1421
1620,2,345,1422
1621,1,345,18
1622,0,345,8
1623,1,346,1423
1624,0,346,8
1625,8,347,1424
1626,7,347,1425
1627,6,347,1426
1628,5,347,1427
1629,4,347,1428
1630,3,347,1429
1631,2,347,1430
1632,1,347,18
1633,0,347,8
1634,12,348,1431
1635,11,348,1432
1636,10,348,1433
1637,9,348,1434
1638,8,348,1435
1639,7,348,1436
1640,6,348,1437
1641,5,348,1438
1642,4,348,1439
1643,3,348,1440
1644,2,348,1441
1645,1,348,19
1646,0,348,9
1647,6,349,1442
1648,5,349,1443
1649,4,349,1444
1650,3,349,1445
1651,2,349,1446
1652,1,349,19
1653,0,349,9
1654,12,350,1447
1655,11,350,1448
1656,10,350,1449
1657,9,350,1450
1658,8,350,1451
1659,7,350,1452
1660,6,350,1453
1661,5,350,1454
1662,4,350,1455
1663,3,350,1456
1664,2,350,1457
1665,1,350,19
1666,0,350,9
1667,5,351,1458
1668,4,351,1459
1669,3,351,1460
1670,2,351,1461
1671,1,351,19
1672,0,351,9
1673,5,352,1462
1674,4,352,1463
1675,3,352,1464
1676,2,352,1465
1677,1,352,18
1678,0,352,8
1679,6,353,1466
1680,5,353,1467
1681,4,353,1468
1682,3,353,1469
1683,2,353,1470
1684,1,353,18
1685,0,353,8
1686,1,354,1471
1687,0,354,8
1688,8,355,1472
1689,7,355,1473
1690,6,355,1474
1691,5,355,1475
1692,4,355,1476
1693,3,355,1477
1694,2,355,1478
1695,1,355,18
1696,0,355,8
1699,2,357,1481
1700,1,357,1482
1704,1,361,1486
1707,2,363,1491
1708,1,363,1492
1719,2,366,1513
1720,1,366,1514
1723,2,368,1517
1724,1,368,1518
1725,5,369,1519
1726,4,369,1520
1727,3,369,1521
1728,2,369,1522
1729,1,369,19
1730,0,369,9
1733,2,371,1525
1734,1,371,1526
1737,2,373,1529
1738,1,373,1530
1741,2,375,1533
1742,1,375,1534
1743,5,376,1535
1744,4,376,1536
1745,3,376,1537
1746,2,376,1538
1747,1,376,19
1748,0,376,9
1749,6,377,1539
1750,5,377,1540
1751,4,377,1541
1752,3,377,1542
1753,2,377,1543
1754,1,377,19
1755,0,377,9
1758,2,379,1552
1759,1,379,1553
1762,2,381,1556
1763,1,381,1557
1766,2,383,1560
1767,1,383,1561
1770,2,385,1564
1771,1,385,1565
1772,5,386,1566
1773,4,386,1567
1774,3,386,1568
1775,2,386,1569
1776,1,386,1570
1777,0,386,7
1780,2,388,1573
1781,1,388,1574
1782,6,389,1575
1783,5,389,1576
1784,4,389,1577
1785,3,389,1578
1786,2,389,1579
1787,1,389,17
1788,0,389,7
1791,2,391,1582
1792,1,391,1583
1795,2,393,1586
1796,1,393,1587
1797,15,394,1588
1798,14,394,1589
1799,13,394,1590
1800,12,394,1591
1801,11,394,1592
1802,10,394,1593
1803,9,394,1594
1804,8,394,1595
1805,7,394,1596
1806,6,394,1597
1807,5,394,1598
1808,4,394,1599
1809,3,394,1600
1810,2,394,1601
1811,1,394,17
1812,0,394,7
1813,9,395,1602
1814,8,395,1603
1815,7,395,1604
1816,6,395,1605
1817,5,395,1606
1818,4,395,1607
1819,3,395,1608
1820,2,395,1609
1821,1,395,17
1822,0,395,7
1823,16,396,1610
1824,15,396,1611
1825,14,396,1612
1826,13,396,1613
1827,12,396,1614
1828,11,396,1615
1829,10,396,1616
1830,9,396,1617
1831,8,396,1618
1832,7,396,1619
1833,6,396,1620
1834,5,396,1621
1835,4,396,1622
